t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
111.45,FLARE,ILS_TRACK,76.13,76,-0.13,31.41,-4.17,3.53,6.54,270.4,0.011,0.1454,12.762,270.38,-3.064,0.51,0.25,0.401,-0.02,-0.064,-3.137,0,0,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.06,FLYING
111.61,FLARE,ILS_TRACK,76.1,76,-0.1,30.31,-4.17,3.54,6.55,270.4,0.012,0,12.762,270.4,-2.642,0.51,0.25,0.401,-0.02,-0.064,-2.642,-2.5,0.028,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.22,FLYING
111.77,FLARE,ILS_TRACK,76.06,76,-0.06,25.5,-4.16,3.63,6.63,270.4,0.01,0,12.762,270.4,-2.282,0.51,0.25,0.401,-0.02,-0.064,-2.282,-2.5,0.152,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.38,FLYING
111.93,FLARE,ILS_TRACK,76.02,76,-0.02,23.82,-4.13,3.8,6.78,270.4,0.008,0,12.762,270.4,-1.922,0.51,0.25,0.401,-0.02,-0.064,-1.922,-2.5,0.226,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.54,FLYING
112.11,FLARE,ILS_TRACK,75.95,76,0.05,21.94,-4.03,3.96,6.89,270.4,0.008,0,12.762,270.4,-1.885,0.51,0.25,0.401,-0.02,-0.064,-1.885,-2.5,0.286,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.72,FLYING
112.27,FLARE,ILS_TRACK,75.88,76,0.12,20.27,-3.94,4.04,6.9,270.4,0.006,0,12.762,270.4,-1.886,0.51,0.25,0.401,-0.02,-0.064,-1.886,-2.5,0.338,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.88,FLYING
112.43,FLARE,ILS_TRACK,75.8,76,0.2,18.63,-3.86,4.11,6.9,270.4,0.006,0,12.762,270.4,-1.888,0.51,0.25,0.401,-0.02,-0.064,-1.888,-2.5,0.391,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.04,FLYING
112.59,FLARE,ILS_TRACK,75.71,76,0.29,17.62,-3.78,4.16,6.91,270.4,0.006,0,12.762,270.4,-1.826,0.51,0.25,0.401,-0.02,-0.064,-1.826,-2.414,0.435,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.2,FLYING
112.75,FLARE,ILS_TRACK,75.62,76,0.38,17.05,-3.7,4.24,6.92,270.4,0.005,0,12.762,270.4,-1.77,0.51,0.25,0.401,-0.02,-0.064,-1.77,-2.338,0.453,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.36,FLYING
112.91,FLARE,ILS_TRACK,75.51,76,0.49,16.49,-3.62,4.31,6.94,270.4,0.004,0,12.762,270.4,-1.716,0.51,0.25,0.401,-0.02,-0.064,-1.716,-2.263,0.471,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.52,FLYING
