t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
1,APPROACH,FLY_TO_FIX,36.48,75.4,38.92,6063.04,18.21,27.39,5.41,36.34,49.564,0.2,0,19.366,1,0.6,0.9,0.75,0.35,0.0168,0.4,268.61,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,FLYING
1.72,APPROACH,FLY_TO_FIX,35.02,75.8,40.78,6072.91,11.89,21.27,5.08,36.26,52.495,0.4,0,20,1,0.6,0.9,0.75,0.35,0.0168,0.4,268.55,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,FLYING
2.42,APPROACH,FLY_TO_FIX,34.13,76.2,42.07,6077.85,5.7,13.98,4.12,36.6,54.076,0.6,0,20,1,0.6,0.9,0.75,0.35,0.0168,0.4,268.49,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,FLYING
3.14,APPROACH,FLY_TO_FIX,33.8,76.6,42.8,6078.15,-0.69,5.07,2.46,37.01,54.734,0.8,0,20,1,0.6,0.9,0.75,0.35,0.0168,0.4,268.43,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,FLYING
3.84,APPROACH,FLY_TO_FIX,34.08,77,42.92,6073.79,-7.03,-4.59,0.6,37.19,53.077,0.9153,0,20,1,0.6,1.013,0.75,0.35,0.0168,0.4,268.37,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,FLYING
4.56,APPROACH,FLY_TO_FIX,35.02,77.4,42.38,6064.63,-13.78,-14.4,-0.7,36.63,48.947,0.8016,0,20,1,0.6,1.17,0.75,0.35,0.0168,0.4,268.31,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,FLYING
5.26,APPROACH,FLY_TO_FIX,36.51,77.8,41.29,6051.37,-20.54,-21.82,0.18,34.47,43.835,0.6381,0,20,1,0.6,1.313,0.75,0.35,0.0168,0.4,268.25,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,FLYING
5.96,APPROACH,FLY_TO_FIX,38.5,78.2,39.7,6034.02,-27.14,-25.39,4.52,29.45,38.455,0.4429,0,20,1,0.6,1.445,0.75,0.35,0.0168,0.4,268.19,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,FLYING
6.68,APPROACH,FLY_TO_FIX,40.91,78.6,37.69,6011.89,-33.24,-27.27,8.54,24.54,33.316,0.2429,0,20,1,0.6,1.566,0.75,0.35,0.0168,0.4,268.12,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,FLYING
7.4,APPROACH,FLY_TO_FIX,43.57,79,35.43,5985.54,-39.01,-28.97,10.55,21.71,28.982,0.0429,0,20,1,0.6,1.676,0.75,0.35,0.0168,0.4,268.06,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,FLYING
8.12,APPROACH,FLY_TO_FIX,46.38,79.4,33.02,5954.47,-44.37,-29.84,11.82,20.29,25.387,0,0,20,1,0.6,1.777,0.75,0.35,0.0168,0.4,267.99,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,FLYING
8.84,APPROACH,FLY_TO_FIX,49.28,79.8,30.52,5920.58,-49.16,-30.81,12,20.28,22.953,0,0,20,1,0.6,1.869,0.75,0.35,0.0168,0.4,267.92,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,FLYING
9.56,APPROACH,FLY_TO_FIX,52.23,80.2,27.97,5883.36,-53.6,-32.04,12,19.36,23.182,0,0,20,1,0.6,1.953,0.75,0.35,0.0168,0.4,267.85,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,FLYING
10.28,APPROACH,FLY_TO_FIX,55.21,80.6,25.39,5843.01,-57.79,-33.54,12,16.83,24.941,0,0,20,1,0.6,2.029,0.75,0.35,0.0168,0.4,267.77,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,FLYING
11,APPROACH,FLY_TO_FIX,58.24,81,22.76,5799.57,-61.9,-35.98,10.87,14.36,26.345,0,0,20,1,0.6,2.1,0.75,0.35,0.0168,0.4,267.69,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06,FLYING
11.72,APPROACH,FLY_TO_FIX,61.34,81,19.66,5753.3,-66.03,-37.09,10.65,12.11,24.438,0,0,20,1,0.6,2.164,0.75,0.35,0.0168,0.4,267.6,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,FLYING
12.44,APPROACH,FLY_TO_FIX,64.48,81,16.52,5704.25,-69.78,-37.77,10.04,11.18,20.868,0,0,20,1,0.6,2.223,0.75,0.35,0.0168,0.4,267.51,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,FLYING
13.18,APPROACH,FLY_TO_FIX,67.75,81,13.25,5651.13,-73.34,-38.68,9.23,9.91,20.308,0,0,20,1,0.6,2.276,0.75,0.35,0.0168,0.4,267.42,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.24,FLYING
13.92,APPROACH,FLY_TO_FIX,71.05,81,9.95,5596.94,-76.86,-39.74,8.7,7.22,23.094,0,0,20,1,0.6,2.326,0.75,0.35,0.0168,0.4,267.32,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,FLYING
14.66,APPROACH,FLY_TO_FIX,74.38,81,6.62,5538.69,-80.37,-40.69,8.59,3.4,27.206,0,0,20,1,0.6,2.371,0.75,0.35,0.0168,0.4,267.21,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72,FLYING
15.4,APPROACH,FLY_TO_FIX,77.71,81,3.29,5477.86,-83.9,-41.46,8.8,358.91,30.427,0,0,20,1,0.6,2.413,0.75,0.35,0.0168,0.4,267.1,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.46,FLYING
16.12,APPROACH,FLY_TO_FIX,80.92,81,0.08,5416.22,-87.25,-42.01,9.11,354.16,32.503,0,0,20,1,0.6,2.451,0.75,0.35,0.0168,0.4,266.99,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.18,FLYING
16.84,APPROACH,FLY_TO_FIX,84.09,81,-3.09,5352.23,-90.36,-42.33,9.48,349.09,33.751,0,0,19.9,1,0.6,2.487,0.75,0.35,0.0168,0.4,266.87,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,FLYING
17.56,APPROACH,FLY_TO_FIX,87.19,81,-6.19,5286.06,-93.32,-42.33,9.78,344.05,33.756,0,0,19.8,1,0.6,2.52,0.75,0.35,0.0168,0.4,266.75,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,FLYING
18.28,APPROACH,FLY_TO_FIX,90.21,81,-9.21,5217.94,-95.86,-42.07,10.02,338.91,33.891,0,0,19.701,1,0.6,2.551,0.75,0.35,0.0168,0.4,266.63,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.34,FLYING
19,APPROACH,FLY_TO_FIX,93.16,81,-12.16,5148.19,-97.94,-41.44,10.18,333.98,33.317,0,0,19.603,1,0.6,2.58,0.75,0.35,0.0168,0.4,266.5,-6,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.06,FLYING
