t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
1.04,APPROACH,ILS_TRACK,218.83,140,-78.83,2193.61,13.89,8.9,5.86,274.89,15.095,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.62,0,0,-0.02,90,0,0,0,0,0,0,0,39.997,0,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.17,1310.36,2,0,0.94,0.5,1,2.7,0.94,0.02,1.1,FLYING
2.02,APPROACH,ILS_TRACK,217.94,140,-77.94,2208.17,15.69,10.08,8.95,277.49,15.292,0,0,0,1,0.6,0.941,0.752,0.35,0.0168,0.4,284.44,-7,1,0,3.78,0,0,-0.04,90,-0.9182,0.2493,0.3078,1.22,284.44,-26.01,48.61,39.803,14.044,-92.367,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.89,1305.2,2,0,0.74,0.5,2,1.04,0.94,0.74,2.06,FLYING
2.96,APPROACH,ILS_TRACK,215.78,140,-75.78,2222.15,16.23,6.4,0.21,280.31,15.709,0,0,-20,1,0.6,1.797,0.771,0.35,0.0168,0.4,262.73,-7,0,1,4.72,0,0,1.24,284.44,-0.8997,-0.1259,0.4181,-5.04,262.73,-9.88,75.29,39.571,-7.666,-65.271,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.03,1292.95,2,0,0.96,0.5,3,1.04,0.96,0.74,3.02,FLYING
3.92,APPROACH,ILS_TRACK,214.63,140,-74.63,2231.57,6.92,-1.76,-4.68,276.75,15.606,0,0,-19.9,1,0.6,2.581,0.8,0.35,0.0168,0.4,260.49,-0.187,0,1,2.77,0,0,-5.02,262.73,-0.8992,-0.1647,0.4054,-4.34,260.49,9.21,98.16,39.346,-9.914,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.3,1286.33,2,0,0.96,0.5,4,1.06,0.96,0.96,3.96,FLYING
4.84,APPROACH,ILS_TRACK,213.48,140,-73.48,2232.27,-3.62,-4.68,-5.78,271.51,15.796,0,0,-19.8,1,0.6,3.297,0.835,0.35,0.0168,0.4,259.7,-0.199,0,1,0.08,0,0,-4.32,260.49,-0.8855,-0.1778,0.4293,-5.88,259.7,28.35,112.44,39.126,-10.704,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.11,1280.17,2,0,0.9,0.5,5,1.09,0.96,0.9,4.88,FLYING
5.78,APPROACH,ILS_TRACK,212.45,140,-72.45,2222.45,-15.45,-7.49,-6.06,268.56,16.034,0,0,-19.701,1,0.6,3.952,0.875,0.35,0.0168,0.4,259.47,-0.161,0,1,-3.08,0,0,-5.86,259.7,-0.8807,-0.1815,0.4375,-6.39,259.47,46.49,116.61,38.903,-10.929,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.08,1275.01,2,0,0.96,0.5,6,1.06,0.96,0.9,5.82,FLYING
6.68,APPROACH,ILS_TRACK,212.11,140,-72.11,2202.92,-26.53,-9.37,-5.05,268.03,16.082,0,0,-19.603,1,0.6,4.5,0.905,0.35,0.0168,0.4,260.22,-0.073,0,1,-6.1,0,0,-6.38,259.47,-0.8901,-0.1689,0.4232,-5.42,260.22,61.89,110.41,38.69,-10.176,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.94,1273.92,2,0,0.9,0.5,7,1.11,0.96,0.9,6.72,FLYING
7.58,APPROACH,ILS_TRACK,212.52,140,-72.52,2174.46,-36.06,-9.99,-2.9,268.12,16.061,0,0,-19.505,1,0.6,4.5,0.915,0.35,0.0168,0.4,260.52,0.061,0,1,-8.8,0,0,-5.4,260.22,-0.9063,-0.1643,0.3894,-3.26,260.52,75.59,94.9,38.479,-9.877,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.57,1277.11,2,0,0.9,0.5,8,1.11,0.9,0.9,7.62,FLYING
8.48,APPROACH,ILS_TRACK,213.33,140,-73.33,2138.98,-42.82,-9.25,0.06,268.59,16,0,0,-19.407,1,0.6,4.5,0.902,0.35,0.0168,0.4,260.67,0,0,1,-10.84,0,0,-3.24,260.52,-0.9246,-0.1621,0.3448,-0.47,260.67,88.02,71.8,38.268,-9.731,15.425,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58,1282.79,2,0,0.9,0.5,9,1.11,0.9,0.9,8.52,FLYING
9.38,APPROACH,ILS_TRACK,214.07,140,-74.07,2098.43,-46.09,-7.24,3.36,269.42,15.868,0,0,-19.31,1,0.6,4.5,0.871,0.35,0.0168,0.4,260.34,0,0,1,-11.96,0,0,-0.45,260.67,-0.9422,-0.1677,0.2902,2.83,260.34,100.13,44.09,38.053,-10.061,31.119,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.87,1288.38,2,0,0.9,0.5,10,1.09,0.9,0.9,9.44,FLYING
10.34,APPROACH,ILS_TRACK,214.01,140,-74.01,2055.79,-45.64,-4.51,6.06,270.5,15.635,0,0,-19.214,1,0.6,4.5,0.839,0.35,0.0168,0.4,259.47,0,0,1,-12.16,0,0,2.85,260.34,-0.9534,-0.1819,0.2406,5.75,259.47,112.95,12.02,37.834,-10.93,47.694,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,1289.92,2,0,0.96,0.5,11,1.06,0.96,0.9,10.38,FLYING
11.28,APPROACH,ILS_TRACK,212.67,140,-72.67,2014.88,-42.6,-2.1,8.11,271.49,15.329,0,0,-19.118,1,0.6,4.5,0.83,0.35,0.0168,0.4,258.19,0,0,1,-11.65,0,0,5.77,259.47,-0.9576,-0.2028,0.2048,7.8,258.19,127.19,-18.06,37.616,-12.205,53.544,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21,1284.82,2,0,0.94,0.5,12,1.06,0.96,0.94,11.32,FLYING
12.18,APPROACH,ILS_TRACK,210.16,140,-70.16,1979.34,-37.69,0.34,9.43,272.45,14.997,0,0,-19.022,1,0.6,4.5,0.858,0.35,0.0168,0.4,256.95,0,0,1,-10.64,0,0,7.82,258.19,-0.9585,-0.223,0.1779,9.3,256.95,142.67,-43.66,37.409,-13.448,54.055,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,1273.42,2,0,0.9,0.5,13,1.11,0.94,0.9,12.22,FLYING
13.08,APPROACH,ILS_TRACK,206.87,140,-66.87,1948.24,-32.39,1.83,9.45,273.14,14.637,0.1862,0,-20,1,0.6,4.5,0.931,0.35,0.0168,0.4,255.18,0,0,1,-9.34,0,0,9.32,256.95,-0.9519,-0.2525,0.1736,9.42,255.18,160.29,-65.05,37.204,-15.22,53.75,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,1257.89,2,0,0.9,0.5,14,1.11,0.9,0.9,13.12,FLYING
13.98,APPROACH,ILS_TRACK,203.53,140,-63.53,1921.83,-27.32,3.21,9.71,273.79,14.285,0.3862,0,-20,1,0.6,4.5,0.931,0.35,0.0168,0.4,253.37,1.331,0,1,-8.1,0,0,9.44,255.18,-0.9489,-0.281,0.1434,11.04,253.37,179.94,-81.9,37.002,-17.026,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.08,1241.7,2,0,0.9,0.5,15,1.11,0.9,0.9,14.02,FLYING
14.9,APPROACH,ILS_TRACK,200.48,140,-60.48,1899.39,-22.51,4.45,10,274.39,13.951,0.5862,0,-20,1,0.6,4.5,0.931,0.35,0.0168,0.4,251.26,1.448,0,1,-6.87,0,0,11.05,253.37,-0.9393,-0.3152,0.1353,11.31,251.26,202.06,-94.22,36.799,-19.138,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.99,1227.57,2,0,0.9,0.5,16,1.09,0.9,0.9,14.94,FLYING
15.84,APPROACH,ILS_TRACK,198.11,140,-58.11,1881.12,-17.54,6.34,10.53,275.16,13.606,0.7635,0,-20,1,0.6,4.5,0.931,0.35,0.0168,0.4,249.03,1.544,0,1,-5.53,0,0,11.32,251.26,-0.9292,-0.3501,0.1184,12.05,249.03,226.66,-103.15,36.594,-21.367,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.38,1216.49,2,0,0.96,0.5,17,1.06,0.96,0.9,15.88,FLYING
16.74,APPROACH,ILS_TRACK,196.87,140,-56.87,1867.81,-12.97,7.76,10.66,275.77,13.293,0.6663,0,-20,1,0.6,4.5,0.931,0.35,0.0168,0.4,247.58,1.614,0,1,-4.23,0,0,12.07,249.03,-0.9213,-0.3727,0.1109,12.32,247.58,252.12,-107.15,36.399,-22.816,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.02,1210.93,2,0,0.9,0.5,18,1.11,0.96,0.9,16.78,FLYING
17.64,APPROACH,ILS_TRACK,196.69,140.8,-55.89,1858.37,-8.68,8.82,10.42,276.24,12.988,0.4663,0,-20,1,0.6,4.5,0.931,0.35,0.0168,0.4,245.57,1.665,0,1,-2.96,0,0,12.34,247.58,-0.9082,-0.4043,0.1081,12.23,245.57,279.42,-107.26,36.205,-24.827,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.94,1210.56,2,0,0.9,0.5,19,1.11,0.9,0.9,17.68,FLYING
18.56,APPROACH,ILS_TRACK,197.37,141.6,-55.77,1852.2,-4.91,9.13,9.55,276.51,12.682,0.2663,0,-20,1,0.6,4.5,0.931,0.35,0.0168,0.4,245.4,1.699,0,1,-1.81,0,0,12.25,245.57,-0.905,-0.4081,0.1202,11.52,245.4,309.16,-103.75,36.007,-27.236,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.24,1214.27,2,0,0.92,0.5,20,1.09,0.92,0.9,18.6,FLYING
19.44,APPROACH,ILS_TRACK,198.39,142.4,-55.99,1848.78,-2.43,8.56,8.1,276.54,12.432,0.0663,0,-19.9,1,0.6,4.5,0.931,0.35,0.0168,0.4,245.4,1.719,0,1,-0.96,0,0,11.53,245.4,-0.9006,-0.4099,0.1442,10.13,245.4,339.18,-97.68,35.817,-28.579,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.68,1219.55,2,0,0.88,0.5,21,1.14,0.92,0.88,19.48,FLYING
20.32,APPROACH,ILS_TRACK,199.42,143.2,-56.22,1846.63,-1.61,7.05,6.21,276.36,12.196,0,0,-19.8,1,0.6,4.5,0.925,0.35,0.0168,0.4,245.4,1.73,0,1,-0.54,0,0,10.14,245.4,-0.8937,-0.4121,0.1774,8.2,245.4,370.47,-90.02,35.626,-30.463,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.9,1224.81,2,0,0.88,0.5,22,1.14,0.88,0.88,20.36,FLYING
21.22,APPROACH,ILS_TRACK,200.23,144,-56.23,1844.18,-2.65,4.75,4.08,276.02,12.002,0,0,-19.701,1,0.6,4.5,0.898,0.35,0.0168,0.4,245.4,1.742,0,1,-0.62,0,0,8.21,245.4,-0.8847,-0.414,0.2144,6.03,245.4,403.37,-82.02,35.43,-32.585,0,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.07,1228.94,2,0,0.9,0.5,23,1.11,0.9,0.88,21.26,FLYING
22.12,APPROACH,ILS_TRACK,200.82,144.8,-56.02,1839.97,-5.35,2.56,2.46,275.71,11.848,0,0,-19.603,1,0.6,4.5,0.862,0.35,0.0168,0.4,245.4,0,0,1,-1.26,0,0,6.05,245.4,-0.8682,-0.4159,0.2708,2.67,245.4,436.71,-75.39,35.233,-34.14,12.014,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.98,1232.03,2,0,0.9,0.5,24,1.11,0.9,0.9,22.16,FLYING
23,APPROACH,ILS_TRACK,201.24,145.6,-55.64,1832.23,-9.95,-0.5,0.36,275.21,11.747,0,0,-19.505,1,0.6,4.5,0.828,0.35,0.0168,0.4,245.4,0,0,1,-2.31,0,0,2.69,245.4,-0.8563,-0.4163,0.3057,0.58,245.4,470.08,-71.71,35.037,-35.486,15.622,0,0,0,274.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.07,1234.39,2,0,0.88,0.5,25,1.11,0.9,0.88,23.06,FLYING
