t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
0.96,TAKEOFF,TO_PREFLIGHT,0.04,80,79.96,4.97,0,-0.32,-0.2,90.73,-0.045,0.2,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.333,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339.97,6,0,0.8,0.5,1,0.47,0.8,0.02,0.24,LANDED
2.96,TAKEOFF,TO_PREFLIGHT,0.3,80,79.7,4.96,0,-0.33,-0.27,90.6,-0.047,0.8,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.333,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.08,2339.49,6,0,0.58,0.5,4,1.5,0.8,0.58,2.24,LANDED
5.54,TAKEOFF,TO_PREFLIGHT,4.04,80,75.96,4.96,-0.01,-0.32,-0.2,90.12,-0.048,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.333,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084.94,2332.92,6,0,0.62,0.5,8,1.55,0.72,0.58,4.8,LANDED
8.12,TAKEOFF,TO_PREFLIGHT,12.24,80,67.76,4.96,-0.03,-0.32,-0.2,89.3,-0.05,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.333,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578.56,2317.82,6,0,0.62,0.5,12,1.54,0.72,0.62,7.4,LANDED
10.72,TAKEOFF,TO_PREFLIGHT,22.93,80,57.07,4.96,-0.04,-0.31,-0.22,89.47,-0.039,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.333,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1861.67,2296.6,6,0,0.62,0.5,16,1.54,0.74,0.62,10,LANDED
13.3,TAKEOFF,TO_PREFLIGHT,35.15,80,44.85,4.98,-0.07,-0.29,-0.18,90.01,-0.045,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.333,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.02,2271.42,6,0,0.62,0.5,20,1.55,0.72,0.62,12.58,LANDED
15.88,TAKEOFF,TO_PREFLIGHT,48.4,80,31.6,4.97,-0.08,-0.28,-0.18,89.88,-0.046,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.333,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2093.39,2244.39,6,0,0.62,0.5,24,1.55,0.72,0.62,15.16,LANDED
17.94,TAKEOFF,TO_GROUND_ROLL,59.05,80,20.95,4.99,-0.09,-0.25,-0.16,90.3,-0.04,1,0,0,0,0,0,0,0,0,0,90.75,0,0,0,0,0.189,0,0,0,0,90.75,1,0.189,-0.467,0.0424,1,0,0.0424,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124.97,2223.91,6,0,0.64,0.5,27,1.47,0.72,0.62,17.22,LANDED
20.02,TAKEOFF,TO_GROUND_ROLL,70.71,80,9.29,4.98,-0.09,-0.24,-0.13,90.43,-0.056,1,0,0,0,0,0,0,0,0,0,90.6,0,0,0,0,0.2,0,0,0,0,90.6,1,0.2,-0.163,0.0072,1,0,0.0072,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140.49,2205.23,6,0,0.66,0.5,30,1.46,0.76,0.64,19.3,LANDED
22.12,TAKEOFF,TO_GROUND_ROLL,82.65,80,-2.65,5,-0.07,-0.18,-0.14,90.52,-0.06,1,0,0,0,0,0,0,0,0,0,90.58,0,0,0,0,0.192,0,0,0,0,90.58,1,0.192,-0.069,0.0018,1,0,0.0018,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2182.87,2226.24,6,0,0.66,0.5,33,1.44,0.78,0.66,21.4,LANDED
