t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.1,APPROACH,ILS_TRACK,72.94,73,0.06,1166.29,-4.11,5.43,8.34,270.38,0.004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.22,0,0,0,90,0,0,0,0,0,-0.64,1.19,20.896,0,0,0,3,1166.29,0,0,1165.1,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.39,413.83,2,0,0.1,0.1,1,3.7,0.1,0.02,0.1,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
0.38,APPROACH,ILS_TRACK,72.91,73,0.09,1165.12,-4.04,5.31,8.18,270.39,0.035,0.0242,0,0.02,1,0.6,1.427,0.75,0.35,0.0168,0.4,270.44,-3.303,0,1,-3.18,0,0,-3.42,270.44,0.8897,0.0077,0.4564,-3.3,270.44,-0.64,1.21,20.875,0.039,-0.303,1,3,1166.29,-0.073,-3.303,1164,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.88,413.9,2,0,0.06,0.06,4,10.71,0.1,0.06,0.38,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
0.64,APPROACH,ILS_TRACK,72.89,73,0.11,1163.96,-4.13,4.7,7.62,270.39,0.066,0.0341,0,0.047,1,0.6,2.538,0.75,0.35,0.0168,0.4,270.44,-3.146,0,1,-3.23,0,0,-3.16,270.43,0.8885,0.0077,0.4588,-3.15,270.44,-0.65,1.15,20.854,0.037,-0.146,1,3,1166.29,-0.249,-3.146,1162.91,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.12,413.98,2,0,0.1,0.1,7,11.54,0.1,0.06,0.64,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
0.9,APPROACH,ILS_TRACK,72.87,73,0.13,1162.83,-4.38,4.46,7.56,270.4,0.06,0.0397,0,0.079,1,0.6,3.404,0.75,0.35,0.0168,0.4,270.43,-3.235,0,1,-3.42,0,0,-3.19,270.42,0.8892,0.0076,0.4574,-3.24,270.43,-0.66,1.1,20.833,0.033,-0.235,1,3,1166.29,-0.12,-3.235,1161.81,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.75,414.05,2,0,0.08,0.08,10,11.54,0.1,0.08,0.9,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
1.16,APPROACH,ILS_TRACK,72.82,73,0.18,1161.73,-4.52,4.88,8.09,270.4,0.054,0.0574,0,0.121,1,0.6,4.078,0.75,0.35,0.0168,0.4,270.43,-3.362,0,1,-3.55,0,0,-3.34,270.44,0.8902,0.0076,0.4554,-3.36,270.43,-0.66,1.1,20.812,0.032,-0.362,1,3,1166.29,0.039,-3.362,1160.71,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.73,414.14,2,0,0.1,0.1,13,11.54,0.1,0.06,1.16,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
1.5,APPROACH,ILS_TRACK,72.73,73,0.27,1160.25,-4.45,5.21,8.38,270.4,0.047,0.0969,0,0.199,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.43,-3.153,0,1,-3.51,0,0,-3.19,270.42,0.8886,0.0076,0.4586,-3.15,270.43,-0.67,1.06,20.785,0.035,-0.153,1,3,1166.29,-0.205,-3.153,1159.28,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.13,414.28,2,0,0.1,0.1,17,11.76,0.1,0.06,1.5,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
1.82,APPROACH,ILS_TRACK,72.62,73,0.38,1158.83,-4.43,5.17,8.33,270.4,0.041,0.1371,0,0.308,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.43,-3.103,0,1,-3.49,0,0,-3.09,270.43,0.8882,0.0076,0.4594,-3.1,270.43,-0.68,0.98,20.759,0.031,-0.103,1,3,1166.29,-0.237,-3.103,1157.94,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.95,414.44,2,0,0.1,0.1,21,12.5,0.1,0.06,1.82,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
2.16,APPROACH,ILS_TRACK,72.49,73,0.51,1157.32,-4.42,5.17,8.33,270.4,0.037,0.1678,0,0.466,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.43,-3.084,0,1,-3.49,0,0,-3.09,270.43,0.8881,0.0076,0.4596,-3.08,270.43,-0.68,0.9,20.732,0.031,-0.084,1,3,1166.29,-0.231,-3.084,1156.51,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.26,414.61,2,0,0.1,0.1,25,11.76,0.1,0.06,2.16,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
2.5,APPROACH,ILS_TRACK,72.34,73,0.66,1155.82,-4.4,5.17,8.33,270.4,0.034,0.1933,0,0.671,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.43,-3.07,0,1,-3.48,0,0,-3.07,270.42,0.888,0.0076,0.4598,-3.07,270.43,-0.68,0.82,20.705,0.03,-0.07,1,3,1166.29,-0.22,-3.07,1155.09,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.81,414.78,2,0,0.1,0.1,29,11.76,0.1,0.06,2.5,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
2.82,APPROACH,ILS_TRACK,72.21,73,0.79,1154.42,-4.38,5.18,8.32,270.4,0.032,0.216,0,0.908,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.43,-3.056,0,1,-3.47,0,0,-3.06,270.44,0.8879,0.0076,0.46,-3.06,270.43,-0.69,0.75,20.679,0.031,-0.056,1,3,1166.29,-0.212,-3.056,1153.76,0,0,0,270.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.51,414.95,2,0,0.1,0.1,33,12.5,0.1,0.06,2.82,FLYING,CF1-H,0:/Integrated Flight Computer/aircraft/cf1_h_cfg.ks (inferred preloaded)
