t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_auth_reason,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_theta_cmd_raw,flare_theta_cmd_clamped,flare_theta_clamp_active,flare_aoa_clamp_active,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,154.29,152,-2.29,741.88,662.89,-12.05,10.89,15.12,269.83,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.48,0,0,0,90,0,0,0,0,0,7.04,-488.01,22.055,0,0,0,3,741.88,0,0,1230.12,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,662.89,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.91,1081.32,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.48,APPROACH,ILS_TRACK,154.38,152,-2.38,738.22,659.17,-11.42,11.22,15.23,269.84,0.298,0,0,0,1,0.6,2.105,0.75,0.35,0.0168,0.4,1.004,21.221,1.004,2.376,1,269.91,0,0,1,-4.25,0,0,0,269.91,0.7394,-0.0016,-0.6733,0,269.91,6.81,-488.88,22.006,-0.091,0,0,3,741.88,-2.907,0,1227.56,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,659.17,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.31,1081.97,2,0,0.08,0.08,4,9.38,0.14,0.08,0.48,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.78,APPROACH,ILS_TRACK,154.37,152,-2.37,734.89,655.81,-11.05,11.28,15.17,269.78,0.167,0,0,0,1,0.6,3.745,0.75,0.35,0.0168,0.4,1.005,21.221,1.005,2.376,1,269.92,0,0,1,-4.11,0,0,0,269.91,0.7393,-0.0015,-0.6733,0,269.92,6.6,-489.67,21.957,-0.084,0,0,3,741.88,-2.386,0,1224.99,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,655.81,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.63,1082.22,2,0,0.08,0.08,7,10,0.12,0.08,0.78,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.08,APPROACH,ILS_TRACK,154.28,152,-2.28,731.78,652.55,-10.56,11.76,15.5,269.83,0.4,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.91,21.245,0.91,2.292,1,269.93,0,0,1,-3.95,0,0,0,269.93,0.7393,-0.0013,-0.6734,0,269.93,6.38,-490.23,21.908,-0.073,0,0,3,741.88,-1.683,0,1222.42,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,652.55,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.54,1082.07,2,0,0.08,0.08,10,10,0.12,0.08,1.08,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.44,APPROACH,ILS_TRACK,153.86,152,-1.86,728.01,648.94,-9.6,11.43,14.73,269.85,0.335,0.048,0,-0.475,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.451,21.358,0.451,1.891,1,269.93,0,0,1,-3.6,0,0,0,269.93,0.7392,-0.0012,-0.6735,0,269.93,6.12,-490.91,21.849,-0.067,0,0,3,741.88,-2.153,0,1219.35,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,648.94,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.57,1080.54,2,0,0.12,0.12,13,8.33,0.12,0.08,1.44,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.78,APPROACH,ILS_TRACK,153.57,152,-1.57,724.4,645.69,-9.37,10.01,13.24,269.87,0.497,0.1308,0,-1.037,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.446,0,1.577,0,269.93,0,0,1,-3.51,0,0,0,269.93,0.7391,-0.0012,-0.6735,0,269.93,5.89,-491.64,21.794,-0.07,0,0,3,741.88,-1.977,0,1216.46,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,645.69,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.4,1079.51,2,0,0.1,0.1,16,8.82,0.12,0.1,1.78,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.06,APPROACH,ILS_TRACK,153.4,152,-1.4,721.34,643.1,-9.17,8.53,11.61,269.87,0.414,0.1141,0,-1.448,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.493,0,1.41,0,269.93,0,0,1,-3.42,0,0,0,269.94,0.7391,-0.0013,-0.6736,0,269.93,5.71,-492.28,21.748,-0.075,0,0,3,741.88,-2.618,0,1214.07,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,643.1,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.88,1078.96,2,0,0.08,0.08,19,10.71,0.1,0.08,2.06,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.36,APPROACH,ILS_TRACK,153.41,152,-1.41,717.96,640.27,-9.72,6.52,9.82,269.84,0.337,0.0211,0,-1.741,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.497,0,1.399,0,269.93,0,0,1,-3.59,0,0,0,269.93,0.739,-0.0012,-0.6737,0,269.93,5.53,-493.11,21.7,-0.069,0,0,3,741.88,-2.741,0,1211.53,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,640.27,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.58,1079.18,2,0,0.08,0.08,22,10,0.12,0.08,2.36,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.66,APPROACH,ILS_TRACK,153.53,152,-1.53,714.69,637.21,-10.59,5.57,9.26,269.83,0.273,0,0,-1.715,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.023,21.463,0.023,1.52,0,269.94,0,0,1,-3.9,0,0,0,269.94,0.739,-0.0011,-0.6737,0,269.94,5.34,-493.86,21.651,-0.064,0,0,3,741.88,-2.316,0,1208.97,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,637.21,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.18,1079.91,2,0,0.08,0.08,25,10,0.12,0.08,2.66,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.96,APPROACH,ILS_TRACK,153.59,152,-1.59,711.57,633.91,-11.41,6.05,10.14,269.82,0.203,0,0,-1.69,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.106,21.442,0.106,1.592,1,269.95,0,0,1,-4.21,0,0,0,269.94,0.7389,-0.0009,-0.6738,0,269.95,5.16,-494.45,21.602,-0.049,0,0,3,741.88,-1.747,0,1206.42,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,633.91,0,0,0,0,0,0,0,0,0,269.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.03,1080.45,2,0,0.08,0.08,28,10,0.12,0.08,2.96,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
