t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.92,APPROACH,ILS_TRACK,110.08,80,-30.08,238.61,-5.66,-0.95,1.88,88.78,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.96,FLYING
1.78,APPROACH,ILS_TRACK,112.09,80,-32.09,234.04,-5.28,-0.91,1.66,88.78,-0.01,0,0,-16.004,93.23,0,-7.82,-230.17,6.313,4.225,437.332,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.82,FLYING
2.64,APPROACH,ILS_TRACK,113.28,80,-33.28,229.86,-4.57,-0.51,1.75,89.21,-5.651,0,0,-20,89.5,0,-8.17,-229.06,6.212,0.501,66.939,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.68,FLYING
3.44,APPROACH,ILS_TRACK,113.88,80,-33.88,226.42,-4.09,-0.35,1.63,89.34,-3.032,0,0,-20,89.26,0,-8.05,-227.63,6.118,0.259,66,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.48,FLYING
4.24,APPROACH,ILS_TRACK,114.13,80,-34.13,223.4,-3.57,-0.15,1.57,89.38,-0.746,0,0,-20,88.99,0,-7.43,-225.76,6.023,-0.011,64.736,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4.28,FLYING
5.04,APPROACH,ILS_TRACK,114.05,80,-34.05,220.77,-3.11,0.05,1.56,89.41,0.061,0,0,-20,88.91,0,-6.7,-223.49,5.928,-0.094,63.416,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5.08,FLYING
5.84,APPROACH,ILS_TRACK,113.68,80,-33.68,218.48,-2.71,0.26,1.57,89.38,0.528,0,0,-20,88.87,0,-5.97,-220.88,5.834,-0.127,62.085,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5.88,FLYING
6.64,APPROACH,ILS_TRACK,113.09,80,-33.09,216.5,-2.35,0.47,1.61,89.34,0.745,0,0,-20,88.87,0,-5.3,-217.98,5.74,-0.126,60.752,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6.68,FLYING
7.48,APPROACH,ILS_TRACK,112.27,80,-32.27,214.7,-2.03,0.68,1.68,89.28,0.795,0,0,-20,88.88,0,-4.68,-214.67,5.641,-0.121,59.115,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7.52,FLYING
8.3,APPROACH,ILS_TRACK,111.31,80,-31.31,213.18,-1.76,0.89,1.77,89.23,0.751,0,0,-20,88.92,0,-4.18,-211.24,5.546,-0.081,57.876,0,0,0,88.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8.34,FLYING
