t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,156.82,152,-4.82,1344.72,1264.04,-14.84,11.96,17.6,268.4,-17.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5.43,0,0,0,90,0,0,0,0,0,-109.26,-269.93,29.392,0,0,0,3,1344.72,0,0,1614.65,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.92,1052.81,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,156.76,152,-4.76,1340.91,1260.37,-14.08,11.81,17.15,268.3,-16.093,0,0,0,1,0.6,1.422,0.75,0.35,0.0168,0.4,3.627,20.548,3.627,4.765,1,272.01,0,0,1,-5.18,0,0,0,295,-0.0814,0.035,0.9961,0,272.01,-107.21,-271.19,29.354,2.006,0,0,3,1344.72,-5.682,0,1612.69,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.48,1052.79,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,156.63,152,-4.63,1337.14,1256.94,-13.5,11.16,16.26,268.14,-14.571,0,0,0,1,0.6,2.625,0.75,0.35,0.0168,0.4,3.487,20.585,3.487,4.634,1,272.13,0,0,1,-4.95,0,0,0,272.06,-0.0813,0.0372,0.996,0,272.13,-105,-272.65,29.31,2.13,0,0,3,1344.72,-5.537,0,1610.36,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.42,1052.42,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.04,APPROACH,ILS_TRACK,156.49,152,-4.49,1332.16,1252.63,-13.13,10.39,15.17,268.41,-9.046,0,0,0,1,0.6,4.091,0.75,0.35,0.0168,0.4,3.345,20.623,3.345,4.501,1,272.34,0,0,1,-4.8,0,0,0,272.27,-0.0812,0.0407,0.9959,0,272.34,-102.33,-274.45,29.249,2.335,0,0,3,1344.72,-4.705,0,1607.15,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.12,1052.13,2,0,0.12,0.12,8,8.33,0.12,0.12,1.04,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.4,APPROACH,ILS_TRACK,156.37,152,-4.37,1327.53,1248.36,-12.84,10.52,15.01,269.23,-3.971,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.214,20.657,3.214,4.378,1,272.43,0,0,1,-4.72,0,0,0,272.41,-0.0811,0.0424,0.9958,0,272.43,-100,-275.9,29.187,2.431,0,0,3,1344.72,-3.689,0,1603.93,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.67,1051.89,2,0,0.12,0.12,11,8.33,0.12,0.12,1.4,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.7,APPROACH,ILS_TRACK,156.19,152,-4.19,1323.84,1244.78,-12.46,10.86,15.1,270,-1.341,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.028,20.706,3.028,4.205,1,272.43,0,0,1,-4.58,0,0,0,272.44,-0.081,0.0424,0.9958,0,272.43,-98.19,-276.94,29.136,2.433,0,0,3,1344.72,-3.286,0,1601.26,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.51,1051.35,2,0,0.08,0.08,14,10,0.12,0.08,1.7,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.06,APPROACH,ILS_TRACK,155.85,152,-3.85,1319.64,1240.47,-11.9,11.55,15.61,270.81,-0.335,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.667,20.8,2.667,3.873,1,272.37,0,0,1,-4.41,0,0,0,272.39,-0.0809,0.0413,0.9959,0,272.37,-96.05,-277.96,29.075,2.369,0,0,3,1344.72,-2.562,0,1598.05,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.81,1050.14,2,0,0.12,0.12,17,8.33,0.12,0.08,2.06,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.4,APPROACH,ILS_TRACK,155.34,152,-3.34,1315.82,1236.56,-11.27,11.92,15.75,271.45,0.191,0.1143,0,-1.203,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,20.942,0,3.367,0,272.29,0,0,1,-4.17,0,0,0,272.32,-0.0808,0.04,0.9959,0,272.29,-94.05,-278.78,29.018,2.293,0,0,3,1344.72,-2.219,0,1595.04,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.03,1048.16,2,0,0.1,0.1,20,8.82,0.12,0.1,2.4,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.68,APPROACH,ILS_TRACK,154.86,152,-2.86,1312.91,1233.45,-10.86,12.48,16.22,271.89,0.466,0.2263,0,-2.06,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.074,0,2.897,0,272.21,0,0,1,-4.03,0,0,0,272.25,-0.0807,0.0386,0.996,0,272.21,-92.41,-279.25,28.97,2.215,0,0,3,1344.72,-1.387,0,1592.56,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.08,1046.3,2,0,0.08,0.08,23,10.71,0.1,0.08,2.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.98,APPROACH,ILS_TRACK,154.26,152,-2.26,1310.04,1230.28,-10.31,13.55,17.14,272.13,0.542,0.3463,0,-2.812,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.242,0,2.302,0,272.13,0,0,1,-3.86,0,0,0,272.15,-0.0807,0.0371,0.996,0,272.13,-90.62,-279.5,28.92,2.128,0,0,3,1344.72,-0.545,0,1589.91,0,0,0,268.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.74,1043.91,2,0,0.08,0.08,26,10,0.12,0.08,2.98,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
