t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,154.54,152,-2.54,737.99,659.84,-11.79,11.49,15.66,269.85,0.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.38,0,0,0,90,0,0,0,0,0,6.78,-489.21,21.999,0,0,0,3,737.99,0,0,1227.21,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.49,1082.68,2,0,0.14,0.14,1,3.7,0.14,0.02,0.18,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.44,APPROACH,ILS_TRACK,154.53,152,-2.53,734.87,656.89,-11.06,11.79,15.63,269.84,0.261,0,0,0,1,0.6,1.463,0.75,0.35,0.0168,0.4,1.183,21.177,1.183,2.533,1,269.91,0,0,1,-4.14,0,0,0,255.8,0.6219,-0.0015,0.7831,0,269.91,6.6,-489.83,21.96,-0.087,0,0,3,737.99,-2.63,0,1225.15,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.43,1082.9,2,0,0.12,0.12,3,7.69,0.14,0.12,0.44,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,154.35,152,-2.35,732.05,654.12,-10.28,11.04,14.38,269.8,0.166,0,0,0,1,0.6,2.7,0.75,0.35,0.0168,0.4,0.971,21.23,0.971,2.346,1,269.93,0,0,1,-3.85,0,0,0,269.92,0.6219,-0.0012,0.7831,0,269.93,6.42,-490.64,21.917,-0.071,0,0,3,737.99,-3.322,0,1222.93,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.44,1082.29,2,0,0.12,0.12,5,7.69,0.14,0.12,0.7,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,154.22,152,-2.22,728.85,651.45,-10.14,9.13,12.38,269.8,0.281,0,0,0,1,0.6,3.746,0.75,0.35,0.0168,0.4,0.832,21.264,0.832,2.224,1,269.94,0,0,1,-3.75,0,0,0,269.92,0.622,-0.001,0.783,0,269.94,6.23,-491.61,21.875,-0.06,0,0,3,737.99,-3.776,0,1220.71,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.57,1081.94,2,0,0.12,0.12,7,7.69,0.14,0.12,0.96,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.22,APPROACH,ILS_TRACK,154.36,152,-2.36,725.45,648.77,-10.47,7.35,10.79,269.81,0.262,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.987,21.226,0.987,2.36,1,269.93,0,0,1,-3.85,0,0,0,269.93,0.622,-0.0013,0.783,0,269.93,6.05,-492.56,21.833,-0.074,0,0,3,737.99,-3.583,0,1218.48,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.85,1082.7,2,0,0.12,0.12,9,7.69,0.14,0.12,1.22,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.46,APPROACH,ILS_TRACK,154.55,152,-2.55,722.63,645.96,-11.12,6.33,10.15,269.79,0.148,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.203,21.172,1.203,2.552,1,269.94,0,0,1,-4.08,0,0,0,269.94,0.6221,-0.0011,0.7829,0,269.94,5.87,-493.4,21.79,-0.063,0,0,3,737.99,-3.117,0,1216.26,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.88,1083.72,2,0,0.12,0.12,11,7.69,0.14,0.12,1.48,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.72,APPROACH,ILS_TRACK,154.71,152,-2.71,719.71,642.98,-11.8,6.41,10.65,269.77,0.059,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.379,21.128,1.379,2.708,1,269.94,0,0,1,-4.33,0,0,0,269.94,0.6222,-0.0011,0.7829,0,269.94,5.69,-494.1,21.748,-0.062,0,0,3,737.99,-2.526,0,1214.03,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.46,1084.61,2,0,0.12,0.12,13,7.69,0.14,0.12,1.74,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.98,APPROACH,ILS_TRACK,154.76,152,-2.76,716.98,639.86,-12.26,7.63,12.2,269.76,0.007,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.443,21.112,1.443,2.765,1,269.94,0,0,1,-4.51,0,0,0,269.95,0.6222,-0.001,0.7829,0,269.94,5.51,-494.63,21.705,-0.057,0,0,3,737.99,-1.825,0,1211.81,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.4,1085.11,2,0,0.12,0.12,15,7.69,0.14,0.12,2,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.24,APPROACH,ILS_TRACK,154.66,152,-2.66,714.35,636.7,-12.01,9.54,13.99,269.75,-0.011,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.321,21.142,1.321,2.656,1,269.96,0,0,1,-4.47,0,0,0,269.96,0.6223,-0.0008,0.7828,0,269.96,5.33,-495.03,21.663,-0.045,0,0,3,737.99,-1.58,0,1209.58,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.56,1084.91,2,0,0.12,0.12,17,7.69,0.14,0.12,2.26,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.5,APPROACH,ILS_TRACK,154.31,152,-2.31,711.65,633.66,-11.49,10.87,15.06,269.76,0.053,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.934,21.239,0.934,2.314,1,269.97,0,0,1,-4.29,0,0,0,269.96,0.6223,-0.0005,0.7828,0,269.97,5.15,-495.5,21.62,-0.029,0,0,3,737.99,-1.836,0,1207.36,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.8,1083.7,2,0,0.12,0.12,19,7.69,0.14,0.12,2.52,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
