t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.1,APPROACH,ILS_TRACK,74.75,73,-1.75,2247.56,-9.16,5.57,11.5,271.78,3.162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6.99,0,0,0,90,0,0,0,0,0,0,0,33.758,0,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.47,362.62,2,0,0.1,0.1,1,3.7,0.1,0.02,0.1,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.4,APPROACH,ILS_TRACK,75.32,73,-2.32,2244.98,-8.62,6.07,11.66,271.72,3.07,0,0,0,1,0.6,1.018,0.75,0.35,0.0168,0.4,270,-5.036,0,1,-6.56,0,0,6.68,270.04,0.7868,-0.0002,0.6172,6.64,270,0.73,407.28,33.733,-0.402,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.24,362.37,2,0,0.08,0.08,4,10,0.1,0.08,0.4,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.66,APPROACH,ILS_TRACK,75.73,73,-2.73,2242.76,-8.09,5.83,11.07,271.8,2.467,0,0,0,1,0.6,1.81,0.75,0.35,0.0168,0.4,269.97,-5.031,0,1,-6.14,0,0,6.44,270.02,0.7924,-0.0007,0.61,6.12,269.97,1.12,406.26,33.71,-0.433,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.96,362.2,2,0,0.1,0.1,7,11.54,0.1,0.06,0.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1,APPROACH,ILS_TRACK,76.23,73,-3.23,2239.74,-7.79,3.91,8.88,271.98,1.746,0,0,0,1,0.6,2.6,0.75,0.35,0.0168,0.4,269.91,-5.024,0,1,-5.83,0,0,4.64,269.94,0.8146,-0.0017,0.58,3.99,269.91,1.67,404.83,33.68,-0.49,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.08,361.99,2,0,0.1,0.1,11,11.76,0.1,0.06,1,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.32,APPROACH,ILS_TRACK,76.78,73,-3.78,2236.9,-8.11,2.04,7.16,271.86,1.416,0,0,0,1,0.6,3.165,0.75,0.35,0.0168,0.4,269.84,-5.017,0,1,-6.01,0,0,2.67,269.85,0.8322,-0.0029,0.5545,2.22,269.84,2.25,403.49,33.651,-0.561,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.18,361.75,2,0,0.1,0.1,15,12.5,0.1,0.06,1.32,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,77.38,73,-4.38,2233.96,-8.81,1.63,7.15,271.75,0.994,0,0,0,1,0.6,3.568,0.75,0.35,0.0168,0.4,269.8,-5.011,0,1,-6.47,0,0,1.93,269.83,0.8334,-0.0035,0.5527,2.09,269.8,2.89,402.15,33.621,-0.598,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.57,361.49,2,0,0.1,0.1,19,11.76,0.1,0.06,1.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2,APPROACH,ILS_TRACK,77.92,73,-4.92,2231.04,-9.16,2.42,8.13,271.73,0.738,0,0,0,1,0.6,3.857,0.75,0.35,0.0168,0.4,269.77,-5.004,0,1,-6.69,0,0,2.74,269.78,0.8241,-0.0041,0.5665,3.05,269.77,3.56,400.84,33.59,-0.633,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.01,361.27,2,0,0.1,0.1,23,11.76,0.1,0.06,2,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.32,APPROACH,ILS_TRACK,78.31,73,-5.31,2228.39,-9.15,4.08,9.79,271.81,0.913,0,0,0,1,0.6,4.063,0.75,0.35,0.0168,0.4,269.73,-4.999,0,1,-6.69,0,0,4.09,269.75,0.8077,-0.0047,0.5896,4.68,269.73,4.18,399.71,33.561,-0.666,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.02,361.14,2,0,0.1,0.1,27,12.5,0.1,0.06,2.32,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.66,APPROACH,ILS_TRACK,78.57,73,-5.57,2225.67,-8.49,5.8,11.1,271.82,0.512,0,0,0,1,0.6,4.21,0.75,0.35,0.0168,0.4,269.68,-4.993,0,1,-6.21,0,0,5.78,269.7,0.7932,-0.0057,0.609,6.07,269.68,4.89,398.61,33.53,-0.718,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.29,361.11,2,0,0.1,0.1,31,11.76,0.1,0.06,2.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.98,APPROACH,ILS_TRACK,78.67,73,-5.67,2223.16,-7.68,6.28,11.07,271.78,0.339,0,0,0,1,0.6,4.316,0.75,0.35,0.0168,0.4,269.66,-4.988,0,1,-5.61,0,0,6.18,269.67,0.7929,-0.006,0.6094,6.1,269.66,5.55,397.64,33.5,-0.741,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.88,361.16,2,0,0.1,0.1,35,12.5,0.1,0.06,2.98,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
