t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.22,TAKEOFF,TO_PREFLIGHT,0.14,80,79.86,5.3,-1.01,5.11,87.26,90.15,-0.124,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.224,0,0,1,0,0,0,0,0,0,0,0,1,0.26,LANDED
0.4,TAKEOFF,TO_PREFLIGHT,0.85,80,79.15,4.9,-0.29,4.3,83.19,90.09,-0.135,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.292,0,0,1,0,0,0,0,0,0,0,0,1,0.44,LANDED
0.58,TAKEOFF,TO_PREFLIGHT,0.13,80,79.87,4.56,0.36,3.02,-63.1,90.03,-0.036,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.354,0,0,1,0,0,0,0,0,0,0,1,1,0.64,LANDED
0.78,TAKEOFF,TO_PREFLIGHT,0.25,80,79.75,4.17,-0.28,1.69,39.21,89.96,-0.068,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.415,0,0,1,0,0,0,0,0,0,0,1,1,0.82,LANDED
0.96,TAKEOFF,TO_PREFLIGHT,0.45,80,79.55,3.77,0.09,0.42,-1.58,89.9,-0.014,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.478,0,0,1,0,0,0,0,0,0,0,1,1,1,LANDED
1.14,TAKEOFF,TO_PREFLIGHT,0.48,80,79.52,3.52,0.21,-0.57,-30.8,89.89,-0.038,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.509,0,0,1,0,0,0,0,0,0,0,1,1,1.18,LANDED
1.36,TAKEOFF,TO_PREFLIGHT,0.14,80,79.86,3.6,-0.29,-0.31,66.58,89.89,-0.07,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.508,0,0,1,0,0,0,0,0,0,0,1,1,1.4,LANDED
1.54,TAKEOFF,TO_PREFLIGHT,0.42,80,79.58,3.7,-0.22,0.27,41.98,89.88,-0.057,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.512,0,0,1,0,0,0,0,0,0,0,1,1,1.58,LANDED
1.72,TAKEOFF,TO_PREFLIGHT,0.24,80,79.76,3.95,0.5,0.97,-69.17,89.88,-0.037,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.518,0,0,1,0,0,0,0,0,0,0,1,1,1.76,LANDED
1.9,TAKEOFF,TO_PREFLIGHT,0.33,80,79.67,4.17,-0.24,1.67,28.13,89.88,-0.048,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.521,0,0,1,0,0,0,0,0,0,0,1,1,1.94,LANDED
2.1,TAKEOFF,TO_GROUND_ROLL,0.39,80,79.61,4.32,-0.08,2.34,32.12,89.87,-0.062,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.526,0,0,1,0,0,0,0,0,0,0,1,1,2.14,LANDED
2.34,TAKEOFF,TO_GROUND_ROLL,0.27,80,79.73,4.57,0.05,3.14,-29.54,89.87,-0.042,0.08,0,90.4,0,0,0,0,0.001,0,0,0,0,90.4,1,0.001,-0.531,0,0,1,0,0,0,0,0,0,0,1,1,2.38,LANDED
2.64,TAKEOFF,TO_GROUND_ROLL,0.25,80,79.75,4.68,0.02,3.6,4.58,89.87,-0.054,0.2,0,90.4,0,0,0,0,0.001,0,0,0,0,90.4,1,0.001,-0.534,0,0,1,0,0,0,0,0,0,0,1,1,2.68,LANDED
2.88,TAKEOFF,TO_GROUND_ROLL,0.2,80,79.8,4.72,0.03,3.61,-28.64,89.86,-0.052,0.296,0,90.4,0,0,0,0,0.001,0,0,0,0,90.4,1,0.001,-0.539,0,0,1,0,0,0,0,0,0,0,1,1,2.92,LANDED
