time_s,phase,ias_mps,aoa_deg,vs_mps,agl_m,lift_kN,weight_kN,lift_ratio,vs1g_est_mps
#META,tag=IFC_TAKEOFF_RWY_09,far_ok=True,alpha_crit_deg=18
0.02,TAKEOFF:TO_PREFLIGHT,0.957,-80.578,0.455,5.536,-0.208,971.105,-0.00021,-1
0.16,TAKEOFF:TO_PREFLIGHT,0.2,87.999,-0.883,5.338,0.07,971.105,7E-05,-1
0.34,TAKEOFF:TO_PREFLIGHT,0.888,86.902,-0.368,4.936,0.151,971.105,0.00016,-1
0.52,TAKEOFF:TO_PREFLIGHT,0.104,-65.545,0.409,4.627,-0.082,971.105,-8E-05,-1
0.72,TAKEOFF:TO_PREFLIGHT,0.269,33.997,-0.244,4.219,0.005,971.105,0,-1
0.9,TAKEOFF:TO_PREFLIGHT,0.441,7.238,0.019,3.809,0.019,971.105,2E-05,-1
1.08,TAKEOFF:TO_PREFLIGHT,0.479,-31.928,0.228,3.539,-0.072,971.105,-7E-05,-1
1.3,TAKEOFF:TO_PREFLIGHT,0.193,76.516,-0.225,3.581,0.012,971.105,1E-05,-1
1.48,TAKEOFF:TO_PREFLIGHT,0.397,46.691,-0.29,3.689,0.113,971.105,0.00012,-1
1.66,TAKEOFF:TO_PREFLIGHT,0.239,-67.353,0.491,3.912,-0.117,971.105,-0.00012,-1
1.84,TAKEOFF:TO_PREFLIGHT,0.369,10.729,-0.157,4.159,-0.014,971.105,-1E-05,-1
2.02,TAKEOFF:TO_GROUND_ROLL,0.38,48.667,-0.23,4.281,0.08,971.105,8E-05,-1
2.28,TAKEOFF:TO_GROUND_ROLL,0.257,-45.326,0.148,4.552,-0.061,971.105,-6E-05,-1
2.58,TAKEOFF:TO_GROUND_ROLL,0.25,27.673,-0.072,4.673,0.016,971.105,2E-05,-1
2.82,TAKEOFF:TO_GROUND_ROLL,0.198,-40.223,0.098,4.718,-0.013,971.104,-1E-05,-1
3.06,TAKEOFF:TO_GROUND_ROLL,0.147,43.005,-0.102,4.621,0.02,971.103,2E-05,-1
3.3,TAKEOFF:TO_GROUND_ROLL,0.068,-79.083,0.103,4.474,0,971.101,0,-1
3.6,TAKEOFF:TO_GROUND_ROLL,0.084,30.438,-0.07,4.209,0,971.098,0,-1
3.84,TAKEOFF:TO_GROUND_ROLL,0.24,-10.801,0.073,3.986,-0.011,971.094,-1E-05,-1
4.08,TAKEOFF:TO_GROUND_ROLL,0.451,4.558,-0.046,3.777,-0.004,971.089,0,-1
4.32,TAKEOFF:TO_GROUND_ROLL,0.722,3.978,-0.069,3.613,0.001,971.083,0,-1
4.62,TAKEOFF:TO_GROUND_ROLL,1.151,3.416,-0.082,3.679,0.039,971.073,4E-05,-1
4.86,TAKEOFF:TO_GROUND_ROLL,1.575,-4.041,0.186,3.798,0.006,971.063,1E-05,-1
5.1,TAKEOFF:TO_GROUND_ROLL,2.078,1.048,-0.039,3.987,0.057,971.051,6E-05,-1
5.34,TAKEOFF:TO_GROUND_ROLL,2.646,3.65,-0.083,4.119,0.19,971.039,0.0002,-1
5.64,TAKEOFF:TO_GROUND_ROLL,3.45,1.791,0.022,4.337,0.197,971.02,0.0002,-1
5.88,TAKEOFF:TO_GROUND_ROLL,4.167,3.743,-0.072,4.464,0.39,971.004,0.0004,-1
6.12,TAKEOFF:TO_GROUND_ROLL,4.944,3.015,0.016,4.562,0.436,970.987,0.00045,-1
6.36,TAKEOFF:TO_GROUND_ROLL,5.78,3.599,-0.031,4.618,0.556,970.968,0.00057,-1
6.64,TAKEOFF:TO_GROUND_ROLL,6.824,3.435,-0.007,4.609,0.746,970.945,0.00077,-1
6.88,TAKEOFF:TO_GROUND_ROLL,7.776,3.208,-0.008,4.555,0.868,970.924,0.00089,-1
7.12,TAKEOFF:TO_GROUND_ROLL,8.777,2.933,-0.016,4.454,1.008,970.902,0.00104,-1
7.36,TAKEOFF:TO_GROUND_ROLL,9.827,2.419,-0.007,4.324,1.084,970.879,0.00112,-1
7.6,TAKEOFF:TO_GROUND_ROLL,10.921,1.959,-0.017,4.178,1.165,970.855,0.0012,-1
7.88,TAKEOFF:TO_GROUND_ROLL,12.254,1.366,-0.018,4.008,1.218,970.825,0.00125,-1
8.12,TAKEOFF:TO_GROUND_ROLL,13.44,0.939,-0.025,3.882,1.269,970.799,0.00131,-1
8.36,TAKEOFF:TO_GROUND_ROLL,14.665,0.616,-0.031,3.788,1.322,970.773,0.00136,-1
8.6,TAKEOFF:TO_GROUND_ROLL,15.927,0.423,-0.034,3.735,1.539,970.745,0.00159,-1
8.84,TAKEOFF:TO_GROUND_ROLL,17.224,0.396,-0.04,3.728,1.864,970.717,0.00192,-1
9.12,TAKEOFF:TO_GROUND_ROLL,18.78,0.556,-0.044,3.778,2.486,970.683,0.00256,-1
9.36,TAKEOFF:TO_GROUND_ROLL,20.147,0.846,-0.05,3.863,3.284,970.653,0.00338,-1
9.6,TAKEOFF:TO_GROUND_ROLL,21.545,1.237,-0.054,3.977,4.346,970.622,0.00448,-1
9.86,TAKEOFF:TO_GROUND_ROLL,23.09,1.723,-0.059,4.118,5.715,970.589,0.00589,-1
10.16,TAKEOFF:TO_GROUND_ROLL,24.913,2.282,-0.063,4.278,7.508,970.549,0.00774,-1
10.42,TAKEOFF:TO_GROUND_ROLL,26.524,2.694,-0.065,4.395,9.43,970.514,0.00972,-1
10.68,TAKEOFF:TO_GROUND_ROLL,28.162,2.981,-0.065,4.476,11.267,970.478,0.01161,-1
10.94,TAKEOFF:TO_GROUND_ROLL,29.827,3.112,-0.065,4.512,12.707,970.442,0.01309,-1
11.24,TAKEOFF:TO_GROUND_ROLL,31.78,3.051,-0.064,4.492,14.154,970.399,0.01459,-1
11.5,TAKEOFF:TO_GROUND_ROLL,33.498,2.828,-0.064,4.426,14.703,970.362,0.01515,-1
11.76,TAKEOFF:TO_GROUND_ROLL,35.239,2.481,-0.066,4.325,14.985,970.324,0.01544,-1
12.02,TAKEOFF:TO_GROUND_ROLL,37.003,2.058,-0.069,4.202,14.606,970.286,0.01505,-1
12.32,TAKEOFF:TO_GROUND_ROLL,39.065,1.547,-0.073,4.054,14,970.241,0.01443,-1
12.58,TAKEOFF:TO_GROUND_ROLL,40.873,1.148,-0.077,3.94,13.358,970.202,0.01377,-1
12.84,TAKEOFF:TO_GROUND_ROLL,42.7,0.842,-0.082,3.853,13.044,970.162,0.01345,-1
13.1,TAKEOFF:TO_GROUND_ROLL,44.545,0.663,-0.086,3.804,13.333,970.122,0.01374,-1
13.4,TAKEOFF:TO_GROUND_ROLL,46.694,0.638,-0.089,3.801,14.729,970.076,0.01518,-1
13.66,TAKEOFF:TO_GROUND_ROLL,48.573,0.77,-0.093,3.842,16.934,970.035,0.01746,-1
13.92,TAKEOFF:TO_GROUND_ROLL,50.467,1.02,-0.096,3.916,20.405,969.994,0.02104,-1
14.18,TAKEOFF:TO_GROUND_ROLL,52.374,1.349,-0.098,4.013,24.606,969.953,0.02537,-1
14.48,TAKEOFF:TO_GROUND_ROLL,54.591,1.768,-0.102,4.134,30.555,969.905,0.0315,-1
14.74,TAKEOFF:TO_GROUND_ROLL,56.525,2.101,-0.103,4.23,35.672,969.863,0.03678,-1
15,TAKEOFF:TO_GROUND_ROLL,58.47,2.364,-0.103,4.303,40.822,969.821,0.04209,-1
15.26,TAKEOFF:TO_GROUND_ROLL,60.426,2.516,-0.103,4.346,44.839,969.779,0.04624,-1
15.56,TAKEOFF:TO_GROUND_ROLL,62.697,2.536,-0.102,4.349,48.399,969.73,0.04991,-1
15.82,TAKEOFF:TO_GROUND_ROLL,64.676,2.415,-0.101,4.312,49.57,969.687,0.05112,286.055
16.08,TAKEOFF:TO_GROUND_ROLL,66.666,2.189,-0.101,4.245,49.679,969.644,0.05123,294.526
16.34,TAKEOFF:TO_GROUND_ROLL,68.667,1.887,-0.101,4.157,48.145,969.601,0.04965,-1
16.64,TAKEOFF:TO_GROUND_ROLL,70.989,1.501,-0.103,4.045,45.831,969.551,0.04727,-1
16.9,TAKEOFF:TO_GROUND_ROLL,73.015,1.182,-0.104,3.953,43.296,969.508,0.04466,-1
17.16,TAKEOFF:TO_GROUND_ROLL,75.053,0.922,-0.105,3.879,41.677,969.464,0.04299,-1
17.42,TAKEOFF:TO_GROUND_ROLL,77.105,0.748,-0.138,3.83,40.912,969.42,0.0422,-1
17.72,TAKEOFF:TO_GROUND_ROLL,79.49,0.672,-0.506,3.636,41.613,969.369,0.04293,-1
17.98,TAKEOFF:TO_GROUND_ROLL,81.536,1.139,-1.42,3.801,53.442,969.324,0.05513,347.249
18.24,TAKEOFF:TO_GROUND_ROLL,83.649,0.443,-1.057,3.75,42.653,969.279,0.04401,-1
18.5,TAKEOFF:TO_GROUND_ROLL,85.788,-0.112,-1.261,3.73,29.87,969.233,0.03082,-1
18.8,TAKEOFF:TO_GROUND_ROLL,88.292,0.064,-1.749,3.641,38.739,969.181,0.03997,-1
19.06,TAKEOFF:TO_GROUND_ROLL,90.472,0.62,-1.267,3.849,55.144,969.134,0.0569,379.276
19.32,TAKEOFF:TO_GROUND_ROLL,92.649,1.463,-1.044,4.154,78.36,969.088,0.08086,325.82
