t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
1.2,APPROACH,FLY_TO_FIX,239.71,140.8,-98.91,1260.11,-5.26,3.72,5.21,268.08,-4.221,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,256.33,0.406,0,0,55.788,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.46,3841.7,6,0,0.94,0.5,1,1.96,0.94,0.02,1.24,FLYING
1.92,APPROACH,FLY_TO_FIX,238.29,141.6,-96.69,1263.34,-1.29,7.95,13.02,267.32,-4.165,0,0,0,1,0.6,1.391,0.75,0.35,0.0168,0.4,256.24,0.401,0,0,55.608,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.81,3827.12,6,0,0.68,0.5,2,1.39,0.94,0.68,1.96,FLYING
2.68,APPROACH,FLY_TO_FIX,231.41,142.4,-89.01,1274.36,14.96,18.9,18,264.86,-4.132,0.2,0,-20,1,0.6,1.989,0.802,0.35,0.0168,0.4,256.16,0.355,0,0,55.421,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.33,3749.58,6,0,0.76,0.5,3,1.32,0.76,0.68,2.72,FLYING
3.4,APPROACH,FLY_TO_FIX,222.77,143.2,-79.57,1294.42,30.52,24.61,19.5,262.68,-4.212,0.4,0,-20,1,0.6,2.52,0.802,0.35,0.0168,0.4,256.08,0.268,0,0,55.249,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.02,3648.77,6,0,0.72,0.5,4,1.43,0.76,0.72,3.44,FLYING
4.12,APPROACH,FLY_TO_FIX,213.61,144,-69.61,1324.08,44.32,28.96,19.57,261.33,-4.128,0.6,0,-20,1,0.6,2.988,0.802,0.35,0.0168,0.4,256.01,0.131,0,0,55.085,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.59,3536.71,6,0,0.72,0.5,5,1.43,0.72,0.72,4.16,FLYING
4.84,APPROACH,FLY_TO_FIX,204.98,144.8,-60.18,1362.64,56.08,32.62,19.57,260.52,-4.067,0.8,0,-20,1,0.6,3.398,0.802,0.35,0.0168,0.4,255.94,0,0,0,54.928,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.21,3427.21,6,0,0.72,0.5,6,1.43,0.72,0.72,4.88,FLYING
5.56,APPROACH,FLY_TO_FIX,196.95,145.6,-51.35,1408.8,66.1,36.1,19.57,260.19,-3.778,1,0,-20,1,0.6,3.755,0.802,0.35,0.0168,0.4,255.88,0,0,0,54.779,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853.78,3322.61,6,0,0.72,0.5,7,1.43,0.72,0.72,5.6,FLYING
6.28,APPROACH,FLY_TO_FIX,189.58,146.4,-43.18,1461.48,74.8,39.39,19.58,259.9,-3.584,1,0,-20,1,0.6,4.065,0.802,0.35,0.0168,0.4,255.82,0,0,0,54.637,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148.7,3224.87,6,0,0.72,0.5,8,1.43,0.72,0.72,6.32,FLYING
7,APPROACH,FLY_TO_FIX,182.84,147.2,-35.64,1519.84,82.36,42.53,19.57,259.59,-3.429,1,0,-20,1,0.6,4.334,0.802,0.35,0.0168,0.4,255.76,0,0,0,54.503,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387.75,3134.09,6,0,0.72,0.5,9,1.43,0.72,0.72,7.04,FLYING
7.74,APPROACH,FLY_TO_FIX,176.42,148,-28.42,1584.93,89.06,45.61,19.57,259.27,-3.207,1,0,-20,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.71,0,0,0,54.372,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583.46,3046.98,6,0,0.74,0.5,10,1.39,0.74,0.72,7.78,FLYING
8.48,APPROACH,FLY_TO_FIX,170.41,148.8,-21.61,1654.47,94.8,48.59,19.57,259.12,-2.731,1,0,-20,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.66,0,0,0,54.248,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1737.3,2964.83,6,0,0.74,0.5,11,1.39,0.74,0.74,8.52,FLYING
9.2,APPROACH,FLY_TO_FIX,164.87,149,-15.87,1725.74,99.54,51.35,19.58,259.01,-2.393,1,0,-20,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.61,0,0,0,54.134,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853.86,2889.04,6,0,0.72,0.5,12,1.43,0.74,0.72,9.24,FLYING
9.94,APPROACH,FLY_TO_FIX,159.44,149,-10.44,1802.13,103.62,54.06,19.58,258.86,-2.131,1,0,-20,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.56,0,0,0,54.023,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945.38,2814.66,6,0,0.74,0.5,13,1.39,0.74,0.72,9.98,FLYING
10.68,APPROACH,FLY_TO_FIX,154.22,149,-5.22,1881.13,106.96,56.65,19.58,258.73,-1.881,1,0,-20,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.52,0,0,0,53.919,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013.09,2743.32,6,0,0.74,0.5,14,1.39,0.74,0.74,10.72,FLYING
11.4,APPROACH,FLY_TO_FIX,149.3,149,-0.3,1960.01,109.54,59.06,19.58,258.64,-1.654,1,0,-20,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.48,0,0,0,53.823,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060.03,2676.53,6,0,0.72,0.5,15,1.43,0.74,0.72,11.44,FLYING
12.14,APPROACH,FLY_TO_FIX,144.4,149,4.6,2042.68,111.57,61.43,19.58,258.54,-1.481,1,0,-19.9,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.44,0,0,0,53.731,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2092.13,2610.28,6,0,0.74,0.5,16,1.39,0.74,0.72,12.18,FLYING
12.86,APPROACH,FLY_TO_FIX,139.74,149,9.26,2124.26,112.98,63.64,19.58,258.44,-1.321,1,0,-19.8,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.4,0,0,0,53.646,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110.32,2547.91,6,0,0.72,0.5,17,1.43,0.74,0.72,12.9,FLYING
13.58,APPROACH,FLY_TO_FIX,135.18,149,13.82,2206.58,113.86,65.76,19.58,258.4,-1.157,1,0,-19.701,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.36,0,0,0,53.566,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117.92,2487.53,6,0,0.72,0.5,18,1.43,0.72,0.72,13.62,FLYING
14.3,APPROACH,FLY_TO_FIX,130.72,149,18.28,2289.27,114.27,67.78,19.58,258.39,-0.998,1,0,-19.603,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.33,0,0,0,53.492,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116.82,2429.03,6,0,0.72,0.5,19,1.39,0.72,0.72,14.34,FLYING
15.02,APPROACH,FLY_TO_FIX,126.34,149,22.66,2372.03,114.23,69.71,19.58,258.42,-0.853,1,0,-19.505,1,0.6,4.5,0.802,0.35,0.0168,0.4,255.29,0,0,0,53.422,0,0,0,0,0,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108.61,2372.38,6,0,0.72,0.5,20,1.39,0.72,0.72,15.06,FLYING
