t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_auth_reason,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_theta_cmd_raw,flare_theta_cmd_clamped,flare_theta_clamp_active,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,150.27,152,1.73,721.69,640.43,-0.57,18.97,19.21,270.43,1.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.25,0,0,0,90,0,0,0,0,0,5.32,-481.75,21.546,0,0,0,3,721.69,0,0,1203.46,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,640.43,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.28,1066.13,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.46,APPROACH,ILS_TRACK,149.43,152,2.57,721.65,640.52,0.9,18.71,18.36,270.47,1.292,0.112,0,0.627,1,0.6,2.071,0.816,0.35,0.0168,0.4,0,22.598,0,-2.509,0,269.79,0,0,1,0.27,0,0,0,269.81,0.8902,-0.0037,-0.4556,0,269.79,5.3,-479.48,21.501,-0.212,0,0,3,721.69,8.249,0,1201.13,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,640.52,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.98,1062.58,2,0,0.08,0.08,4,10,0.14,0.08,0.46,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.76,APPROACH,ILS_TRACK,148.56,152,3.44,721.65,640.99,1.93,17.19,16.39,270.35,0.87,0.232,0,1.285,1,0.6,3.675,0.816,0.35,0.0168,0.4,0,22.847,0,-3.392,0,269.76,0,0,1,0.71,0,0,0,269.77,0.8902,-0.0042,-0.4556,0,269.76,5.32,-477,21.454,-0.239,0,0,3,721.69,8.365,0,1198.65,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,640.99,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.54,1058.91,2,0,0.08,0.08,7,10,0.12,0.08,0.76,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.1,APPROACH,ILS_TRACK,147.99,152,4.01,721.94,641.79,2.4,15.45,14.5,270.16,0.033,0.368,0,1.671,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.014,0,-3.986,0,269.74,-0.001,0,1,0.91,0,0,0,269.75,0.8901,-0.0046,-0.4557,0,269.74,5.37,-473.96,21.401,-0.262,0,0,3,721.69,9.318,-0.001,1195.85,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,641.79,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.58,1056.44,2,0,0.1,0.1,10,8.82,0.12,0.08,1.1,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.38,APPROACH,ILS_TRACK,147.67,152,4.33,722.45,642.41,2.47,14.68,13.76,269.99,-0.642,0.48,0,2.849,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.106,0,-4.31,0,269.75,-0.003,0,1,0.96,0,0,0,269.74,0.8901,-0.0044,-0.4558,0,269.75,5.41,-471.19,21.357,-0.251,0,0,3,721.69,10.188,-0.003,1193.54,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,642.41,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.1,1055.06,2,0,0.1,0.1,13,10.71,0.1,0.08,1.38,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.68,APPROACH,ILS_TRACK,147.39,152,4.61,723.31,643.12,2.47,14.94,14.11,269.81,-1.118,0.6,0,4.2,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.185,0,-4.591,0,269.75,-0.007,0,1,0.96,0,0,0,269.75,0.89,-0.0043,-0.456,-0.01,269.75,5.45,-467.91,21.31,-0.246,0,0,3,721.69,11.331,-0.007,1191.08,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,643.12,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.74,1053.86,2,0,0.08,0.08,16,10,0.12,0.08,1.68,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,147.03,152,4.97,724.72,643.99,2.72,16.71,15.88,269.62,-1.396,0.736,0,5.839,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.285,0,-4.948,0,269.77,-0.014,0,1,1.03,0,0,-0.01,269.77,0.8899,-0.004,-0.4561,-0.01,269.77,5.47,-463.77,21.257,-0.227,0,0,3,721.69,12.664,-0.014,1188.3,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,643.99,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.06,1052.31,2,0,0.1,0.1,19,8.82,0.12,0.08,2.02,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.3,APPROACH,ILS_TRACK,146.54,152,5.46,726.08,644.93,3.8,18.46,17.18,269.51,-1.434,0.848,0,7.305,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.416,0,-5.412,0,269.8,-0.021,0,1,1.42,0,0,-0.02,269.8,0.8898,-0.0035,-0.4563,-0.02,269.8,5.45,-460.13,21.213,-0.203,0,0,3,721.69,13.027,-0.021,1186.02,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,644.93,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.62,1050.28,2,0,0.08,0.08,22,10.71,0.1,0.08,2.3,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.6,APPROACH,ILS_TRACK,145.8,152,6.2,727.49,646.31,5.16,18.84,16.94,269.49,-1.287,0.968,0,7.196,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.625,0,-6.153,0,269.85,-0.028,0,1,1.96,0,0,-0.03,269.83,0.8897,-0.0026,-0.4565,-0.03,269.85,5.39,-456.27,21.166,-0.151,0,0,3,721.69,12.711,-0.028,1183.58,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,646.31,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,1047.11,2,0,0.08,0.08,25,10,0.12,0.08,2.6,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.9,APPROACH,ILS_TRACK,145.17,152,6.83,728.81,648.07,6.41,17.5,14.99,269.57,-0.973,1,0,7.089,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.805,0,-6.791,0,269.88,-0.035,0,1,2.47,0,0,-0.03,269.86,0.8896,-0.0022,-0.4567,-0.03,269.88,5.3,-452.51,21.12,-0.124,0,0,3,721.69,12.31,-0.035,1181.15,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,648.07,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.6,1044.4,2,0,0.08,0.08,28,10,0.12,0.08,2.9,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
3.2,APPROACH,ILS_TRACK,144.88,152,7.12,729.92,650.12,7,14.35,11.5,269.69,-0.586,1,0,6.983,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.897,0,-7.117,0,269.89,-0.04,0,1,2.77,0,0,-0.04,269.89,0.8896,-0.0018,-0.4568,-0.04,269.89,5.18,-448.95,21.074,-0.105,0,0,3,721.69,11.634,-0.04,1178.73,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,650.12,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.29,1043.02,2,0,0.08,0.08,31,10,0.12,0.08,3.2,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
3.5,APPROACH,ILS_TRACK,145.24,152,6.76,731.03,652.15,6.53,10.96,8.33,269.79,-0.257,0.928,0,9.066,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.807,0,-6.8,0,269.9,-0.046,0,1,2.62,0,0,-0.04,269.9,0.8895,-0.0017,-0.457,-0.05,269.9,5.06,-445.43,21.028,-0.1,0,0,3,721.69,11.85,-0.046,1176.31,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,652.15,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.41,1044.26,2,0,0.08,0.08,34,10,0.12,0.08,3.5,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
3.8,APPROACH,ILS_TRACK,145.9,152,6.1,732.25,653.96,5.52,8.73,6.58,269.84,-0.037,0.808,0,10.98,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.623,0,-6.147,0,269.9,-0.052,0,1,2.23,0,0,-0.05,269.91,0.8894,-0.0017,-0.4571,-0.05,269.9,4.94,-441.8,20.981,-0.097,0,0,3,721.69,12.282,-0.052,1173.88,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,653.96,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504.4,1046.83,2,0,0.08,0.08,37,10,0.12,0.08,3.8,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
4.1,APPROACH,ILS_TRACK,146.7,152,5.3,733.58,655.41,4.35,8.05,6.44,269.86,0.108,0.688,0,12.666,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.399,0,-5.351,0,269.92,-0.059,0,1,1.76,0,0,-0.06,269.9,0.8893,-0.0014,-0.4573,-0.06,269.92,4.81,-438.03,20.935,-0.08,0,0,3,721.69,12.703,-0.059,1171.43,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,655.41,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.92,1050.01,2,0,0.08,0.08,40,10,0.12,0.08,4.1,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
4.4,APPROACH,ILS_TRACK,147.56,152,4.44,734.93,656.61,3.75,8.5,7.15,269.88,0.208,0.568,0,14.101,1,0.6,4.5,0.816,0.35,0.0168,0.4,0,23.159,0,-4.5,0,269.91,-0.065,0,1,1.49,0,0,-0.06,269.91,0.8892,-0.0015,-0.4575,-0.07,269.91,4.7,-434.22,20.888,-0.087,0,0,3,721.69,12.51,-0.065,1168.97,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,656.61,0,0,0,0,0,0,0,0,0,270.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.27,1053.45,2,0,0.08,0.08,43,10,0.12,0.08,4.4,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
