t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
1,APPROACH,FLY_TO_FIX,228.41,75.4,-153.01,1993.28,0.78,-1.32,-1.54,271.68,11.438,0,-20,242.16,-2.466,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,FLYING
1.74,APPROACH,FLY_TO_FIX,227.82,75.8,-152.02,1993.69,0.28,-1.68,-1.63,271.02,25.681,0,-20,241.64,-2.468,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,FLYING
2.44,APPROACH,FLY_TO_FIX,226.69,76.2,-150.49,1993.14,-2.01,-2.63,-1.87,270.69,48.318,0,-20,241.13,-2.467,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,FLYING
3.14,APPROACH,FLY_TO_FIX,225.33,76.6,-148.73,1991.32,-2.7,-1.68,1.82,265.69,82.329,0,-20,240.63,-2.459,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,FLYING
3.84,APPROACH,FLY_TO_FIX,223.73,77,-146.73,1985.82,-15.87,-9.81,6.29,263.78,5.31,0,-20,240.15,-2.435,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,FLYING
4.54,APPROACH,FLY_TO_FIX,221.94,77.4,-144.54,1971.89,-23.94,-10.84,5.06,268.99,-0.244,0,-20,239.69,-2.372,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,FLYING
5.24,APPROACH,FLY_TO_FIX,221.63,77.8,-143.83,1950.62,-33.87,-16.52,8.68,267.64,-11.861,0,-20,239.22,-2.27,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,FLYING
5.94,APPROACH,FLY_TO_FIX,221.27,78.2,-143.07,1922.71,-44.03,-19.59,9.21,267.54,-5.412,0,-20,238.73,-2.136,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,FLYING
6.66,APPROACH,FLY_TO_FIX,221.14,78.6,-142.54,1886.54,-54.66,-22.91,9.85,265.57,2.748,0,-20,238.21,-1.96,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,FLYING
7.38,APPROACH,FLY_TO_FIX,221.29,79,-142.29,1842.89,-65.2,-25.36,10.04,263.02,13.68,0,-20,237.69,-1.747,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,FLYING
8.1,APPROACH,FLY_TO_FIX,221.81,79.4,-142.41,1791.87,-75.42,-27.07,10.12,260.16,25.647,0,-20,237.15,-1.497,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14,FLYING
8.82,APPROACH,FLY_TO_FIX,222.71,79.8,-142.91,1733.77,-85.11,-28.04,10.16,257.24,37.582,0,-20,236.61,-1.211,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,FLYING
9.54,APPROACH,FLY_TO_FIX,223.96,80.2,-143.76,1669.06,-94.09,-28.32,10.2,254.49,48.737,0,-20,236.07,-0.892,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,FLYING
10.26,APPROACH,FLY_TO_FIX,225.52,80.6,-144.92,1598.29,-102.19,-27.97,10.22,252.2,57.908,0,-20,235.54,-0.542,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,FLYING
10.98,APPROACH,FLY_TO_FIX,228.62,81,-147.62,1522.34,-109.18,-25.37,-0.57,263.13,64.446,0,-20,235.01,-0.166,0,0,0,0,0,0,0,0,272.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,FLYING
