t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.1,APPROACH,ILS_TRACK,68.49,73,4.51,2266.86,-2.28,4.95,6.72,271.29,1.323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.9,0,0,0,90,0,0,0,0,0,0,0,33.969,0,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.69,365.85,2,0,0.1,0.1,1,3.7,0.1,0.02,0.1,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.4,APPROACH,ILS_TRACK,69.18,73,3.82,2265.57,-3.54,2.64,5.07,271.44,1.502,0,0,1.131,1,0.6,1.027,0.75,0.35,0.0168,0.4,270.4,-5.083,0,1,-2.86,0,0,0.39,270.39,0.9205,0.0069,0.3906,0.05,270.4,-1.16,416.59,33.947,-0.004,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.64,365.45,2,0,0.08,0.08,4,10,0.1,0.08,0.4,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.66,APPROACH,ILS_TRACK,69.79,73,3.21,2264.31,-4.86,1.65,4.96,271.43,1.343,0,0,2.018,1,0.6,1.825,0.75,0.35,0.0168,0.4,270.35,-5.082,0,1,-3.9,0,0,-0.26,270.37,0.922,0.0062,0.3871,-0.17,270.35,-1.08,416.46,33.925,-0.047,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.19,365.1,2,0,0.1,0.1,7,11.54,0.1,0.06,0.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1,APPROACH,ILS_TRACK,70.56,73,2.44,2262.52,-6.26,2.37,6.63,271.17,1.157,0,0,2.945,1,0.6,2.62,0.75,0.35,0.0168,0.4,270.32,-5.081,0,1,-5.02,0,0,0.87,270.33,0.9108,0.0056,0.4128,1.44,270.32,-0.94,416.15,33.897,-0.077,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.11,364.68,2,0,0.1,0.1,11,11.76,0.1,0.06,1,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.32,APPROACH,ILS_TRACK,71.2,73,1.8,2260.49,-6.94,2.98,7.69,270.96,1.047,0,0,3.595,1,0.6,3.189,0.75,0.35,0.0168,0.4,270.3,-5.078,0,1,-5.54,0,0,2.37,270.33,0.9024,0.0053,0.4309,2.59,270.3,-0.79,415.54,33.871,-0.095,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.1,364.36,2,0,0.1,0.1,15,12.5,0.1,0.06,1.32,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,71.78,73,1.22,2257.84,-7.45,1.97,6.98,270.87,0.993,0,0,4.083,1,0.6,3.595,0.75,0.35,0.0168,0.4,270.3,-5.072,0,1,-5.9,0,0,2.41,270.31,0.9067,0.0051,0.4217,2.01,270.3,-0.62,414.42,33.842,-0.104,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.4,364.09,2,0,0.1,0.1,19,11.76,0.1,0.06,1.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2,APPROACH,ILS_TRACK,72.37,73,0.63,2254.73,-8.54,-0.43,5.24,270.85,0.893,0,0,4.375,1,0.6,3.885,0.75,0.35,0.0168,0.4,270.27,-5.064,0,1,-6.67,0,0,0.67,270.31,0.9193,0.0048,0.3935,0.24,270.27,-0.45,412.83,33.813,-0.126,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.76,363.82,2,0,0.1,0.1,23,11.76,0.1,0.06,2,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.32,APPROACH,ILS_TRACK,72.98,73,0.02,2251.6,-9.85,-1.43,5.08,270.85,0.814,0,0,4.453,1,0.6,4.092,0.75,0.35,0.0168,0.4,270.26,-5.056,0,1,-7.64,0,0,-0.03,270.3,0.9209,0.0046,0.3898,0.01,270.26,-0.27,411.14,33.786,-0.137,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.67,363.55,2,0,0.1,0.1,27,12.5,0.1,0.06,2.32,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.66,APPROACH,ILS_TRACK,73.61,73,-0.61,2247.84,-10.99,-2.62,4.59,270.86,0.755,0,0,4.365,1,0.6,4.239,0.75,0.35,0.0168,0.4,270.26,-5.045,0,1,-8.44,0,0,-0.15,270.26,0.9237,0.0045,0.3831,-0.4,270.26,-0.08,408.94,33.757,-0.145,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.82,363.3,2,0,0.1,0.1,31,11.76,0.1,0.06,2.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.98,APPROACH,ILS_TRACK,74.22,73,-1.22,2243.92,-12.43,-3.63,4.46,270.87,0.706,0,0,4.278,1,0.6,4.344,0.75,0.35,0.0168,0.4,270.23,-5.032,0,1,-9.44,0,0,-0.73,270.26,0.9252,0.0041,0.3795,-0.62,270.23,0.12,406.48,33.73,-0.168,0,0,0,0,271.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.29,363.07,2,0,0.1,0.1,35,12.5,0.1,0.06,2.98,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
