t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_round_blend_h,flare_round_blend_ttg,flare_round_blend,flare_mode,flare_auth_limited,flare_auth_reason,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_theta_cmd_raw,flare_theta_cmd_clamped,flare_theta_clamp_active,flare_aoa_clamp_active,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.24,APPROACH,FLY_TO_FIX,165.82,70.16,-95.66,2905.39,3070.99,-63.85,-21.18,-0.9,5.72,-0.01,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,5,28,28,95.658,1,31.32,5,1,0,-21.06,25.61,0,0,90,0,0,0,0,0,0,0,38.393,0,0,0,3,0,0,0,2043.62,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,3070.99,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,310.61,2,0,0.2,0.2,1,3.45,0.2,0.02,0.26,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.54,APPROACH,FLY_TO_FIX,164.67,70.4,-94.27,2885.35,3051.92,-63.43,-21.06,-0.77,5.77,0.802,0.0397,0,-20,1,0.6,1.382,0.84,0.35,0.0168,0.4,12.5,28,28,94.337,1,31.41,5,0,0,-21.07,25.64,0,5,31.38,0,0,0,0,0,0,0,38.351,0,0,0,3,0,0,0,2041.4,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,3051.92,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,311.46,2,0,0.1,0.1,4,10,0.2,0.08,0.54,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.82,APPROACH,FLY_TO_FIX,163.93,70.62,-93.31,2868.32,3034.2,-63.19,-21.05,-0.74,5.95,4.045,0.1159,0,-20,1,0.6,2.157,0.967,0.35,0.0168,0.4,10.5,28,0,93.342,1,31.49,5,0,0,-21.08,25.54,0,5,31.47,0,0,0,0,0,0,0,38.309,0,0,0,3,0,0,0,2039.2,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,3034.2,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,312.25,2,0,0.08,0.08,7,10.71,0.1,0.08,0.82,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.1,APPROACH,FLY_TO_FIX,163.82,70.85,-92.98,2851.36,3016.51,-63.21,-21.09,-0.72,6.21,9.009,0.0039,0,-19.8,1,0.6,2.764,1.027,0.35,0.0168,0.4,17.5,28,28,92.962,1,31.57,5,0,0,-21.1,25.36,0,5,31.54,0,0,0,0,0,0,0,38.267,0,0,0,3,0,0,0,2037,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,3016.51,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,312.99,2,0,0.1,0.1,10,10.71,0.1,0.08,1.1,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.38,APPROACH,FLY_TO_FIX,164.26,71.07,-93.19,2834.81,2998.76,-63.44,-21.23,-0.76,6.49,14.805,0,0,-19.505,1,0.6,3.239,0.962,0.35,0.0168,0.4,24.5,28,28,93.148,1,31.66,5,0,0,-21.12,25.17,0,5,31.63,0,0,0,0,0,0,0,38.225,0,0,0,3,0,0,0,2034.81,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,2998.76,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,313.68,2,0,0.08,0.08,13,10.71,0.1,0.08,1.38,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.66,APPROACH,FLY_TO_FIX,164.89,71.3,-93.59,2817.38,2980.91,-63.87,-21.48,-0.85,6.74,20.918,0,0,-19.214,1,0.6,3.611,0.851,0.35,0.0168,0.4,28,28,28,93.55,1,31.74,5,0,0,-21.16,25,0,5,31.71,0,0,0,0,0,0,0,38.184,0,0,0,3,0,0,0,2032.62,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,2980.91,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,314.37,2,0,0.1,0.1,16,10.71,0.1,0.08,1.66,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.94,APPROACH,FLY_TO_FIX,165.45,71.52,-93.93,2800.45,2963.2,-63.86,-20.19,0.88,7.87,27.128,0,0,-18.927,1,0.6,3.903,0.753,0.35,0.0168,0.4,28,28,28,93.897,1,31.83,5,0,0,-21.18,23.96,0,5,31.8,0,0,0,0,0,0,0,38.142,0,0,0,3,0,0,0,2030.43,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,2963.2,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,315.06,2,0,0.08,0.08,19,10.71,0.1,0.08,1.94,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.22,APPROACH,FLY_TO_FIX,165.84,71.74,-94.09,2783.94,2945.65,-62.37,-19.41,1.18,9,33.301,0,0,-18.645,1,0.6,4.133,0.75,0.35,0.0168,0.4,28,28,28,94.068,1,31.91,5,0,0,-20.67,22.91,0,5,31.88,0,0,0,0,0,0,0,38.1,0,0,0,3,0,0,0,2028.25,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,2945.65,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,315.77,2,0,0.1,0.1,22,10.71,0.1,0.08,2.22,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.5,APPROACH,FLY_TO_FIX,166.19,71.97,-94.22,2767.83,2928.4,-61.32,-19.16,1.19,10.05,39.02,0,0,-18.366,1,0.6,4.314,0.75,0.35,0.0168,0.4,28,28,28,94.19,1,31.99,5,0,0,-20.3,21.93,0,5,31.97,0,0,0,0,0,0,0,38.059,0,0,0,3,0,0,0,2026.07,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,2928.4,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,316.46,2,0,0.08,0.08,25,10.71,0.1,0.08,2.5,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.8,APPROACH,FLY_TO_FIX,166.67,72.21,-94.46,2750.17,2910.18,-60.58,-18.94,1.1,11.14,43.001,0,0,-18.092,1,0.6,4.458,0.75,0.35,0.0168,0.4,28,28,28,94.425,1,32.07,5,0,0,-20.01,20.93,0,5,32.05,0,0,0,0,0,0,0,38.015,0,0,0,3,0,0,0,2023.76,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,2910.18,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,317.19,2,0,0.08,0.08,28,10,0.12,0.08,2.8,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
