t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_auth_reason,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_theta_cmd_raw,flare_theta_cmd_clamped,flare_theta_clamp_active,flare_aoa_clamp_active,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,154.31,152,-2.31,741.48,662.52,-12.33,10.84,15.16,269.82,0.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.58,0,0,0,90,0,0,0,0,0,7.04,-488.4,22.055,0,0,0,3,741.48,0,0,1230.12,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,662.52,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.92,1081.43,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.46,APPROACH,ILS_TRACK,154.39,152,-2.39,737.96,658.94,-11.69,11.14,15.24,269.8,0.17,0,0,0,1,0.6,2.105,0.75,0.35,0.0168,0.4,1.024,21.217,1.024,2.393,1,269.92,0,0,1,-4.36,0,0,0,269.91,0.7077,-0.0014,-0.7065,0,269.92,6.82,-489.3,22.009,-0.079,0,0,3,741.48,-3.22,0,1227.73,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,658.94,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.2,1082.06,2,0,0.08,0.08,4,10,0.14,0.08,0.46,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.76,APPROACH,ILS_TRACK,154.31,152,-2.31,734.36,655.54,-10.95,10.6,14.36,269.77,0.143,0,0,0,1,0.6,3.745,0.75,0.35,0.0168,0.4,0.942,21.237,0.942,2.32,1,269.92,0,0,1,-4.09,0,0,0,269.92,0.7077,-0.0015,-0.7066,0,269.92,6.6,-490.31,21.96,-0.085,0,0,3,741.48,-3.633,0,1225.16,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,655.54,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.26,1081.93,2,0,0.08,0.08,7,10,0.12,0.08,0.76,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.12,APPROACH,ILS_TRACK,154.16,152,-2.16,729.66,651.64,-10.75,7.82,11.4,269.77,0.25,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.747,21.285,0.747,2.149,1,269.94,0,0,1,-3.97,0,0,0,269.94,0.7076,-0.0011,-0.7066,0,269.94,6.32,-491.9,21.901,-0.06,0,0,3,741.48,-4.71,0,1222.09,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,651.64,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.39,1081.54,2,0,0.12,0.12,10,8.33,0.12,0.08,1.12,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.46,APPROACH,ILS_TRACK,154.45,152,-2.45,725.17,647.85,-11.53,5.28,9.17,269.79,0.242,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.062,21.207,1.062,2.427,1,269.95,0,0,1,-4.23,0,0,0,269.94,0.7075,-0.001,-0.7067,0,269.95,6.07,-493.48,21.846,-0.055,0,0,3,741.48,-4.665,0,1219.18,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,647.85,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.62,1083.03,2,0,0.1,0.1,13,8.82,0.12,0.1,1.46,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.74,APPROACH,ILS_TRACK,154.75,152,-2.75,721.51,644.48,-12.56,4.12,8.45,269.76,0.041,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.406,21.121,1.406,2.731,1,269.94,0,0,1,-4.58,0,0,0,269.94,0.7075,-0.001,-0.7067,0,269.94,5.87,-494.76,21.8,-0.057,0,0,3,741.48,-4.474,0,1216.78,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,644.48,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.11,1084.58,2,0,0.08,0.08,16,10.71,0.1,0.08,1.74,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.04,APPROACH,ILS_TRACK,155.02,152,-3.02,717.69,640.53,-13.64,4.36,9.16,269.73,-0.051,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.717,21.043,1.717,3.009,1,269.95,0,0,1,-4.98,0,0,0,269.96,0.7074,-0.0009,-0.7068,0,269.95,5.66,-496.02,21.751,-0.051,0,0,3,741.48,-4.05,0,1214.21,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,640.53,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.11,1086.04,2,0,0.08,0.08,19,10,0.12,0.08,2.04,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.34,APPROACH,ILS_TRACK,155.16,152,-3.16,714.04,636.33,-14.34,6.12,11.28,269.74,0.031,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.881,21.001,1.881,3.157,1,269.96,0,0,1,-5.26,0,0,0,269.97,0.7074,-0.0007,-0.7069,0,269.96,5.44,-497.12,21.702,-0.039,0,0,3,741.48,-3.436,0,1211.64,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,636.33,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.72,1086.97,2,0,0.08,0.08,22,10,0.12,0.08,2.34,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.64,APPROACH,ILS_TRACK,155.07,152,-3.07,710.47,632.06,-14.14,8.65,13.76,269.77,0.113,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.802,21.021,1.802,3.086,1,269.97,0,0,1,-5.24,0,0,0,269.98,0.7073,-0.0005,-0.7069,0,269.97,5.21,-498.12,21.653,-0.028,0,0,3,741.48,-3.32,0,1209.07,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,632.06,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.76,1086.95,2,0,0.08,0.08,25,10,0.12,0.08,2.64,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.94,APPROACH,ILS_TRACK,154.58,152,-2.58,706.75,627.96,-13.26,10.23,14.94,269.74,-0.099,0.032,0,-0.21,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.287,21.151,1.287,2.626,1,269.98,0,0,1,-4.95,0,0,0,269.98,0.7072,-0.0004,-0.707,0,269.98,5,-499.24,21.604,-0.023,0,0,3,741.48,-4.092,0,1206.5,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,627.96,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.01,1085.17,2,0,0.08,0.08,28,10,0.12,0.08,2.94,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
