t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.9,TAKEOFF,TO_PREFLIGHT,0.61,80,79.39,3.63,0,0.5,0.63,89.29,-0.053,0.2,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.103,0,0,1,0,0,0,0,0,0,0,1,1,0.16,PRELAUNCH
1.58,TAKEOFF,TO_PREFLIGHT,0.32,80,79.68,3.61,0,0.4,0.62,89.28,-0.052,0.2,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.117,0,0,1,0,0,0,0,0,0,0,1,1,0.84,PRELAUNCH
2.2,TAKEOFF,TO_PREFLIGHT,0.03,80,79.97,3.64,-0.01,0.59,67.72,89.27,-0.054,0.4,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.117,0,0,1,0,0,0,0,0,0,0,1,1,1.46,PRELAUNCH
2.86,TAKEOFF,TO_PREFLIGHT,0.01,80,79.99,3.63,-0.01,0.51,24.8,89.26,-0.052,0.6,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.117,0,0,1,0,0,0,0,0,0,0,1,1,2.12,PRELAUNCH
3.52,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,3.62,0,0.49,0.77,89.25,-0.053,0.8,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.117,0,0,1,0,0,0,0,0,0,0,1,1,2.78,PRELAUNCH
4.18,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,3.62,0,0.49,-5.43,89.24,-0.053,1,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.117,0,0,1,0,0,0,0,0,0,0,1,1,3.44,PRELAUNCH
4.84,TAKEOFF,TO_GROUND_ROLL,0.03,80,79.97,3.62,0,0.48,-0.42,89.23,-0.053,1,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.117,0,0,1,0,0,0,0,0,0,0,1,1,4.1,PRELAUNCH
5.58,TAKEOFF,TO_GROUND_ROLL,0.55,80,79.45,3.63,0,0.53,0.18,89.21,-0.053,1,0,90.42,0,0,0,0,-0.009,0,0,0,0,90.42,1,-0.009,-1.204,0,0,3,0,0,0,0,0,0,0,1,1,4.84,PRELAUNCH
6.28,TAKEOFF,TO_GROUND_ROLL,1.38,80,78.62,3.63,0,0.55,0.52,89.23,-0.052,1,0,90.39,0,0,0,0,-0.009,0,0,0,0,90.39,1,-0.009,-1.159,0,0,3,0,0,0,0,0,0,0,1,1,5.54,PRELAUNCH
6.98,TAKEOFF,TO_GROUND_ROLL,2.38,80,77.62,3.63,0,0.56,0.63,89.3,-0.052,1,0,90.37,0,0,0,0,-0.008,0,0,0,0,90.37,1,-0.008,-1.082,0.0122,0.25,1,0.0122,0,0,0,0,0,0,1,1,6.24,LANDED
7.68,TAKEOFF,TO_GROUND_ROLL,3.54,80,76.46,3.63,-0.01,0.56,0.67,89.42,-0.048,1,0,90.35,0,0,0,0,-0.007,0,0,0,0,90.35,1,-0.007,-0.955,0.0107,0.25,1,0.0107,0,0,0,0,0,0,1,1,6.94,LANDED
8.38,TAKEOFF,TO_GROUND_ROLL,4.86,80,75.14,3.64,-0.01,0.57,0.68,89.58,-0.046,1,0,90.33,0,0,0,0,-0.006,0,0,0,0,90.33,1,-0.006,-0.789,0.0089,0.25,1,0.0089,0,0,0,0,0,0,1,1,7.64,LANDED
9.08,TAKEOFF,TO_GROUND_ROLL,6.32,80,73.68,3.64,-0.01,0.57,0.69,89.75,-0.041,1,0,90.32,0,0,0,0,-0.005,0,0,0,0,90.32,1,-0.005,-0.606,0.0068,0.25,1,0.0068,0,0,0,0,0,0,1,1,8.34,LANDED
9.78,TAKEOFF,TO_GROUND_ROLL,7.92,80,72.08,3.64,-0.02,0.58,0.7,89.93,-0.039,1,0,90.33,0,0,0,0,-0.004,0,0,0,0,90.33,1,-0.004,-0.43,0.0048,0.25,1,0.0048,0,0,0,0,0,0,1,1,9.04,LANDED
10.5,TAKEOFF,TO_GROUND_ROLL,9.71,80,70.29,3.64,-0.02,0.58,0.7,90.09,-0.039,1,0,90.33,0,0,0,0,-0.004,0,0,0,0,90.33,1,-0.004,-0.274,0.0026,0.25,1,0.0026,0,0,0,0,0,0,1,1,9.76,LANDED
11.22,TAKEOFF,TO_GROUND_ROLL,11.63,80,68.37,3.64,-0.03,0.58,0.7,90.2,-0.04,1,0,90.35,0,0,0,0,-0.003,0,0,0,0,90.35,1,-0.003,-0.161,0.0013,0.25,1,0.0013,0,0,0,0,0,0,1,1,10.48,LANDED
11.94,TAKEOFF,TO_GROUND_ROLL,13.68,80,66.32,3.64,-0.03,0.59,0.71,90.28,-0.043,1,0,90.36,0,0,0,0,-0.002,0,0,0,0,90.36,1,-0.002,-0.093,0.0007,0.25,1,0.0007,0,0,0,0,0,0,1,1,11.2,LANDED
12.66,TAKEOFF,TO_GROUND_ROLL,15.85,80,64.15,3.64,-0.03,0.59,0.71,90.32,-0.046,1,0,90.38,0,0,0,0,-0.002,0,0,0,0,90.38,1,-0.002,-0.06,0.0004,0.25,1,0.0004,0,0,0,0,0,0,1,1,11.92,LANDED
13.38,TAKEOFF,TO_GROUND_ROLL,18.13,80,61.87,3.64,-0.04,0.59,0.71,90.34,-0.048,1,0,90.39,0,0,0,0,-0.002,0,0,0,0,90.39,1,-0.002,-0.047,0.0003,0.25,1,0.0003,0,0,0,0,0,0,1,1,12.64,LANDED
14.1,TAKEOFF,TO_GROUND_ROLL,20.53,80,59.47,3.64,-0.04,0.6,0.71,90.35,-0.049,1,0,90.39,0,0,0,0,-0.002,0,0,0,0,90.39,1,-0.002,-0.044,0.0003,0.253,0,0.0003,0,0,0,0,0,0,1,1,13.36,LANDED
14.82,TAKEOFF,TO_GROUND_ROLL,23.03,80,56.97,3.64,-0.05,0.6,0.71,90.35,-0.05,1,0,90.4,0,0,0,0,-0.001,0,0,0,0,90.4,1,-0.001,-0.045,0.0003,0.28,0,0.0003,0,0,0,0,0,0,1,1,14.08,LANDED
15.54,TAKEOFF,TO_GROUND_ROLL,25.62,80,54.38,3.64,-0.05,0.6,0.72,90.35,-0.05,1,0,90.4,0,0,0,0,-0.001,0,0,0,0,90.4,1,-0.001,-0.046,0.0004,0.308,0,0.0004,0,0,0,0,0,0,1,1,14.8,LANDED
16.26,TAKEOFF,TO_GROUND_ROLL,28.31,80,51.69,3.64,-0.06,0.61,0.72,90.35,-0.051,1,0,90.4,0,0,0,0,-0.001,0,0,0,0,90.4,1,-0.001,-0.048,0.0004,0.337,0,0.0004,0,0,0,0,0,0,1,1,15.52,LANDED
16.98,TAKEOFF,TO_GROUND_ROLL,31.08,80,48.92,3.64,-0.06,0.61,0.72,90.35,-0.051,1,0,90.4,0,0,0,0,-0.001,0,0,0,0,90.4,1,-0.001,-0.053,0.0005,0.366,0,0.0005,0,0,0,0,0,0,1,1,16.24,LANDED
17.7,TAKEOFF,TO_GROUND_ROLL,33.94,80,46.06,3.64,-0.07,0.61,0.72,90.34,-0.053,1,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.062,0.0007,0.397,0,0.0007,0,0,0,0,0,0,1,1,16.96,LANDED
18.42,TAKEOFF,TO_GROUND_ROLL,36.87,80,43.13,3.64,-0.07,0.62,0.72,90.32,-0.055,1,0,90.41,0,0,0,0,0,0,0,0,0,90.41,1,0,-0.078,0.001,0.428,0,0.001,0,0,0,0,0,0,1,1,17.68,LANDED
