t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
1,APPROACH,FLY_TO_FIX,240.3,75.4,-164.9,658.96,0.13,-1.53,-1.56,267.77,-0.219,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,342.32,0.003,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,FLYING
1.72,APPROACH,FLY_TO_FIX,239.75,75.8,-163.95,597.69,0.11,-1.8,-1.57,268.52,-17.187,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,342.5,0.003,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,FLYING
2.44,APPROACH,FLY_TO_FIX,238.68,76.2,-162.48,512.53,-1.65,-2.72,-1.53,269.12,-43.424,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,342.67,0.004,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,FLYING
3.16,APPROACH,FLY_TO_FIX,237.11,76.6,-160.51,549.72,0.66,-0.63,1.33,273.81,-66.263,0,0,-20,1,0.6,1.002,0.75,0.35,0.0168,0.4,342.84,0.006,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,FLYING
3.88,APPROACH,FLY_TO_FIX,235.35,77,-158.35,572.76,1.24,0.31,1.53,278.06,-70.938,0,0,-19.9,1,0.6,1.204,0.772,0.35,0.0168,0.4,343,0.002,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,FLYING
4.6,APPROACH,FLY_TO_FIX,233.44,77.4,-156.04,629.01,1.41,0.71,1.63,282.61,-71.799,0.0748,0,-20,1,0.6,1.389,0.829,0.35,0.0168,0.4,343.16,-0.003,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,FLYING
5.3,APPROACH,FLY_TO_FIX,231.45,77.8,-153.65,691.09,1.38,0.8,1.74,287.17,-72.14,0.1864,0,-20,1,0.6,1.559,0.901,0.35,0.0168,0.4,343.31,-0.008,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,FLYING
6,APPROACH,FLY_TO_FIX,229.36,78.2,-151.16,745.92,1.28,0.82,1.84,291.81,-72.293,0.3099,0,-20,1,0.6,1.715,0.901,0.35,0.0168,0.4,343.45,-0.013,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,FLYING
6.72,APPROACH,FLY_TO_FIX,227.19,78.6,-148.59,935.54,1.13,0.83,1.95,296.62,-72.372,0.4218,0,-20,1,0.6,1.858,0.901,0.35,0.0168,0.4,343.59,-0.017,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,FLYING
7.44,APPROACH,FLY_TO_FIX,225.07,79,-146.07,1052.11,0.97,0.83,2.06,301.47,-72.419,0.5049,0,-20,1,0.6,1.989,0.901,0.35,0.0168,0.4,343.71,-0.021,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,FLYING
8.16,APPROACH,FLY_TO_FIX,223.02,79.4,-143.62,1134.8,0.8,0.83,2.17,306.36,-72.451,0.5622,0,-20,1,0.6,2.109,0.901,0.35,0.0168,0.4,343.83,-0.024,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,FLYING
8.88,APPROACH,FLY_TO_FIX,221.04,79.8,-141.24,1198.91,0.63,0.82,2.28,311.29,-72.474,0.5976,0,-20,1,0.6,2.219,0.901,0.35,0.0168,0.4,343.93,-0.027,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,FLYING
9.6,APPROACH,FLY_TO_FIX,219.14,80.2,-138.94,1232.31,0.46,0.82,2.38,316.26,-72.491,0.6145,0,-20,1,0.6,2.32,0.901,0.35,0.0168,0.4,344.03,-0.029,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,FLYING
10.32,APPROACH,FLY_TO_FIX,217.32,80.6,-136.72,1273.61,0.29,0.81,2.49,321.26,-72.498,0.6166,0,-20,1,0.6,2.413,0.901,0.35,0.0168,0.4,344.11,-0.031,0,0,0,0,0,0,0,0,267.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38,FLYING
