t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
1.24,APPROACH,FLY_TO_FIX,241.99,140.8,-101.19,1234.71,-11.34,2.26,5.17,268.66,-4.212,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,256.65,0.527,1,0,-2.68,12.02,0,-0.02,90,0.6898,-0.2308,0.6862,0.52,256.65,0,0,56.519,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.46,3870.3,6,0,0.94,0.5,1,1.89,0.94,0.02,1.28,FLYING
2,APPROACH,FLY_TO_FIX,241.85,141.6,-100.25,1224.96,-11.76,1.72,3.41,268.17,-4.162,0,0,0,1,0.6,1.403,0.75,0.35,0.0168,0.4,256.56,0.574,0,1,-2.5,11.62,0,0.54,256.65,0.6892,-0.2323,0.6864,0.57,256.56,0,0,56.328,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.66,3869.23,6,0,0.72,0.5,2,1.32,0.94,0.72,2.04,FLYING
2.76,APPROACH,FLY_TO_FIX,242.27,142.4,-99.87,1214.6,-13.87,0.33,3.5,266.46,-4.133,0,0,0,1,0.6,2.022,0.75,0.35,0.0168,0.4,256.47,0.624,0,1,-3.07,9.99,0,0.59,256.56,0.6885,-0.2338,0.6865,0.62,256.47,0,0,56.132,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.52,3874.92,6,0,0.78,0.5,3,1.28,0.78,0.72,2.82,FLYING
3.52,APPROACH,FLY_TO_FIX,242.68,143.2,-99.48,1203.5,-15.3,0.14,3.99,264.83,-4.2,0,0,0,1,0.6,2.593,0.75,0.35,0.0168,0.4,256.38,0.679,0,1,-3.48,8.45,0,0.64,256.47,0.6878,-0.2353,0.6867,0.68,256.38,0,0,55.941,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.66,3880.86,6,0,0.76,0.5,4,1.32,0.78,0.76,3.58,FLYING
4.28,APPROACH,FLY_TO_FIX,242.92,144,-98.92,1191.6,-16.02,0.27,4.25,263.59,-4.131,0,0,0,1,0.6,3.119,0.75,0.35,0.0168,0.4,256.3,0.738,0,1,-3.71,7.29,0,0.69,256.38,0.687,-0.2367,0.687,0.73,256.3,0,0,55.749,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.07,3884.93,6,0,0.76,0.5,5,1.32,0.76,0.76,4.34,FLYING
5.04,APPROACH,FLY_TO_FIX,243.02,144.8,-98.22,1179.31,-16.42,0.31,4.48,262.7,-4.146,0,0,0,1,0.6,3.604,0.75,0.35,0.0168,0.4,256.21,0.799,0,1,-3.84,6.49,0,0.75,256.3,0.6862,-0.2381,0.6873,0.8,256.21,0,0,55.558,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.55,3887.42,6,0,0.76,0.5,6,1.32,0.76,0.76,5.1,FLYING
5.8,APPROACH,FLY_TO_FIX,243.02,145.6,-97.42,1166.98,-16.38,0.49,4.71,262.21,-4.164,0,0,0,1,0.6,4.05,0.75,0.35,0.0168,0.4,256.13,0.861,0,1,-3.87,6.08,0,0.81,256.21,0.6854,-0.2395,0.6876,0.86,256.13,0,0,55.367,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.42,3888.83,6,0,0.76,0.5,7,1.32,0.76,0.76,5.86,FLYING
6.56,APPROACH,FLY_TO_FIX,242.91,146.4,-96.51,1154.87,-16.02,0.79,4.95,261.8,-4.139,0,0,0,1,0.6,4.46,0.75,0.35,0.0168,0.4,256.05,0.921,0,1,-3.82,5.76,0,0.87,256.13,0.6846,-0.2409,0.6879,0.92,256.05,0,0,55.177,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.39,3889.01,6,0,0.76,0.5,8,1.32,0.76,0.76,6.62,FLYING
7.32,APPROACH,FLY_TO_FIX,242.68,147.2,-95.48,1143.21,-15.26,1.13,5.11,261.4,-4.097,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,255.97,0.98,0,1,-3.68,5.44,0,0.94,256.05,0.6839,-0.2423,0.6882,0.98,255.97,0,0,54.986,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3887.77,6,0,0.76,0.5,9,1.32,0.76,0.76,7.38,FLYING
8.12,APPROACH,FLY_TO_FIX,242.36,148,-94.36,1131.83,-14.36,1.43,5.14,261,-4.119,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,255.89,1.038,0,1,-3.49,5.11,0,0.99,255.97,0.6832,-0.2436,0.6884,1.03,255.89,0,0,54.791,0,0,0,0,0,268.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.75,3885.38,6,0,0.78,0.5,10,1.28,0.78,0.76,8.16,FLYING
