t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,154.98,152,-2.98,672.14,592.44,-21.38,6.83,14.33,269.97,-0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-7.86,0,0,0,90,0,0,0,0,0,-0.02,-19.23,11.775,0,0,0,3,672.14,0,0,691.37,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.02,1091.33,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,155.25,152,-3.25,666.59,586.92,-21.11,6.8,14.18,269.95,-0.172,0,0,0,1,0.6,1.485,0.75,0.35,0.0168,0.4,1.962,20.981,1.962,3.23,1,270,0,0,1,-7.76,0,0,0,270.04,0.4118,0.0001,0.9113,0,270,-0.02,-22.05,11.739,0.004,16.894,1,3,672.14,-12.85,0,689.5,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.84,1092.9,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,155.34,152,-3.34,660.87,581.51,-20.67,5.98,13.12,269.96,-0.125,0,0,0,1,0.6,2.743,0.75,0.35,0.0168,0.4,2.085,20.949,2.085,3.342,1,270.01,0,0,1,-7.6,0,0,0,270.01,0.4119,0.0002,0.9112,0,270.01,-0.03,-25.52,11.697,0.009,18.518,1,3,672.14,-13.579,0,687.28,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.44,1093.72,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,155.42,152,-3.42,654.89,576.21,-20.72,3.95,11.01,269.97,-0.082,0,0,0,1,0.6,3.809,0.75,0.35,0.0168,0.4,2.157,20.931,2.157,3.406,1,270.01,0,0,1,-7.57,0,0,0,270.01,0.412,0.0002,0.9112,0,270.01,-0.04,-29.25,11.654,0.012,20.466,1,3,672.14,-14.613,0,685.07,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.75,1094.45,2,0,0.12,0.12,7,7.69,0.14,0.12,0.94,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.3,APPROACH,ILS_TRACK,155.97,152,-3.97,646.47,568.62,-21.89,1.21,8.72,269.98,-0.046,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.741,20.781,2.741,3.94,1,270.01,0,0,1,-7.93,0,0,0,270.01,0.4121,0.0002,0.9112,0,270.01,-0.05,-34.59,11.596,0.012,22.257,1,3,672.14,-14.85,0,682,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.83,1097.37,2,0,0.12,0.12,10,8.33,0.12,0.12,1.3,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,156.59,152,-4.59,638.07,560.44,-23.46,0.22,8.36,269.98,-0.051,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.406,20.606,3.406,4.558,1,270.01,0,0,1,-8.46,0,0,0,270.02,0.4121,0.0002,0.9111,0,270.01,-0.07,-39.92,11.537,0.013,23.786,1,3,672.14,-14.763,0,678.92,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.64,1100.65,2,0,0.12,0.12,13,8.33,0.12,0.12,1.66,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,157.1,152,-5.1,629.73,551.72,-24.76,1.27,9.97,269.97,-0.052,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.955,20.46,3.955,5.076,1,270.01,0,0,1,-8.92,0,0,0,270.01,0.4122,0.0002,0.9111,0,270.01,-0.08,-45.18,11.478,0.014,25.179,1,3,672.14,-14.53,0,675.84,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.76,1103.54,2,0,0.12,0.12,16,8.33,0.12,0.12,2.02,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.38,APPROACH,ILS_TRACK,157.35,152,-5.35,621.55,542.6,-25.18,4.11,13.04,269.97,-0.05,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.238,20.384,4.238,5.346,1,270.01,0,0,1,-9.11,0,0,0,270.02,0.4123,0.0002,0.911,0,270.01,-0.1,-50.29,11.419,0.014,26.298,1,3,672.14,-14.013,0,672.75,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,1105.38,2,0,0.12,0.12,19,8.33,0.12,0.12,2.38,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.74,APPROACH,ILS_TRACK,157.05,152,-5.05,613.23,533.67,-24.15,6.35,14.83,269.97,-0.043,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.967,20.457,3.967,5.087,1,270.02,0,0,1,-8.79,0,0,0,270.02,0.4124,0.0003,0.911,0,270.02,-0.11,-55.49,11.36,0.018,28.472,1,3,672.14,-14.781,0,669.67,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.57,1104.81,2,0,0.12,0.12,22,8.33,0.12,0.12,2.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.1,APPROACH,ILS_TRACK,156.47,152,-4.47,604.7,525.15,-23.35,6.4,14.56,269.97,-0.025,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.341,20.624,3.341,4.497,1,270.02,0,0,1,-8.5,0,0,0,270.02,0.4125,0.0003,0.911,0,270.02,-0.13,-60.95,11.302,0.017,30.408,1,3,672.14,-15.153,0,666.59,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.87,1102.97,2,0,0.12,0.12,25,8.33,0.12,0.12,3.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.36,APPROACH,ILS_TRACK,156.16,152,-4.16,598.69,519.12,-23.08,6.41,14.52,269.98,0.018,0.0298,0,-1.109,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.007,20.711,3.007,4.186,1,270.02,0,0,1,-8.42,0,0,0,270.02,0.4126,0.0004,0.9109,0,270.02,-0.15,-64.78,11.26,0.021,31.051,1,3,672.14,-14.522,0,664.38,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.09,1102.09,2,0,0.12,0.12,27,7.69,0.14,0.12,3.36,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.72,APPROACH,ILS_TRACK,155.64,152,-3.64,590.75,510.85,-22.69,7.3,15.37,269.99,0.058,0.1062,0,-2.497,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,20.855,0,3.674,0,270.02,0,0,1,-8.31,0,0,0,270.02,0.4127,0.0004,0.9109,0,270.02,-0.17,-69.72,11.201,0.022,31.548,1,3,672.14,-13.291,0,661.32,0,0,0,,0,0,0,0,0,0,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.17,1100.52,2,0,0.12,0.12,30,8.33,0.12,0.12,3.72,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
