t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,phase_el_s,status
0.94,TAKEOFF,TO_PREFLIGHT,0.24,80,79.76,3.62,0.01,-0.1,-1.65,91.26,-0.041,0.2,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.856,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,0.2,LANDED
3.5,TAKEOFF,TO_PREFLIGHT,0.04,80,79.96,3.61,0,-0.13,-3.22,91.27,-0.043,0.8,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.855,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,2.76,LANDED
6.04,TAKEOFF,TO_PREFLIGHT,0.13,80,79.87,3.59,0,-0.21,-0.02,91.3,-0.045,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.855,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,5.3,LANDED
8.64,TAKEOFF,TO_PREFLIGHT,0.24,80,79.76,3.58,0,-0.23,-0.06,91.32,-0.045,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.855,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,7.9,LANDED
10.7,TAKEOFF,TO_GROUND_ROLL,3.01,80,76.99,3.62,0.02,-0.12,-0.58,91.32,-0.041,1,0,0,0,0,0,0,0,0,0,90.38,0,0,0,0,0.001,0,0,0,0,90.38,1,0.001,0.947,-0.0277,0.577,0,-0.0277,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,9.96,LANDED
12.74,TAKEOFF,TO_GROUND_ROLL,12.32,80,67.68,3.62,-0.03,-0.1,0.03,91.16,-0.047,1,0,0,0,0,0,0,0,0,0,90.41,0,0,0,0,-0.012,0,0,0,0,90.41,1,-0.012,0.769,-0.0226,0.67,0,-0.0226,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,12.02,LANDED
14.78,TAKEOFF,TO_GROUND_ROLL,22.27,80,57.73,3.62,-0.05,-0.09,0.03,90.91,-0.051,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,-0.035,0,0,0,0,90.4,1,-0.035,0.538,-0.0166,0.77,0,-0.0166,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,14.06,LANDED
16.86,TAKEOFF,TO_GROUND_ROLL,32.84,80,47.16,3.62,-0.07,-0.09,0.03,90.58,-0.057,1,0,0,0,0,0,0,0,0,0,90.38,0,0,0,0,-0.057,0,0,0,0,90.38,1,-0.057,0.222,-0.0047,0.875,0,-0.0047,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,16.14,LANDED
18.96,TAKEOFF,TO_GROUND_ROLL,43.8,80,36.2,3.62,-0.08,-0.08,0.02,90.19,-0.06,1,0,0,0,0,0,0,0,0,0,90.38,0,0,0,0,-0.062,0,0,0,0,90.38,1,-0.062,-0.163,0.0133,0.985,0,0.0133,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,18.24,LANDED
21.06,TAKEOFF,TO_GROUND_ROLL,54.93,80,25.07,3.62,-0.09,-0.07,0.02,89.8,-0.062,1,0,0,0,0,0,0,0,0,0,90.41,0,0,0,0,-0.03,0,0,0,0,90.41,1,-0.03,-0.589,0.0336,1,0,0.0336,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,20.34,LANDED
23.16,TAKEOFF,TO_GROUND_ROLL,66.16,80,13.84,3.62,-0.1,-0.06,0.02,89.44,-0.06,1,0,0,0,0,0,0,0,0,0,90.49,0,0,0,0,0.052,0,0,0,0,90.49,1,0.052,-1.034,0.0542,1,0,0.0542,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,22.44,LANDED
25.26,TAKEOFF,TO_GROUND_ROLL,77.5,80,2.5,3.62,-0.09,-0.05,0.01,89.12,-0.09,1,0,0,0,0,0,0,0,0,0,90.63,0,0,0,0,0.197,0,0,0,0,90.63,1,0.197,-1.49,0.0751,1,0,0.0751,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,24.54,LANDED
27.36,TAKEOFF,TO_GROUND_ROLL,89.05,80,-9.05,3.68,0.05,0.17,0.13,89.04,-0.005,1,0,0,0,0,0,0,0,0,0,90.8,0,0,0,0,0.405,0,0,0,0,90.8,1,0.405,-1.763,0.0825,1,0,0.0825,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,1,0,0,0,0,0,26.64,LANDED
