t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.28,APPROACH,FLY_TO_FIX,158.49,70.14,-88.35,1877.91,23.32,7.09,-0.41,269.21,-0.001,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,4.5,28.453,28.453,88.346,1,288.45,-6,1,0,8.37,19.24,0,0,90,0,0,0,0,0,0,0,41.889,0,0,0,3,0,0,0,2269.61,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.68,314.48,2,0,0.18,0.18,1,2.86,0.18,0.02,0.28,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.56,APPROACH,FLY_TO_FIX,158.5,70.38,-88.11,1884.44,23.38,7.1,-0.42,269.23,0.312,0,0,0,1,0.6,1.124,0.75,0.35,0.0168,0.4,12,28.45,28.45,88.117,1,288.53,-6,0,0,8.38,19.3,0,-6,288.49,0,0,0,0,0,0,0,41.84,0,0,0,3,0,0,0,2267.03,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.47,314.22,2,0,0.14,0.14,3,7.14,0.18,0.14,0.56,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.84,APPROACH,FLY_TO_FIX,158.37,70.61,-87.76,1890.99,23.47,7.04,-0.53,269.36,2.887,0,0,0,1,0.6,1.73,0.75,0.35,0.0168,0.4,19,28.485,28.485,87.777,1,288.6,-6,0,0,8.42,19.25,0,-6,288.56,0,0,0,0,0,0,0,41.791,0,0,0,3,0,0,0,2264.45,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.84,314,2,0,0.14,0.14,5,7.14,0.14,0.14,0.84,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.12,APPROACH,FLY_TO_FIX,158.13,70.83,-87.3,1897.54,23.51,6.89,-0.67,269.58,7.613,0,0,0,1,0.6,2.243,0.75,0.35,0.0168,0.4,26,28.555,28.555,87.316,1,288.68,-6,0,0,8.45,19.1,0,-6,288.64,0,0,0,0,0,0,0,41.741,0,0,0,3,0,0,0,2261.86,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.75,313.81,2,0,0.14,0.14,7,7.14,0.14,0.14,1.12,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.4,APPROACH,FLY_TO_FIX,157.8,71.06,-86.75,1904.08,23.44,6.65,-0.85,269.83,13.542,0,0,0,1,0.6,2.677,0.75,0.35,0.0168,0.4,28.651,28.651,28.651,86.774,1,288.75,-6,0,0,8.46,18.92,0,-6,288.71,0,0,0,0,0,0,0,41.692,0,0,0,3,0,0,0,2259.29,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.14,313.64,2,0,0.14,0.14,9,7.14,0.14,0.14,1.4,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.68,APPROACH,FLY_TO_FIX,157.39,71.28,-86.11,1910.55,23.1,6.23,-1.15,270.04,20.045,0,0,-12.046,1,0.6,3.044,0.75,0.35,0.0168,0.4,28.773,28.773,28.773,86.145,1,288.83,-6,0,0,8.4,18.79,0,-6,288.79,0,0,0,0,0,0,0,41.643,0,0,0,3,0,0,0,2256.71,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.99,313.5,2,0,0.14,0.14,11,7.14,0.14,0.14,1.68,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.96,APPROACH,FLY_TO_FIX,156.86,71.5,-85.35,1916.9,22.62,5.87,-1.32,270.27,26.81,0,0,-11.926,1,0.6,3.354,0.75,0.35,0.0168,0.4,28.931,28.931,28.931,85.394,1,288.9,-6,0,0,8.26,18.63,0,-6,288.86,0,0,0,0,0,0,0,41.594,0,0,0,3,0,0,0,2254.15,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.28,313.4,2,0,0.14,0.14,13,7.14,0.14,0.14,1.96,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.24,APPROACH,FLY_TO_FIX,156.28,71.73,-84.55,1923.04,21.77,5.35,-1.56,270.42,33.686,0,0,-19.9,1,0.6,3.616,0.775,0.35,0.0168,0.4,29.104,29.104,29.104,84.592,1,288.97,-6,0,0,8.02,18.55,0,-6,288.94,0,0,0,0,0,0,0,41.545,0,0,0,3,0,0,0,2251.59,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.95,313.32,2,0,0.14,0.14,15,7.14,0.14,0.14,2.24,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.52,APPROACH,FLY_TO_FIX,155.68,71.95,-83.73,1928.9,20.64,4.78,-1.86,270.53,40.58,0,0,-19.701,1,0.6,3.838,0.863,0.35,0.0168,0.4,29.284,29.284,29.284,83.77,1,289.05,-6,0,0,7.67,18.52,0,-6,289.01,0,0,0,0,0,0,0,41.497,0,0,0,3,0,0,0,2249.03,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.99,313.26,2,0,0.14,0.14,17,7.14,0.14,0.14,2.52,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.8,APPROACH,FLY_TO_FIX,155.07,72.18,-82.89,1934.45,19.08,4.28,-1.56,270.71,47.464,0.0009,0,-20,1,0.6,4.026,0.958,0.35,0.0168,0.4,29.467,29.467,29.467,82.935,1,289.12,-6,0,0,7.17,18.4,0,-6,289.08,0,0,0,0,0,0,0,41.448,0,0,0,3,0,0,0,2246.49,0,0,0,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.39,313.21,2,0,0.14,0.14,19,7.14,0.14,0.14,2.8,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
