t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.2,APPROACH,FLY_TO_FIX,214.57,200,-14.57,2977.21,-11.25,2.09,4.81,270.02,1.495,0,-1.163,149.2,-6,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24,FLYING
0.42,APPROACH,ILS_TRACK,214.86,200,-14.86,2974.17,-12.33,0.57,3.46,269.99,2.041,0,-4.432,232.44,-6,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.44,FLYING
0.64,APPROACH,ILS_TRACK,215.14,200,-15.14,2971.1,-13.64,-0.11,3,269.88,4.978,0,-7.762,245.4,-7,20218.15,142.29,52.652,-23783.894,-560.105,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.66,FLYING
0.84,APPROACH,ILS_TRACK,215.36,200,-15.36,2968.3,-14.8,0.08,3.49,269.53,10.832,0,-11.137,245.4,-7,20218,142.37,52.597,-808.547,-42.991,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.88,FLYING
1.04,APPROACH,ILS_TRACK,215.54,200,-15.54,2965.43,-15.5,0.7,4.34,269,15.494,0,-14.241,245.4,-7,20217.86,142.14,52.547,-808.545,-41.733,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.08,FLYING
1.26,APPROACH,ILS_TRACK,215.69,200,-15.69,2961.95,-15.83,0.6,4.41,268.57,20.648,0,-17.691,245.4,-7,20217.64,141.61,52.492,-808.454,-40.555,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3,FLYING
1.46,APPROACH,ILS_TRACK,215.79,200,-15.79,2958.49,-16.46,-0.22,3.78,268.39,26.213,0,-20,245.4,-7,20217.34,140.8,52.442,-808.315,-39.016,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,FLYING
1.66,APPROACH,ILS_TRACK,215.9,200,-15.9,2954.87,-17.45,-0.99,3.33,268.15,32.029,0,-20,245.4,-7,20216.93,139.82,52.393,-808.172,-38.031,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.7,FLYING
1.86,APPROACH,ILS_TRACK,215.99,200,-15.99,2951.14,-18.48,-1.44,3.26,267.79,35.365,0,-20,245.4,-7,20216.43,138.73,52.343,-808.024,-37.254,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.9,FLYING
2.06,APPROACH,ILS_TRACK,216.07,200,-16.07,2947.13,-19.33,-2.17,2.72,267.83,35.479,0,-20,245.4,-7,20215.77,137.41,52.293,-807.816,-35.93,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.1,FLYING
2.28,APPROACH,ILS_TRACK,216.09,200,-16.09,2942.27,-20.45,-3.82,1.03,268.65,32.562,0,-20,245.4,-7,20214.86,135.51,52.238,-807.551,-33.753,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.32,FLYING
2.48,APPROACH,ILS_TRACK,216.19,200,-16.19,2937.49,-22,-5.65,-0.74,269.58,30.403,0,-20,245.4,-7,20213.9,133.4,52.188,-807.367,-31.568,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.52,FLYING
2.68,APPROACH,ILS_TRACK,216.28,200,-16.28,2932.43,-23.97,-7.17,-1.98,270.19,29.421,0,-20,245.4,-7,20212.94,131.01,52.138,-807.307,-29.736,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.72,FLYING
2.88,APPROACH,ILS_TRACK,216.33,200,-16.33,2927.14,-26.14,-8.06,-2.42,270.38,27.233,0,-20,245.4,-7,20211.99,128.37,52.089,-807.299,-27.966,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.92,FLYING
3.08,APPROACH,ILS_TRACK,216.34,200,-16.34,2921.62,-28.31,-8.22,-2.01,270.13,25.521,0,-20,245.4,-7,20211.08,125.5,52.039,-807.306,-26.177,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.12,FLYING
3.3,APPROACH,ILS_TRACK,216.33,200,-16.33,2915.33,-30.44,-7.56,-0.69,269.45,26.655,0,-20,245.4,-7,20210.11,122.11,51.984,-807.294,-24.282,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.34,FLYING
3.5,APPROACH,ILS_TRACK,216.29,200,-16.29,2909.44,-32,-6.26,1.21,268.43,29.748,0,-20,245.4,-7,20209.21,118.84,51.935,-807.246,-22.596,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.54,FLYING
3.7,APPROACH,ILS_TRACK,216.23,200,-16.23,2903.42,-33,-4.5,3.6,266.98,32.653,0,-20,245.4,-7,20208.27,115.45,51.885,-807.162,-21.073,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.74,FLYING
