t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
1.08,APPROACH,FLY_TO_FIX,115.45,76.4,-39.05,560.33,14.81,8.31,1.35,90.32,0.042,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,279.31,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.14,FLYING
1.9,APPROACH,FLY_TO_FIX,113.33,76.8,-36.53,575.03,19.22,18.78,9.52,89.01,6.439,0,0,-18.455,1,0.6,0.9,0.75,0.35,0.0168,0.4,279.3,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.94,FLYING
2.66,APPROACH,FLY_TO_FIX,108.53,77.2,-31.33,594.47,28.32,27.29,13.47,84.31,16.579,0.2,0,-20,1,0.6,1.141,0.826,0.35,0.0168,0.4,279.29,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.7,FLYING
3.44,APPROACH,FLY_TO_FIX,101.89,77.6,-24.29,621.23,37.15,33.49,14.35,78.81,19.334,0.4,0,-20,1,0.6,1.466,0.826,0.35,0.0168,0.4,279.28,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.48,FLYING
4.2,APPROACH,FLY_TO_FIX,95.21,78,-17.21,652.53,42.88,38.33,14.39,74.35,19.611,0.6,0,-20,1,0.6,1.769,0.826,0.35,0.0168,0.4,279.26,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.24,FLYING
4.96,APPROACH,FLY_TO_FIX,88.71,78.4,-10.31,687.14,46.34,42.5,14.43,69.86,19.622,0.8,0,-20,1,0.6,2.049,0.826,0.35,0.0168,0.4,279.25,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,FLYING
5.72,APPROACH,FLY_TO_FIX,82.56,78.8,-3.76,723.54,48.01,46.06,14.44,65.59,18.619,1,0,-20,1,0.6,2.309,0.826,0.35,0.0168,0.4,279.24,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.76,FLYING
6.48,APPROACH,FLY_TO_FIX,76.88,79.2,2.32,760.62,48.44,49.04,14.45,61.48,18.131,1,0,-19.9,1,0.6,2.551,0.826,0.35,0.0168,0.4,279.22,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.52,FLYING
7.28,APPROACH,FLY_TO_FIX,71.51,79.6,8.09,799.52,48.01,51.7,14.44,57.76,16.329,1,0,-19.8,1,0.6,2.774,0.826,0.35,0.0168,0.4,279.21,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.32,FLYING
8.06,APPROACH,FLY_TO_FIX,67.03,80,12.97,836.88,47.12,53.81,14.48,54.23,15.76,1,0,-19.701,1,0.6,2.981,0.826,0.35,0.0168,0.4,279.19,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.1,FLYING
8.84,APPROACH,FLY_TO_FIX,62.76,80,17.24,873.24,45.63,55.56,14.57,51.09,14.23,1,0,-19.603,1,0.6,3.171,0.826,0.35,0.0168,0.4,279.18,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.88,FLYING
9.62,APPROACH,FLY_TO_FIX,58.68,80,21.32,908.23,43.71,57.04,14.71,48.71,12.368,1,0,-19.505,1,0.6,3.347,0.826,0.35,0.0168,0.4,279.16,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.66,FLYING
10.4,APPROACH,FLY_TO_FIX,54.8,80,25.2,941.54,41.45,58.14,14.89,46.97,10.697,1,0,-19.407,1,0.6,3.51,0.826,0.35,0.0168,0.4,279.15,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10.44,FLYING
11.18,APPROACH,FLY_TO_FIX,51.15,80,28.85,972.95,38.97,58.71,15.01,45.77,9.179,1,0,-19.31,1,0.6,3.66,0.826,0.35,0.0168,0.4,279.13,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.22,FLYING
11.96,APPROACH,FLY_TO_FIX,47.75,80,32.25,1002.27,36.28,58.6,15.01,45.1,7.785,1,0,-19.214,1,0.6,3.799,0.826,0.35,0.0168,0.4,279.12,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,FLYING
12.74,APPROACH,FLY_TO_FIX,44.63,80,35.37,1029.36,33.44,57.84,15,44.81,6.447,1,0,-19.118,1,0.6,3.927,0.826,0.35,0.0168,0.4,279.11,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12.78,FLYING
13.52,APPROACH,FLY_TO_FIX,41.84,80,38.16,1054.08,30.45,55.88,14.53,45.04,5.083,1,0,-19.022,1,0.6,4.045,0.826,0.35,0.0168,0.4,279.09,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.56,FLYING
14.3,APPROACH,FLY_TO_FIX,39.44,80,40.56,1076.48,27.46,54.34,15.22,44.87,4.789,1,0,-18.927,1,0.6,4.153,0.826,0.35,0.0168,0.4,279.08,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14.34,FLYING
15.08,APPROACH,FLY_TO_FIX,37.37,80,42.63,1096.35,24.37,51.26,15.15,44.44,6.148,1,0,-18.832,1,0.6,4.253,0.826,0.35,0.0168,0.4,279.07,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15.12,FLYING
15.86,APPROACH,FLY_TO_FIX,35.76,80,44.24,1113.65,21.16,47.38,15.13,43.71,8.578,1,0,-18.738,1,0.6,4.345,0.826,0.35,0.0168,0.4,279.06,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15.9,FLYING
16.64,APPROACH,FLY_TO_FIX,34.65,80,45.35,1128.28,17.82,42.78,15.14,43.13,11.412,1,0,-18.645,1,0.6,4.43,0.826,0.35,0.0168,0.4,279.05,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16.68,FLYING
17.42,APPROACH,FLY_TO_FIX,34.16,80,45.84,1140.14,14.36,37.72,15.24,42.68,14.313,1,0,-18.551,1,0.6,4.5,0.826,0.35,0.0168,0.4,279.03,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17.46,FLYING
18.2,APPROACH,FLY_TO_FIX,34.37,80,45.63,1149.18,10.81,32.34,15.42,41.96,16.656,1,0,-18.459,1,0.6,4.5,0.826,0.35,0.0168,0.4,279.02,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18.24,FLYING
18.98,APPROACH,FLY_TO_FIX,35.27,80,44.73,1155.3,7.18,26.48,15.4,40.64,18.609,1,0,-18.366,1,0.6,4.5,0.826,0.35,0.0168,0.4,279,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19.02,FLYING
19.76,APPROACH,FLY_TO_FIX,36.87,80,43.13,1158.44,3.42,20.22,14.99,38.73,20.947,1,0,-18.274,1,0.6,4.5,0.826,0.35,0.0168,0.4,278.99,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19.8,FLYING
20.54,APPROACH,FLY_TO_FIX,39.16,80,40.84,1158.66,-0.42,14.51,14.97,35.87,23.371,1,0,-18.183,1,0.6,4.5,0.826,0.35,0.0168,0.4,278.97,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20.58,FLYING
21.32,APPROACH,FLY_TO_FIX,42.03,80,37.97,1155.94,-4.23,9.22,14.96,32.26,24.836,1,0,0.963,1,0.6,4.5,0.826,0.35,0.0168,0.4,278.95,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21.36,FLYING
22.1,APPROACH,FLY_TO_FIX,45.35,80,34.65,1150.38,-7.95,4.64,14.76,28.78,25.336,1,0,18.469,1,0.6,4.5,0.826,0.35,0.0168,0.4,278.93,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22.14,FLYING
22.88,APPROACH,FLY_TO_FIX,49.01,80,30.99,1142.16,-11.43,0.95,14.35,25.75,27.563,0.8,0,20,1,0.6,4.5,0.826,0.35,0.0168,0.4,278.91,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22.92,FLYING
23.66,APPROACH,FLY_TO_FIX,52.93,80,27.07,1131.38,-14.75,-2.34,13.77,22.38,30.796,0.6,0,20,1,0.6,4.5,0.826,0.35,0.0168,0.4,278.89,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23.7,FLYING
24.44,APPROACH,FLY_TO_FIX,56.89,80,23.11,1118.36,-17.76,-3.73,14.48,18.36,30.411,0.4,0,20,1,0.6,4.5,0.826,0.35,0.0168,0.4,278.86,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24.48,FLYING
25.22,APPROACH,FLY_TO_FIX,60.56,80,19.44,1103.38,-20.01,-4.83,14.17,15.4,27.919,0.2,0,20,1,0.6,4.5,0.826,0.35,0.0168,0.4,278.83,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25.26,FLYING
26,APPROACH,FLY_TO_FIX,63.9,80,16.1,1087.02,-21.57,-5.26,13.78,13.1,24.335,0,0,20,1,0.6,4.5,0.826,0.35,0.0168,0.4,278.8,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26.04,FLYING
26.78,APPROACH,FLY_TO_FIX,66.82,80,13.18,1069.81,-22.39,-5.29,13.31,11.19,22.177,0,0,20,1,0.6,4.5,0.793,0.35,0.0168,0.4,278.77,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26.82,FLYING
27.56,APPROACH,FLY_TO_FIX,69.23,80,10.77,1052.19,-22.73,-5.33,12.99,8.53,23.968,0,0,20,1,0.6,4.5,0.761,0.35,0.0168,0.4,278.74,5,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27.6,FLYING
