t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,155.15,152,-3.15,669.18,589.44,-21.34,6.94,14.42,269.97,-0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-7.84,0,0,0,90,0,0,0,0,0,-0.02,-21,11.752,0,0,0,3,669.18,0,0,690.18,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.13,1092.28,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,155.38,152,-3.38,663.65,583.94,-20.99,6.92,14.25,269.95,-0.169,0,0,0,1,0.6,1.486,0.75,0.35,0.0168,0.4,2.117,20.941,2.117,3.37,1,270.01,0,0,1,-7.72,0,0,0,270.05,0.3542,0.0001,0.9352,0,270.01,-0.03,-23.8,11.716,0.008,17.361,1,3,669.18,-12.776,0,688.3,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.92,1093.72,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,155.45,152,-3.45,657.94,578.58,-20.52,6.03,13.11,269.95,-0.123,0,0,0,1,0.6,2.745,0.75,0.35,0.0168,0.4,2.209,20.918,2.209,3.454,1,270.01,0,0,1,-7.54,0,0,0,270.01,0.3543,0.0002,0.9351,0,270.01,-0.03,-27.25,11.674,0.01,18.993,1,3,669.18,-13.522,0,686.09,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.48,1094.42,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,155.53,152,-3.53,651.98,573.31,-20.6,3.95,10.97,269.97,-0.074,0,0,0,1,0.6,3.812,0.75,0.35,0.0168,0.4,2.272,20.901,2.272,3.511,1,270.01,0,0,1,-7.52,0,0,0,270.01,0.3543,0.0003,0.9351,0,270.01,-0.05,-30.96,11.632,0.015,20.881,1,3,669.18,-14.49,0,683.87,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.79,1095.13,2,0,0.12,0.12,7,7.69,0.14,0.12,0.94,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.3,APPROACH,ILS_TRACK,156.08,152,-4.08,643.56,565.79,-21.56,1.02,8.37,269.98,-0.037,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.853,20.751,2.853,4.044,1,270.02,0,0,1,-7.82,0,0,0,270.01,0.3544,0.0003,0.9351,0,270.02,-0.06,-36.29,11.573,0.017,22.92,1,3,669.18,-15.041,0,680.8,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.86,1098.04,2,0,0.12,0.12,10,8.33,0.12,0.12,1.3,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,156.76,152,-4.76,634.95,557.66,-23.26,-1.01,6.99,269.98,-0.053,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.58,20.56,3.58,4.722,1,270.01,0,0,1,-8.37,0,0,0,270.02,0.3545,0.0003,0.935,0,270.01,-0.08,-41.81,11.514,0.015,24.864,1,3,669.18,-15.403,0,677.72,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.7,1101.57,2,0,0.12,0.12,13,8.33,0.12,0.12,1.66,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,157.39,152,-5.39,626.29,548.96,-25.02,-1.05,7.65,269.97,-0.039,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.249,20.381,4.249,5.357,1,270.02,0,0,1,-8.97,0,0,0,270.02,0.3546,0.0003,0.935,0,270.02,-0.1,-47.38,11.455,0.018,26.609,1,3,669.18,-15.494,0,674.63,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.87,1104.97,2,0,0.12,0.12,16,8.33,0.12,0.12,2.02,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.38,APPROACH,ILS_TRACK,157.86,152,-5.86,617.66,539.73,-26.25,0.92,10.16,269.98,-0.018,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.751,20.245,4.751,5.841,1,270.02,0,0,1,-9.41,0,0,0,270.02,0.3547,0.0003,0.935,0,270.02,-0.12,-52.93,11.396,0.019,28.134,1,3,669.18,-15.321,0,671.54,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.04,1107.77,2,0,0.12,0.12,19,8.33,0.12,0.12,2.38,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.74,APPROACH,ILS_TRACK,158.01,152,-6.01,609.17,530.13,-26.29,4.38,13.69,269.98,0.004,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.926,20.197,4.926,6.012,1,270.02,0,0,1,-9.48,0,0,0,270.02,0.3548,0.0004,0.9349,0,270.02,-0.14,-58.34,11.337,0.02,29.467,1,3,669.18,-14.958,0,668.45,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.93,1109.21,2,0,0.12,0.12,22,8.33,0.12,0.12,2.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.1,APPROACH,ILS_TRACK,157.62,152,-5.62,600.62,520.8,-25.26,7.03,15.94,269.98,0.027,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.553,20.299,4.553,5.649,1,270.02,0,0,1,-9.14,0,0,0,270.02,0.3549,0.0004,0.9349,0,270.02,-0.16,-63.79,11.278,0.022,31.285,1,3,669.18,-15.184,0,665.36,0,0,0,,0,0,0,0,0,0,269.97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.28,1108.28,2,0,0.12,0.12,25,8.33,0.12,0.12,3.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
