t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.2,APPROACH,FLY_TO_FIX,213.32,200,-13.32,2999,0.06,7.05,7.04,270.01,0.059,0,-1.066,177.24,-6,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24,FLYING
0.42,APPROACH,ILS_TRACK,213.31,200,-13.31,2999.03,0.08,7.12,7.1,269.97,0.872,0,-3.993,200.18,-6,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.44,FLYING
0.64,APPROACH,ILS_TRACK,213.23,200,-13.23,2999.03,0.15,7.02,6.99,269.78,3.978,0,-6.903,245.4,-7,20209.79,289.69,50.362,-23774.065,-1140.316,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.66,FLYING
0.84,APPROACH,ILS_TRACK,213.07,200,-13.07,2999.03,0.26,6.88,6.82,269.36,10.414,0,-9.783,245.4,-7,20209.58,292.55,50.307,-808.136,-98.186,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.88,FLYING
1.04,APPROACH,ILS_TRACK,212.87,200,-12.87,2998.89,0.39,6.15,6.06,268.91,18.561,0,-12.361,245.4,-7,20209.36,295.05,50.258,-808.101,-98.49,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.08,FLYING
1.26,APPROACH,ILS_TRACK,212.69,200,-12.69,2998.6,-0.06,4.97,5,268.47,27.992,0,-15.156,245.4,-7,20209.01,297.62,50.203,-807.971,-98.647,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3,FLYING
1.46,APPROACH,ILS_TRACK,212.53,200,-12.53,2998.27,-0.86,4.17,4.5,267.94,35.813,0,-17.665,245.4,-7,20208.58,299.9,50.154,-807.799,-99.074,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,FLYING
1.66,APPROACH,ILS_TRACK,212.28,200,-12.28,2997.91,-1.84,3.86,4.77,267,42.357,0,-20,245.4,-7,20208.02,302.13,50.104,-807.625,-99.572,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.7,FLYING
1.86,APPROACH,ILS_TRACK,211.81,200,-11.81,2997.49,-2.75,4.02,5.83,265.46,47.976,0,-20,245.4,-7,20207.32,304.31,50.055,-807.411,-100.004,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.9,FLYING
2.06,APPROACH,ILS_TRACK,211.03,200,-11.03,2996.97,-3.4,4.39,7.2,263.68,52.316,0,-20,245.4,-7,20206.41,306.4,50.006,-807.116,-100.269,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.1,FLYING
2.28,APPROACH,ILS_TRACK,209.87,200,-9.87,2996.19,-3.95,4.45,8.26,261.97,56.956,0,-20,245.4,-7,20205.03,308.47,49.952,-806.643,-100.07,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.32,FLYING
2.48,APPROACH,ILS_TRACK,208.64,200,-8.64,2995.3,-4.52,4.34,9.05,260.53,59.993,0,-20,245.4,-7,20203.4,310.16,49.903,-806.099,-99.829,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.52,FLYING
2.68,APPROACH,ILS_TRACK,207.31,200,-7.31,2994.24,-5.15,4.04,9.49,259.43,60.768,0,-20,245.4,-7,20201.35,311.67,49.855,-805.489,-99.531,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.72,FLYING
2.88,APPROACH,ILS_TRACK,205.95,200,-5.95,2993.03,-5.79,3.66,9.68,258.56,60.504,0,-20,245.4,-7,20198.86,313,49.807,-804.838,-99.241,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.92,FLYING
3.08,APPROACH,ILS_TRACK,204.57,200,-4.57,2991.7,-6.49,3.32,9.68,257.94,59.934,0,-20,245.4,-7,20195.92,314.19,49.759,-804.166,-99.016,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.12,FLYING
3.3,APPROACH,ILS_TRACK,203.05,200,-3.05,2990.12,-7.3,3.15,9.72,257.34,59.139,0,-20,245.4,-7,20192.2,315.36,49.707,-803.457,-98.866,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.34,FLYING
3.5,APPROACH,ILS_TRACK,201.67,200,-1.67,2988.56,-7.88,3.04,9.57,257.01,57.902,0,-20,245.4,-7,20188.37,316.3,49.66,-802.75,-98.625,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.54,FLYING
3.7,APPROACH,ILS_TRACK,200.31,200,-0.31,2986.89,-8.45,2.92,9.41,256.71,57.311,0,-20,245.4,-7,20184.14,317.09,49.614,-802.071,-98.307,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.74,FLYING
3.9,APPROACH,ILS_TRACK,198.97,200,1.03,2985.12,-9.07,2.9,9.5,256.19,56.84,0,-19.822,245.4,-7,20179.53,317.77,49.567,-801.422,-98.052,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.94,FLYING
