t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.09,APPROACH,ILS_TRACK,90.17,80,-10.17,577.01,-23.65,-9.13,5.12,89.34,0.171,0,0,0,0,0,0,0,0,0,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,FLYING
0.19,APPROACH,ILS_TRACK,90.44,80,-10.44,574.6,-23.72,-9.13,5.13,89.34,0.176,0,-0.96,114,0,-11.78,-65.26,9.659,32.496,587.056,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,FLYING
0.28,APPROACH,ILS_TRACK,90.66,80,-10.66,572.6,-23.79,-9.12,5.14,89.36,0.145,0,-1.855,89.28,0,-11.72,-66.84,9.651,0.279,35.127,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.28,FLYING
0.33,APPROACH,ILS_TRACK,90.8,80,-10.8,571.25,-23.83,-9.1,5.16,89.38,0.102,0,-2.424,89.27,0,-11.68,-67.85,9.646,0.272,35.589,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.34,FLYING
0.62,APPROACH,ILS_TRACK,91.47,80,-11.47,564.31,-23.85,-9.54,4.66,89.44,0,0,-5.293,89.25,0,-11.48,-73.12,9.621,0.255,38.755,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.63,FLYING
1.09,APPROACH,ILS_TRACK,92.46,80,-12.46,552.83,-24.68,-10.13,4.31,89.45,-0.028,0,-9.419,89.24,0,-11.19,-80.62,9.586,0.236,42.205,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.13,FLYING
1.95,APPROACH,ILS_TRACK,93.93,80,-13.93,532.63,-23.05,-5.84,7.55,89.45,-0.012,0,-16.372,89.08,0,-10.51,-96.18,9.503,0.082,53.742,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.99,FLYING
2.75,APPROACH,ILS_TRACK,94.69,80,-14.69,515.33,-20.67,-4.75,7.14,89.41,0.175,0,-20,89.08,0,-9.88,-109.75,9.425,0.076,54.645,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.77,FLYING
3.55,APPROACH,ILS_TRACK,95.1,80,-15.1,499.9,-18.35,-3.92,6.59,89.37,0.275,0,-20,89.06,0,-9.26,-121.37,9.347,0.06,54.992,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.57,FLYING
4.35,APPROACH,ILS_TRACK,95.21,80,-15.21,486.2,-16.29,-3.16,6.16,89.34,0.322,0,-20,89.06,0,-8.67,-131.2,9.267,0.055,55.085,0,0,0,89.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4.37,FLYING
