t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.24,APPROACH,FLY_TO_FIX,143.84,70.14,-73.69,1426.3,-28.03,-11.49,-1.42,269.11,2.735,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,4.5,32.861,32.861,73.652,1,280.81,5,1,0,-10.9,11.7,0,0,90,0,0,0,0,0,0,0,50.144,0,0,0,3,0,0,0,2702.21,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.09,338.34,2,0,0.18,0.18,1,3.23,0.18,0.02,0.24,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.56,APPROACH,FLY_TO_FIX,144.47,70.42,-74.06,1417.36,-29.3,-10.03,0.79,269.37,3.067,0,0,0,1,0.6,1.549,0.75,0.35,0.0168,0.4,13,32.658,32.658,74.057,1,280.84,5,0,0,-11.47,11.47,0,5,280.84,0,0,0,0,0,0,0,50.091,0,0,0,3,0,0,0,2699.43,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,338.48,2,0,0.1,0.1,4,9.38,0.18,0.1,0.58,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.88,APPROACH,FLY_TO_FIX,144.87,70.67,-74.2,1408.74,-26.78,-7.1,2.68,269.88,6.067,0,0,0,1,0.6,2.416,0.75,0.35,0.0168,0.4,21,32.54,32.54,74.196,1,280.87,5,0,0,-10.62,10.99,0,5,280.86,0,0,0,0,0,0,0,50.041,0,0,0,3,0,0,0,2696.81,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.92,338.72,2,0,0.1,0.1,7,9.38,0.12,0.1,0.9,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.18,APPROACH,FLY_TO_FIX,145.04,70.91,-74.13,1401.1,-24.8,-6.9,2.23,270.39,10.648,0,0,0,1,0.6,3.092,0.75,0.35,0.0168,0.4,28.5,32.488,32.488,74.129,1,280.9,5,0,0,-9.8,10.51,0,5,280.89,0,0,0,0,0,0,0,49.994,0,0,0,3,0,0,0,2694.35,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,338.99,2,0,0.1,0.1,10,10,0.12,0.08,1.2,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.5,APPROACH,FLY_TO_FIX,145.25,71.17,-74.08,1393.64,-22.65,-6.22,2.14,270.99,14.514,0,0,0,1,0.6,3.619,0.75,0.35,0.0168,0.4,32.425,32.425,32.425,74.083,1,280.92,5,0,0,-8.95,9.93,0,5,280.92,0,0,0,0,0,0,0,49.943,0,0,0,3,0,0,0,2691.71,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.65,339.24,2,0,0.1,0.1,13,9.38,0.12,0.1,1.52,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.8,APPROACH,FLY_TO_FIX,145.29,71.41,-73.89,1387.22,-20.84,-5.63,2.08,271.43,15.769,0,0,0,1,0.6,4.031,0.75,0.35,0.0168,0.4,32.412,32.412,32.412,73.886,1,280.95,5,0,0,-8.25,9.52,0,5,280.94,0,0,0,0,0,0,0,49.896,0,0,0,3,0,0,0,2689.23,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81,339.51,2,0,0.1,0.1,16,10,0.12,0.08,1.82,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.1,APPROACH,FLY_TO_FIX,144.98,71.65,-73.33,1381.34,-19.11,-5.08,2,271.79,16.005,0,0,0,1,0.6,4.352,0.75,0.35,0.0168,0.4,32.507,32.507,32.507,73.327,1,280.97,5,0,0,-7.6,9.18,0,5,280.96,0,0,0,0,0,0,0,49.849,0,0,0,3,0,0,0,2686.76,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.11,339.91,2,0,0.1,0.1,19,10,0.12,0.08,2.12,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.4,APPROACH,FLY_TO_FIX,144.54,71.89,-72.65,1375.95,-17.51,-4.6,1.9,272.16,16.059,0,0,-7.268,1,0.6,4.5,0.75,0.35,0.0168,0.4,32.639,32.639,32.639,72.65,1,280.99,5,0,0,-6.98,8.83,0,5,280.99,0,0,0,0,0,0,0,49.802,0,0,0,3,0,0,0,2684.29,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.54,340.34,2,0,0.1,0.1,22,10,0.12,0.08,2.42,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.7,APPROACH,FLY_TO_FIX,144.06,72.13,-71.94,1371.05,-15.83,-4.02,1.86,272.6,16.057,0,0,-12.944,1,0.6,4.5,0.75,0.35,0.0168,0.4,32.781,32.781,32.781,71.935,1,281.02,4.655,0,0,-6.35,8.41,0,4.81,281.01,0,0,0,0,0,0,0,49.755,0,0,0,3,0,0,0,2681.82,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.08,340.76,2,0,0.1,0.1,25,10,0.12,0.08,2.72,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
3,APPROACH,FLY_TO_FIX,143.56,72.37,-71.19,1366.61,-14.38,-3.54,1.82,273.03,16.008,0,0,-18.504,1,0.6,4.5,0.75,0.35,0.0168,0.4,32.933,32.933,32.933,71.189,1,281.04,4.24,0,0,-5.8,8.01,0,4.39,281.03,0,0,0,0,0,0,0,49.708,0,0,0,3,0,0,0,2679.37,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.72,341.18,2,0,0.1,0.1,28,10,0.12,0.08,3.02,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
3.3,APPROACH,FLY_TO_FIX,143.03,72.61,-70.42,1362.56,-13.08,-3.24,1.67,273.4,15.875,0,0,-18.228,1,0.6,4.5,0.75,0.35,0.0168,0.4,33.092,33.092,33.092,70.418,1,281.06,3.866,0,0,-5.29,7.65,0,3.98,281.05,0,0,0,0,0,0,0,49.661,0,0,0,3,0,0,0,2676.92,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45,341.6,2,0,0.1,0.1,31,10,0.12,0.08,3.32,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
3.6,APPROACH,FLY_TO_FIX,142.47,72.85,-69.63,1358.9,-11.82,-2.91,1.52,273.78,15.665,0,0,-17.956,1,0.6,4.5,0.876,0.35,0.0168,0.4,33.258,33.258,33.258,69.626,1,281.07,3.503,0,0,-4.8,7.29,0,3.61,281.07,0,0,0,0,0,0,0,49.615,0,0,0,3,0,0,0,2674.48,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.28,342.01,2,0,0.1,0.1,34,10,0.12,0.08,3.62,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
3.9,APPROACH,FLY_TO_FIX,141.9,73.09,-68.82,1355.58,-10.71,-2.55,1.48,274.17,15.392,0,0,-17.688,1,0.6,4.5,1.001,0.35,0.0168,0.4,33.429,33.429,33.429,68.817,1,281.09,3.189,0,0,-4.37,6.92,0,3.3,281.09,0,0,0,0,0,0,0,49.568,0,0,0,3,0,0,0,2672.05,0,0,0,269.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19,342.41,2,0,0.1,0.1,37,10,0.12,0.08,3.92,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
