t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,156.83,152,-4.83,1339.31,1258.91,-14.39,11.65,17.04,268.51,-14.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5.26,0,0,0,90,0,0,0,0,0,-106.02,-272.31,29.334,0,0,0,3,1339.31,0,0,1611.62,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.48,1053.19,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,156.85,152,-4.85,1335.6,1255.32,-13.78,11.52,16.64,268.46,-13.797,0,0,0,1,0.6,1.423,0.75,0.35,0.0168,0.4,3.722,20.523,3.722,4.855,1,272.13,0,0,1,-5.06,0,0,0,295,0.1414,0.0371,0.9893,0,272.13,-104.19,-273.48,29.296,2.127,0,0,3,1339.31,-5.225,0,1609.65,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.22,1053.53,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.74,APPROACH,ILS_TRACK,156.79,152,-4.79,1331.16,1251.23,-13.16,11,15.78,268.67,-11.679,0,0,0,1,0.6,3.158,0.75,0.35,0.0168,0.4,3.658,20.54,3.658,4.795,1,272.3,0,0,1,-4.82,0,0,0,272.26,0.1415,0.0402,0.9891,0,272.3,-101.82,-275.08,29.242,2.303,0,0,3,1339.31,-4.818,0,1606.79,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.56,1053.52,2,0,0.08,0.08,6,9.38,0.14,0.08,0.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.1,APPROACH,ILS_TRACK,156.71,152,-4.71,1326.43,1247.07,-12.77,10.7,15.17,269.28,-5.889,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.571,20.563,3.571,4.713,1,272.42,0,0,1,-4.67,0,0,0,272.39,0.1416,0.0421,0.989,0,272.42,-99.48,-276.62,29.18,2.416,0,0,3,1339.31,-3.973,0,1603.57,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.93,1053.44,2,0,0.12,0.12,9,8.33,0.12,0.08,1.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.46,APPROACH,ILS_TRACK,156.56,152,-4.56,1322.1,1242.89,-12.49,11.32,15.62,270.05,-1.592,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.424,20.602,3.424,4.575,1,272.45,0,0,1,-4.58,0,0,0,272.45,0.1417,0.0427,0.989,0,272.45,-97.35,-277.79,29.119,2.446,0,0,3,1339.31,-2.83,0,1600.35,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.13,1053.1,2,0,0.12,0.12,12,8.33,0.12,0.12,1.46,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.76,APPROACH,ILS_TRACK,156.26,152,-4.26,1318.83,1239.33,-12.03,12.67,16.82,270.73,-0.069,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.119,20.682,3.119,4.29,1,272.41,0,0,1,-4.43,0,0,0,272.43,0.1418,0.0421,0.989,0,272.41,-95.64,-278.42,29.068,2.411,0,0,3,1339.31,-1.751,0,1597.67,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.64,1052.05,2,0,0.08,0.08,15,10,0.12,0.08,1.76,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.12,APPROACH,ILS_TRACK,155.55,152,-3.55,1315.18,1235.21,-10.69,14.36,18.03,271.45,0.543,0.1063,0,-1.392,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,20.876,0,3.602,0,272.34,0,0,1,-3.99,0,0,0,272.35,0.1419,0.0408,0.989,0,272.34,-93.61,-278.89,29.007,2.34,0,0,3,1339.31,-1.177,0,1594.47,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.98,1049.22,2,0,0.12,0.12,18,8.33,0.12,0.08,2.12,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.46,APPROACH,ILS_TRACK,154.62,152,-2.62,1311.89,1231.82,-9.36,14.79,17.98,272,0.583,0.2423,0,-2.408,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.138,0,2.671,0,272.22,0,0,1,-3.51,0,0,0,272.27,0.142,0.0388,0.9891,0,272.22,-91.67,-279.2,28.949,2.222,0,0,3,1339.31,-0.711,0,1591.46,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,1045.38,2,0,0.1,0.1,21,8.82,0.12,0.1,2.46,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.74,APPROACH,ILS_TRACK,153.87,152,-1.87,1309.37,1229.36,-8.4,14.67,17.54,272.14,0.543,0.3543,0,-3.013,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.351,0,1.917,0,272.13,0,0,1,-3.17,0,0,0,272.17,0.1421,0.0372,0.9892,0,272.13,-90.04,-279.28,28.902,2.132,0,0,3,1339.31,-0.052,0,1589,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.46,1042.29,2,0,0.08,0.08,24,10.71,0.1,0.08,2.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.04,APPROACH,ILS_TRACK,153.14,152,-1.14,1306.86,1226.99,-7.58,14.24,16.82,272.12,0.27,0.4743,0,-3.438,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.557,0,1.186,0,272.06,0,0,1,-2.87,0,0,0,272.07,0.1422,0.0359,0.9892,0,272.06,-88.27,-279.19,28.852,2.057,0,0,3,1339.31,0.572,0,1586.37,0,0,0,0,0,0,0,0,268.51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.3,1039.31,2,0,0.08,0.08,27,10,0.12,0.08,3.04,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
