t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.22,TAKEOFF,TO_PREFLIGHT,0.22,80,79.78,4.45,-0.35,2.79,82.05,89.79,-0.038,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.609,0,0,1,0,0,0,0,0,0,0,0,1,0.28,LANDED
0.42,TAKEOFF,TO_PREFLIGHT,0.09,80,79.91,4.66,0.28,3.48,-77.28,89.78,-0.04,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.614,0,0,1,0,0,0,0,0,0,0,0,1,0.46,LANDED
0.6,TAKEOFF,TO_PREFLIGHT,0.19,80,79.81,4.82,-0.1,3.94,34.48,89.78,-0.05,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.618,0,0,1,0,0,0,0,0,0,0,1,1,0.64,LANDED
0.8,TAKEOFF,TO_PREFLIGHT,0.19,80,79.81,4.81,-0.16,4.05,60.63,89.78,-0.046,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.621,0,0,1,0,0,0,0,0,0,0,1,1,0.84,LANDED
0.98,TAKEOFF,TO_PREFLIGHT,0.04,80,79.96,4.8,0.2,3.98,-81.43,89.77,-0.045,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.628,0,0,1,0,0,0,0,0,0,0,1,1,1.02,LANDED
1.2,TAKEOFF,TO_PREFLIGHT,0.1,80,79.9,4.72,-0.09,3.66,39.51,89.75,-0.043,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.645,0,0,1,0,0,0,0,0,0,0,1,1,1.24,LANDED
1.38,TAKEOFF,TO_PREFLIGHT,0.15,80,79.85,4.58,-0.01,3.2,16.45,89.73,-0.039,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.663,0,0,1,0,0,0,0,0,0,0,1,1,1.42,LANDED
1.56,TAKEOFF,TO_PREFLIGHT,0.19,80,79.81,4.42,0.05,2.65,-10.99,89.7,-0.048,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.686,0,0,1,0,0,0,0,0,0,0,1,1,1.6,LANDED
1.74,TAKEOFF,TO_PREFLIGHT,0.22,80,79.78,4.25,0,2.03,1.09,89.68,-0.039,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.714,0,0,1,0,0,0,0,0,0,0,1,1,1.78,LANDED
1.92,TAKEOFF,TO_PREFLIGHT,0.24,80,79.76,4.05,-0.03,1.37,7.59,89.65,-0.041,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.741,0,0,1,0,0,0,0,0,0,0,1,1,1.96,LANDED
2.12,TAKEOFF,TO_GROUND_ROLL,0.24,80,79.76,3.85,0.04,0.67,-7.37,89.62,-0.043,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.765,0,0,1,0,0,0,0,0,0,0,1,1,2.16,LANDED
2.4,TAKEOFF,TO_GROUND_ROLL,0.23,80,79.77,3.62,-0.1,-0.16,18.15,89.59,-0.042,0.096,0,90.4,0,0,0,0,0.002,0,0,0,0,90.4,1,0.002,-0.803,0,0,1,0,0,0,0,0,0,0,1,1,2.44,LANDED
2.64,TAKEOFF,TO_GROUND_ROLL,0.25,80,79.75,3.64,-0.09,0.06,16.41,89.57,-0.039,0.192,0,90.4,0,0,0,0,0.002,0,0,0,0,90.4,1,0.002,-0.828,0,0,1,0,0,0,0,0,0,0,1,1,2.68,LANDED
2.88,TAKEOFF,TO_GROUND_ROLL,0.26,80,79.74,3.78,0.14,0.6,-16.28,89.56,-0.043,0.288,0,90.4,0,0,0,0,0.002,0,0,0,0,90.4,1,0.002,-0.837,0,0,1,0,0,0,0,0,0,0,1,1,2.92,LANDED
3.12,TAKEOFF,TO_GROUND_ROLL,0.35,80,79.65,4.01,0.01,1.26,-8.88,89.56,-0.038,0.384,0,90.4,0,0,0,0,0.002,0,0,0,0,90.4,1,0.002,-0.84,0,0,1,0,0,0,0,0,0,0,1,1,3.16,LANDED
3.36,TAKEOFF,TO_GROUND_ROLL,0.38,80,79.62,4.18,-0.12,1.92,20.07,89.56,-0.039,0.48,0,90.4,0,0,0,0,0.002,0,0,0,0,90.4,1,0.002,-0.84,0,0,1,0,0,0,0,0,0,0,1,1,3.4,LANDED
3.66,TAKEOFF,TO_GROUND_ROLL,0.5,80,79.5,4.42,0.05,2.73,-3,89.56,-0.044,0.6,0,90.4,0,0,0,0,0.002,0,0,0,0,90.4,1,0.002,-0.838,0,0,1,0,0,0,0,0,0,0,1,1,3.7,LANDED
3.9,TAKEOFF,TO_GROUND_ROLL,0.66,80,79.34,4.57,-0.07,3.23,8.72,89.56,-0.04,0.696,0,90.4,0,0,0,0,0.002,0,0,0,0,90.4,1,0.002,-0.838,0,0,1,0,0,0,0,0,0,0,1,1,3.94,LANDED
4.14,TAKEOFF,TO_GROUND_ROLL,0.87,80,79.13,4.66,0.02,3.57,2.43,89.56,-0.043,0.792,0,90.4,0,0,0,0,0.002,0,0,0,0,90.4,1,0.002,-0.838,0,0,1,0,0,0,0,0,0,0,1,1,4.18,LANDED
4.38,TAKEOFF,TO_GROUND_ROLL,1.14,80,78.86,4.72,-0.01,3.72,4.14,89.56,-0.042,0.888,0,90.4,0,0,0,0,0.002,0,0,0,0,90.4,1,0.002,-0.838,0,0,1,0,0,0,0,0,0,0,1,1,4.42,LANDED
