t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
1.2,APPROACH,FLY_TO_FIX,236.65,140.8,-95.85,1350.04,-0.2,4.98,5.34,270.04,0.068,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,265.83,0,0,0,-56.245,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.21,3797.95,6,0,0.96,0.5,1,1.96,0.96,0.02,1.26,FLYING
1.88,APPROACH,FLY_TO_FIX,235.29,141.6,-93.69,1355.91,2.84,9.3,12.28,270.43,0.055,0,0,0,1,0.6,1.375,0.75,0.35,0.0168,0.4,265.82,0,0,0,-56.081,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.59,3782.57,6,0,0.68,0.5,2,1.52,0.96,0.68,1.92,FLYING
2.54,APPROACH,FLY_TO_FIX,229.52,142.4,-87.12,1367.48,15.33,18.97,17.78,271.84,-0.199,0.2,0,-20,1,0.6,1.969,0.805,0.35,0.0168,0.4,265.82,0,0,0,-55.919,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.35,3718.86,6,0,0.66,0.5,3,1.52,0.68,0.66,2.58,FLYING
3.18,APPROACH,FLY_TO_FIX,221.08,143.2,-77.88,1385.1,28.81,24.99,19.51,273.74,-0.698,0.4,0,-20,1,0.6,2.498,0.805,0.35,0.0168,0.4,265.81,0,0,0,-55.766,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.25,3620.73,6,0,0.64,0.5,4,1.56,0.66,0.64,3.22,FLYING
3.82,APPROACH,FLY_TO_FIX,212.04,144,-68.04,1409.66,40.59,28.68,19.55,274.42,-0.844,0.6,0,-20,1,0.6,2.963,0.805,0.35,0.0168,0.4,265.8,0,0,0,-55.62,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.72,3510.55,6,0,0.64,0.5,5,1.56,0.64,0.64,3.86,FLYING
4.46,APPROACH,FLY_TO_FIX,203.42,144.8,-58.62,1440.49,49.53,31.69,19.55,274.47,-0.761,0.8,0,-20,1,0.6,3.37,0.805,0.35,0.0168,0.4,265.8,0,0,0,-55.48,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.52,3401.89,6,0,0.64,0.5,6,1.56,0.64,0.64,4.5,FLYING
5.1,APPROACH,FLY_TO_FIX,195.32,145.6,-49.72,1476.12,56.7,34.28,19.56,274.49,-0.733,1,0,-20,1,0.6,3.725,0.805,0.35,0.0168,0.4,265.79,0,0,0,-55.346,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792.47,3297.2,6,0,0.64,0.5,7,1.56,0.64,0.64,5.14,FLYING
5.74,APPROACH,FLY_TO_FIX,187.97,146.4,-41.57,1515.87,62.89,36.7,19.57,274.67,-0.751,1,0,-20,1,0.6,4.033,0.805,0.35,0.0168,0.4,265.78,0,0,0,-55.219,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059.89,3200.37,6,0,0.64,0.5,8,1.56,0.64,0.64,5.78,FLYING
6.38,APPROACH,FLY_TO_FIX,181.33,147.2,-34.13,1559.19,68.28,38.98,19.57,275.09,-0.91,1,0,-20,1,0.6,4.3,0.805,0.35,0.0168,0.4,265.78,0,0,0,-55.097,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.32,3111.75,6,0,0.64,0.5,9,1.56,0.64,0.64,6.42,FLYING
7.04,APPROACH,FLY_TO_FIX,175.1,148,-27.1,1607.12,73.1,41.21,19.56,275.13,-0.888,1,0,-20,1,0.6,4.5,0.805,0.35,0.0168,0.4,265.77,0,0,0,-54.976,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1467.72,3027.92,6,0,0.66,0.5,10,1.52,0.66,0.64,7.08,FLYING
