t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_auth_reason,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_theta_cmd_raw,flare_theta_cmd_clamped,flare_theta_clamp_active,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,155.84,152,-3.84,649.6,569.22,-20.08,8.98,16.01,270.04,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-7.36,0,0,0,90,0,0,0,0,0,0,-32.01,11.596,0,0,0,3,649.6,0,0,681.99,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,569.22,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.56,1096.84,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.48,APPROACH,ILS_TRACK,155.78,152,-3.78,643.44,562.95,-19.18,9.38,16.1,270.05,0.12,0,0,0,1,0.6,2.149,0.75,0.35,0.0168,0.4,2.579,20.823,2.579,3.791,1,269.99,0,0,1,-7.05,0,0,0,269.99,0.7538,-0.0001,-0.6571,0,269.99,0.01,-35.23,11.547,-0.007,19.104,1,3,649.6,-10.67,0,679.43,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,562.95,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.14,1097.1,2,0,0.08,0.08,4,9.38,0.14,0.08,0.48,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.78,APPROACH,ILS_TRACK,155.66,152,-3.66,637.82,557.29,-18.48,9.52,16.02,270.03,0.059,0,0,0,1,0.6,3.822,0.75,0.35,0.0168,0.4,2.446,20.857,2.446,3.67,1,269.99,0,0,1,-6.82,0,0,0,269.99,0.7538,-0.0002,-0.6571,0,269.99,0.02,-38.31,11.498,-0.012,19.504,1,3,649.6,-10.014,0,676.87,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,557.29,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.01,1097,2,0,0.08,0.08,7,10,0.12,0.08,0.78,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.08,APPROACH,ILS_TRACK,155.34,152,-3.34,632.22,551.92,-17.64,8.93,15.06,270.02,0.01,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.103,20.945,2.103,3.358,1,269.99,0,0,1,-6.5,0,0,0,269.99,0.7537,-0.0002,-0.6572,0,269.99,0.04,-41.35,11.449,-0.011,20.555,1,3,649.6,-10.189,0,674.31,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,551.92,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.05,1096.04,2,0,0.08,0.08,10,10,0.12,0.08,1.08,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.44,APPROACH,ILS_TRACK,155.12,152,-3.12,625.59,545.69,-17.11,7.7,13.63,270.01,-0.021,0,0,-0.388,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.857,21.007,1.857,3.135,1,269.99,0,0,1,-6.31,0,0,0,269.99,0.7536,-0.0002,-0.6573,0,269.99,0.05,-44.92,11.391,-0.014,21.363,1,3,649.6,-9.861,0,671.25,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,545.69,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.91,1095.57,2,0,0.12,0.12,13,8.33,0.12,0.08,1.44,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.78,APPROACH,ILS_TRACK,155.01,152,-3.01,619.37,539.91,-17.18,6.24,12.21,270.01,-0.012,0,0,-0.382,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.717,21.043,1.717,3.009,1,269.99,0,0,1,-6.31,0,0,0,269.99,0.7536,-0.0002,-0.6574,0,269.99,0.07,-48.26,11.335,-0.013,22.228,1,3,649.6,-9.688,0,668.36,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,539.91,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.34,1095.51,2,0,0.1,0.1,16,8.82,0.12,0.1,1.78,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.12,APPROACH,ILS_TRACK,154.96,152,-2.96,613.37,534,-17.59,5.78,11.98,270.01,-0.007,0,0,-0.376,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.667,21.055,1.667,2.965,1,269.99,0,0,1,-6.46,0,0,0,269.99,0.7535,-0.0002,-0.6574,0,269.99,0.08,-51.4,11.28,-0.011,22.622,1,3,649.6,-9.001,0,665.47,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.89,1095.77,2,0,0.12,0.12,19,8.82,0.12,0.1,2.12,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.46,APPROACH,ILS_TRACK,154.81,152,-2.81,607.66,527.94,-17.86,6.71,13.1,270.01,-0.006,0,0,-0.371,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.51,21.095,1.51,2.824,1,269.99,0,0,1,-6.57,0,0,0,269.99,0.7535,-0.0002,-0.6575,0,269.99,0.09,-54.27,11.225,-0.011,22.784,1,3,649.6,-8.128,0,662.58,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,527.94,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.26,1095.61,2,0,0.1,0.1,22,8.82,0.12,0.1,2.46,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.74,APPROACH,ILS_TRACK,154.51,152,-2.51,603.2,522.91,-17.75,8.47,14.91,270.01,-0.006,0.0366,0,-0.837,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.193,21.174,1.193,2.542,1,269.98,0,0,1,-6.57,0,0,0,269.99,0.7534,-0.0003,-0.6575,0,269.98,0.1,-56.39,11.18,-0.017,22.706,1,3,649.6,-7.238,0,660.21,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,522.91,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.5,1094.76,2,0,0.08,0.08,25,10.71,0.1,0.08,2.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.04,APPROACH,ILS_TRACK,153.9,152,-1.9,598.59,517.69,-16.7,10.57,16.62,270.01,-0.012,0.1566,0,-1.491,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.341,0,1.952,0,269.99,0,0,1,-6.25,0,0,0,269.99,0.7534,-0.0003,-0.6576,0,269.99,0.11,-58.47,11.132,-0.015,23.109,1,3,649.6,-6.961,0,657.68,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,517.69,0,0,0,0,0,0,0,0,0,270.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.11,1092.55,2,0,0.08,0.08,28,10,0.12,0.08,3.04,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
