time_s,phase,ias_mps,aoa_deg,vs_mps,agl_m,lift_kN,weight_kN,lift_ratio,vs1g_est_mps
#META,tag=IFC_TAKEOFF_RWY_09,far_ok=True,alpha_crit_deg=18
0.02,TAKEOFF:TO_PREFLIGHT,0.378,-47.182,-0.03,4.279,-0.052,971.105,-5E-05,-1
#ROTATE,t_s=0.16,ias_mps=0.154,aoa_deg=82.829
0.16,TAKEOFF:TO_PREFLIGHT,0.154,82.829,-0.436,4.419,0,971.105,0,-1
0.36,TAKEOFF:TO_PREFLIGHT,0.146,-73.695,0.255,4.634,0.002,971.105,0,-1
0.54,TAKEOFF:TO_PREFLIGHT,0.209,-61.458,0.003,4.804,-0.014,971.105,-1E-05,-1
0.74,TAKEOFF:TO_PREFLIGHT,0.172,61.871,-0.19,4.817,0.022,971.105,2E-05,-1
0.92,TAKEOFF:TO_PREFLIGHT,0.067,-85.415,0.177,4.805,0,971.105,0,-1
1.14,TAKEOFF:TO_PREFLIGHT,0.112,29.03,-0.069,4.737,0,971.105,0,-1
1.32,TAKEOFF:TO_PREFLIGHT,0.14,24.725,-0.038,4.593,0.006,971.105,1E-05,-1
1.5,TAKEOFF:TO_PREFLIGHT,0.18,-11.288,0.054,4.442,-0.008,971.105,-1E-05,-1
1.68,TAKEOFF:TO_PREFLIGHT,0.222,-0.158,0.004,4.267,-0.006,971.105,-1E-05,-1
1.86,TAKEOFF:TO_PREFLIGHT,0.234,7.839,-0.027,4.072,-0.001,971.105,0,-1
2.04,TAKEOFF:TO_GROUND_ROLL,0.24,-4.326,0.029,3.886,-0.006,971.105,-1E-05,-1
2.34,TAKEOFF:TO_GROUND_ROLL,0.227,1.898,-0.048,3.63,-0.002,971.105,0,-1
2.58,TAKEOFF:TO_GROUND_ROLL,0.248,13.97,-0.066,3.625,0.009,971.105,1E-05,-1
2.82,TAKEOFF:TO_GROUND_ROLL,0.265,10.647,0.022,3.765,0.012,971.104,1E-05,-1
3.06,TAKEOFF:TO_GROUND_ROLL,0.35,-23.148,0.104,3.997,-0.018,971.103,-2E-05,-1
3.3,TAKEOFF:TO_GROUND_ROLL,0.372,24.53,-0.157,4.167,0.035,971.102,4E-05,-1
3.6,TAKEOFF:TO_GROUND_ROLL,0.491,-5.212,0.07,4.406,0.002,971.098,0,-1
3.84,TAKEOFF:TO_GROUND_ROLL,0.645,8.649,-0.076,4.558,0.029,971.095,3E-05,-1
4.08,TAKEOFF:TO_GROUND_ROLL,0.853,3.115,0.014,4.658,0.022,971.09,2E-05,-1
4.32,TAKEOFF:TO_GROUND_ROLL,1.118,3.673,-0.005,4.715,0.025,971.083,3E-05,-1
4.62,TAKEOFF:TO_GROUND_ROLL,1.542,3.719,0.002,4.688,0.04,971.073,4E-05,-1
4.86,TAKEOFF:TO_GROUND_ROLL,1.96,2.971,0.014,4.609,0.042,971.064,4E-05,-1
5.1,TAKEOFF:TO_GROUND_ROLL,2.452,2.941,0.001,4.48,0.06,971.052,6E-05,-1
5.34,TAKEOFF:TO_GROUND_ROLL,3.016,2.175,0.013,4.32,0.066,971.039,7E-05,-1
5.64,TAKEOFF:TO_GROUND_ROLL,3.817,1.607,0,4.102,0.078,971.021,8E-05,-1
5.88,TAKEOFF:TO_GROUND_ROLL,4.53,1.046,-0.001,3.936,0.094,971.005,0.0001,-1
6.12,TAKEOFF:TO_GROUND_ROLL,5.304,0.601,-0.006,3.798,0.118,970.988,0.00012,-1
