t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,phase_el_s,status
0.94,TAKEOFF,TO_PREFLIGHT,0.2,80,79.8,3.62,0.01,-0.12,-4.23,93.52,-0.048,0.2,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,3.127,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.42,2,0,0.22,LANDED
3.5,TAKEOFF,TO_PREFLIGHT,0.06,80,79.94,3.61,0,-0.15,-2.15,93.39,-0.048,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,3.127,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.3,888.41,2,0,2.76,LANDED
6.06,TAKEOFF,TO_PREFLIGHT,0.15,80,79.85,3.59,0,-0.22,-0.42,93.32,-0.048,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,3.127,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.67,888.4,2,0,5.32,LANDED
8.66,TAKEOFF,TO_PREFLIGHT,0.45,80,79.55,3.59,0,-0.23,-0.36,92.12,-0.086,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,3.127,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.34,888.39,2,0,7.92,LANDED
10.7,TAKEOFF,TO_GROUND_ROLL,3.17,80,76.83,3.62,0.02,-0.12,-0.44,90.69,-0.165,1,0,0,0,0,0,0,0,0,0,91.36,0,0,0,0,-0.005,0,0,0,0,91.36,1,-0.005,-0.51,0.0837,0.578,0,0.0837,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.2,888.33,2,0,9.98,LANDED
12.78,TAKEOFF,TO_GROUND_ROLL,12.77,80,67.23,3.62,-0.03,-0.1,0.03,90.57,-0.062,1,0,0,0,0,0,0,0,0,0,90.41,0,0,0,0,-0.01,0,0,0,0,90.41,1,-0.01,0.185,-0.0046,0.675,0,-0.0046,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.72,887.55,2,0,12.06,LANDED
14.84,TAKEOFF,TO_GROUND_ROLL,22.96,80,57.04,3.62,-0.05,-0.09,0.03,90.33,-0.063,1,0,0,0,0,0,0,0,0,0,90.41,0,0,0,0,-0.014,0,0,0,0,90.41,1,-0.014,-0.063,0.0046,0.777,0,0.0046,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813.46,886.01,2,0,14.12,LANDED
16.96,TAKEOFF,TO_GROUND_ROLL,33.84,80,46.16,3.62,-0.07,-0.08,0.03,90.08,-0.065,1,0,0,0,0,0,0,0,0,0,90.42,0,0,0,0,-0.007,0,0,0,0,90.42,1,-0.007,-0.323,0.0168,0.885,0,0.0168,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.64,883.96,2,0,16.24,LANDED
19.08,TAKEOFF,TO_GROUND_ROLL,44.97,80,35.03,3.62,-0.09,-0.08,0.02,89.85,-0.064,1,0,0,0,0,0,0,0,0,0,90.45,0,0,0,0,0.021,0,0,0,0,90.45,1,0.021,-0.583,0.0308,0.997,0,0.0308,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,881.86,2,0,18.36,LANDED
21.2,TAKEOFF,TO_GROUND_ROLL,56.25,80,23.75,3.62,-0.1,-0.07,0.02,89.67,-0.062,1,0,0,0,0,0,0,0,0,0,90.5,0,0,0,0,0.079,0,0,0,0,90.5,1,0.079,-0.82,0.0414,1,0,0.0414,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.08,880.22,2,0,20.48,LANDED
