t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
1.08,APPROACH,FLY_TO_FIX,79.87,76.4,-3.47,2213.57,76.74,59.9,5.83,260.15,5.513,0,0,0,1,0.6,0.9,0.762,0.35,0.0168,0.4,66.38,-4.649,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.12,FLYING
1.9,APPROACH,FLY_TO_FIX,74.87,76.8,1.93,2268.94,72.67,57.14,2.58,259.88,4.389,0.2,0,0.727,1,0.6,0.9,0.839,0.35,0.0168,0.4,66.44,-4.958,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.94,FLYING
2.66,APPROACH,FLY_TO_FIX,70.18,77.2,7.02,2320.45,68.44,62.1,7.27,260.1,0.876,0.4,0,0.723,1,0.6,0.944,0.839,0.35,0.0168,0.4,66.48,-5.23,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.7,FLYING
3.42,APPROACH,FLY_TO_FIX,65.25,77.6,12.35,2369.05,64.6,63.74,7.98,260.51,-0.002,0.6,0,0.719,1,0.6,1.211,0.839,0.35,0.0168,0.4,66.52,-5.486,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.46,FLYING
4.18,APPROACH,FLY_TO_FIX,60.3,78,17.7,2416.43,60.51,69.22,12.48,262.15,-1.718,0.8,0,0.716,1,0.6,1.458,0.839,0.35,0.0168,0.4,66.56,-5.728,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.22,FLYING
4.94,APPROACH,FLY_TO_FIX,55.18,78.4,23.22,2460.49,56.59,72.97,14.72,266.36,-3.254,1,0,0.712,1,0.6,1.686,0.839,0.35,0.0168,0.4,66.59,-5.955,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.98,FLYING
5.7,APPROACH,FLY_TO_FIX,50.19,78.8,28.61,2501.44,52.32,74.36,14.92,269.63,-3.717,1,0,0.709,1,0.6,1.898,0.839,0.35,0.0168,0.4,66.63,-6,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.74,FLYING
6.46,APPROACH,FLY_TO_FIX,45.43,79.2,33.77,2539.66,47.82,75.15,14.98,271.44,-3.593,1,0,0.705,1,0.6,2.094,0.839,0.35,0.0168,0.4,66.66,-6,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.5,FLYING
7.26,APPROACH,FLY_TO_FIX,40.64,79.6,38.96,2575.95,42.91,75.31,14.98,272.03,-2.981,1,0,0.702,1,0.6,2.275,0.839,0.35,0.0168,0.4,66.69,-6,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.3,FLYING
8.04,APPROACH,FLY_TO_FIX,36.23,80,43.77,2606.24,38.07,74.7,14.94,271.23,-2.082,1,0,0.698,1,0.6,2.443,0.839,0.35,0.0168,0.4,66.71,-6,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.08,FLYING
8.82,APPROACH,FLY_TO_FIX,32.08,80,47.92,2632.76,33.19,73.05,14.81,269.93,-1.069,1,0,0.695,1,0.6,2.598,0.839,0.35,0.0168,0.4,66.74,-6,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.86,FLYING
9.6,APPROACH,FLY_TO_FIX,28.24,80,51.76,2655.48,28.31,70.48,15,268.58,0.097,1,0,0.691,1,0.6,2.742,0.839,0.35,0.0168,0.4,66.76,-6,0,0,0,0,0,0,0,0,262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.64,FLYING
