t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.2,APPROACH,ILS_TRACK,69.99,70,0.01,965.65,-4,2.38,5.37,269.99,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.27,0,0,0,90,0,0,0,0,0,-1.9,0.57,16.997,0,0,0,3,965.65,0,0,965.08,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.06,403.46,2,0,0.18,0.18,1,3.7,0.18,0.02,0.2,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.46,APPROACH,ILS_TRACK,69.98,70,0.02,964.6,-3.97,2.36,5.32,269.99,0.03,0.005,0,0.003,1,0.6,1.005,0.75,0.35,0.0168,0.4,0,55,0,-0.014,0,270.08,-3.155,0,1,-3.26,0,0,-6.95,274.03,-0.8161,0.0013,0.5779,-3.16,270.08,-1.9,0.56,16.98,0.079,-0.155,1,3,965.65,-0.018,-3.155,964.2,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.38,403.52,2,0,0.12,0.12,3,7.69,0.18,0.12,0.46,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.82,APPROACH,ILS_TRACK,69.93,70,0.07,963.14,-4.09,2.19,5.27,270.01,0.111,0.0333,0,0.019,1,0.6,2.232,0.75,0.35,0.0168,0.4,0,55,0,-0.067,0,270.08,-3.17,0,1,-3.34,0,0,-3.06,270.08,-0.8159,0.0014,0.5781,-3.17,270.08,-1.91,0.54,16.953,0.081,-0.17,1,3,965.65,0.012,-3.17,962.76,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.49,403.63,2,0,0.12,0.12,6,8.33,0.12,0.12,0.82,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.18,APPROACH,ILS_TRACK,69.82,70,0.18,961.7,-4.08,2.42,5.49,270.01,0.095,0.077,0,0.067,1,0.6,3.187,0.75,0.35,0.0168,0.4,0,55,0,-0.169,0,270.08,-3.138,0,1,-3.35,0,0,-3.17,270.08,-0.8162,0.0013,0.5777,-3.14,270.08,-1.91,0.54,16.925,0.077,-0.138,1,3,965.65,-0.03,-3.138,961.32,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5,403.78,2,0,0.12,0.12,9,8.33,0.12,0.12,1.18,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.54,APPROACH,ILS_TRACK,69.67,70,0.33,960.24,-4.08,2.52,5.59,270.01,0.081,0.1298,0,0.162,1,0.6,3.931,0.75,0.35,0.0168,0.4,0,55,0,-0.319,0,270.08,-3.113,0,1,-3.35,0,0,-3.12,270.08,-0.8165,0.0013,0.5774,-3.11,270.08,-1.91,0.52,16.898,0.078,-0.113,1,3,965.65,-0.055,-3.113,959.88,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.77,403.95,2,0,0.12,0.12,12,8.33,0.12,0.12,1.54,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.9,APPROACH,ILS_TRACK,69.49,70,0.51,958.79,-4.07,2.61,5.68,270.01,0.07,0.179,0,0.319,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,55,0,-0.497,0,270.08,-3.101,0,1,-3.35,0,0,-3.1,270.08,-0.8166,0.0013,0.5772,-3.1,270.08,-1.91,0.5,16.871,0.075,-0.101,1,3,965.65,-0.062,-3.101,958.45,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.26,404.14,2,0,0.12,0.12,15,8.33,0.12,0.12,1.9,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.26,APPROACH,ILS_TRACK,69.3,70,0.7,957.34,-4.06,2.69,5.76,270.01,0.06,0.22,0,0.544,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,55,0,-0.69,0,270.08,-3.089,0,1,-3.36,0,0,-3.09,270.08,-0.8167,0.0013,0.5771,-3.09,270.08,-1.91,0.48,16.844,0.079,-0.089,1,3,965.65,-0.067,-3.089,957.02,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.61,404.34,2,0,0.12,0.12,18,8.33,0.12,0.12,2.26,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.62,APPROACH,ILS_TRACK,69.1,70,0.9,955.89,-4.05,2.76,5.84,270.01,0.053,0.2519,0,0.84,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,55,0,-0.885,0,270.08,-3.078,0,1,-3.36,0,0,-3.08,270.07,-0.8167,0.0013,0.577,-3.08,270.08,-1.9,0.45,16.816,0.078,-0.078,1,3,965.65,-0.072,-3.078,955.6,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.83,404.54,2,0,0.12,0.12,21,8.33,0.12,0.12,2.62,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.98,APPROACH,ILS_TRACK,68.91,70,1.09,954.44,-4.05,2.84,5.92,270.01,0.046,0.2773,0,1.205,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,55,0,-1.078,0,270.08,-3.068,0,1,-3.36,0,0,-3.07,270.07,-0.8168,0.0013,0.5769,-3.07,270.08,-1.9,0.43,16.789,0.076,-0.068,1,3,965.65,-0.074,-3.068,954.18,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3,404.74,2,0,0.12,0.12,24,8.33,0.12,0.12,2.98,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
3.34,APPROACH,ILS_TRACK,68.72,70,1.28,953,-4.04,2.91,6,270.01,0.042,0.2989,0,1.638,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,55,0,-1.267,0,270.08,-3.058,0,1,-3.36,0,0,-3.06,270.07,-0.8169,0.0013,0.5768,-3.06,270.08,-1.9,0.4,16.762,0.077,-0.058,1,3,965.65,-0.077,-3.058,952.76,0,0,0,269.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.97,404.93,2,0,0.12,0.12,27,8.33,0.12,0.12,3.34,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
