t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.12,APPROACH,FLY_TO_FIX,77.83,73.08,-4.75,1342.3,0,8.21,8.21,89.94,0.008,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,179.94,0,1,0,0,159.76,0,0,90,0,0,0,0,0,0,0,40.661,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.4,402.12,2,0,0.1,0.1,1,3.45,0.1,0.02,0.12,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.42,APPROACH,FLY_TO_FIX,77.83,73.32,-4.51,1342.3,0,8.21,8.21,89.96,0.225,0,0,0,1,0.6,1.747,0.75,0.35,0.0168,0.4,179.96,0,0,0,0,159.79,0,0,179.95,0,0,0,0,0,0,0,40.687,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.5,402.12,2,0,0.06,0.06,5,13.33,0.1,0.06,0.42,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.72,APPROACH,FLY_TO_FIX,77.81,73.56,-4.25,1342.31,0,8.27,8.27,90.07,1.222,0,0,0,1,0.6,2.705,0.75,0.35,0.0168,0.4,180.07,0,0,0,0,159.72,0,0,180.04,0,0,0,0,0,0,0,40.713,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.89,402.13,2,0,0.06,0.06,9,13.33,0.1,0.06,0.72,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1,APPROACH,FLY_TO_FIX,77.78,73.78,-3.99,1342.33,0.03,8.36,8.35,90.31,2.844,0,0,0,1,0.6,3.392,0.75,0.35,0.0168,0.4,180.31,0,0,0,0.02,159.52,0,0,180.25,0,0,0,0,0,0,0,40.737,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.54,402.15,2,0,0.06,0.06,13,14.29,0.08,0.06,1,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.28,APPROACH,FLY_TO_FIX,77.73,74.01,-3.73,1342.36,0.08,8.48,8.45,90.68,4.957,0,0,0,1,0.6,3.883,0.75,0.35,0.0168,0.4,180.68,0,0,0,0.05,159.19,0,0,180.59,0,0,0,0,0,0,0,40.761,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.46,402.18,2,0,0.06,0.06,17,14.29,0.08,0.06,1.28,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.56,APPROACH,FLY_TO_FIX,77.68,74.23,-3.45,1342.42,0.15,8.6,8.56,91.18,7.406,0,0,0,1,0.6,4.236,0.75,0.35,0.0168,0.4,181.18,0,0,0,0.11,158.73,0,0,181.07,0,0,0,0,0,0,0,40.786,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.69,402.21,2,0,0.06,0.06,21,14.29,0.08,0.06,1.56,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.84,APPROACH,FLY_TO_FIX,77.61,74.46,-3.16,1342.49,0.24,8.71,8.66,91.81,10.082,0,0,0,1,0.6,4.488,0.75,0.35,0.0168,0.4,181.81,0,0,0,0.17,158.14,0,0,181.67,0,0,0,0,0,0,0,40.81,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.24,402.25,2,0,0.06,0.06,25,14.29,0.08,0.06,1.84,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.12,APPROACH,FLY_TO_FIX,77.54,74.68,-2.86,1342.59,0.33,8.79,8.74,92.54,12.917,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,182.54,0,0,0,0.24,157.46,0,0,182.38,0,0,0,0,0,0,0,40.834,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.13,402.3,2,0,0.06,0.06,29,14.29,0.08,0.06,2.12,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.4,APPROACH,FLY_TO_FIX,77.47,74.9,-2.56,1342.7,0.41,8.81,8.79,93.35,15.719,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,183.35,0,0,0,0.3,156.69,0,0,183.17,0,0,0,0,0,0,0,40.858,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.17,402.34,2,0,0.06,0.06,33,14.29,0.08,0.06,2.4,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.68,APPROACH,FLY_TO_FIX,77.4,75.13,-2.28,1342.82,0.47,8.78,8.8,94.21,17.97,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,184.21,0,0,0,0.35,155.87,0,0,184.02,0,0,0,0,0,0,0,40.882,0,0,0,0,0,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.34,402.38,2,0,0.06,0.06,37,14.29,0.08,0.06,2.68,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
