t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,157.02,152,-5.02,1311.13,1230.23,7.38,16.28,13.91,266.85,-5.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.66,0,0,0,90,0,0,0,0,0,-104.17,-235.35,28.091,0,0,0,3,1311.13,0,0,1546.48,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.14,1055.99,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,156.86,152,-4.86,1313.16,1232.28,8.22,16.28,13.62,266.7,-5.486,0,0,0,1,0.6,1.426,0.75,0.35,0.0168,0.4,3.747,20.516,3.747,4.879,1,275.67,-0.009,0,1,2.95,0,0,0,295,0.0888,0.0987,0.9911,-0.01,275.67,-105.44,-231.67,28.053,5.666,0,0,3,1311.13,16.842,-0.009,1544.51,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.05,1055.19,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,156.6,152,-4.6,1315.29,1234.71,9.07,15.89,12.89,266.5,-3.898,0,0,0,1,0.6,2.632,0.75,0.35,0.0168,0.4,3.476,20.588,3.476,4.623,1,275.81,-0.02,0,1,3.28,0,0,-0.01,275.73,0.089,0.1012,0.9909,-0.02,275.81,-107,-227.22,28.009,5.808,0,0,3,1311.13,17.15,-0.02,1542.18,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.4,1053.88,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.04,APPROACH,ILS_TRACK,156.14,152,-4.14,1318.32,1238.07,10.02,14.61,11.07,266.89,3.006,0.029,0,-1.021,1,0.6,4.099,0.75,0.35,0.0168,0.4,2.989,20.716,2.989,4.169,1,276.04,-0.035,0,1,3.63,0,0,-0.03,275.97,0.0894,0.1052,0.9904,-0.04,276.04,-109.35,-220.97,27.948,6.037,0,0,3,1311.13,17.317,-0.035,1538.97,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.55,1051.64,2,0,0.12,0.12,8,8.33,0.12,0.12,1.04,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.4,APPROACH,ILS_TRACK,155.73,152,-3.73,1321.11,1240.67,10.17,11.56,7.64,267.82,14.994,0.0512,0,-2.408,1,0.6,4.5,0.768,0.35,0.0168,0.4,2.521,20.837,2.521,3.739,1,276.09,-0.049,0,1,3.76,0,0,-0.04,276.11,0.0897,0.1061,0.9903,-0.05,276.09,-111.74,-214.95,27.887,6.088,0,0,3,1311.13,16.497,-0.049,1535.76,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.98,1049.56,2,0,0.12,0.12,11,8.33,0.12,0.12,1.4,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.76,APPROACH,ILS_TRACK,155.67,152,-3.67,1323.75,1243.24,9.02,8.56,4.85,268.41,27.747,0,0,-2.822,1,0.6,4.5,0.773,0.35,0.0168,0.4,2.445,20.857,2.445,3.669,1,274.12,-0.062,0,1,3.38,0,0,-0.06,276.01,0.0903,0.0718,0.9933,-0.06,274.12,-113.87,-209.09,27.825,4.117,0,0,3,1311.13,16.143,-0.062,1532.56,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.07,1049.04,2,0,0.12,0.12,14,8.33,0.12,0.12,1.76,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.12,APPROACH,ILS_TRACK,155.67,152,-3.67,1326.15,1245.72,7.25,6.61,3.76,269.24,35.164,0,0,-2.78,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.442,20.858,2.442,3.666,1,269.92,-0.074,0,1,2.75,0,0,-0.07,271.05,0.0908,-0.0014,0.9959,-0.07,269.92,-115.66,-203.45,27.764,-0.082,0,0,3,1311.13,15.374,-0.074,1529.35,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.58,1048.81,2,0,0.12,0.12,17,8.33,0.12,0.12,2.12,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.48,APPROACH,ILS_TRACK,155.65,152,-3.65,1328.08,1247.94,5.42,5.4,3.62,270.29,36.637,0,0,-2.739,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.426,20.862,2.426,3.652,1,269.18,-0.084,0,1,2.07,0,0,-0.08,269.02,0.091,-0.0143,0.9957,-0.08,269.18,-117.02,-198.25,27.703,-0.818,0,0,3,1311.13,13.893,-0.084,1526.15,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.96,1048.58,2,0,0.12,0.12,20,8.33,0.12,0.12,2.48,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.82,APPROACH,ILS_TRACK,155.57,152,-3.57,1329.43,1249.8,3.6,4.77,4.04,271.27,31.741,0,0,-2.698,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.343,20.883,2.343,3.576,1,271.63,-0.091,0,1,1.42,0,0,-0.09,270.36,0.0913,0.0285,0.9954,-0.09,271.63,-117.87,-193.97,27.647,1.634,0,0,3,1311.13,12.685,-0.091,1523.22,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,1048.11,2,0,0.127,0.127,23,8.82,0.127,0.1,2.82,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.09,APPROACH,ILS_TRACK,155.43,152,-3.43,1330.26,1250.97,2.29,4.91,4.81,272.06,25.398,0,0,-2.671,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.202,20.919,2.202,3.448,1,274.62,-0.095,0,1,0.94,0,0,-0.09,273.19,0.0912,0.0806,0.9926,-0.1,274.62,-118.27,-190.77,27.602,4.621,0,0,3,1311.13,12.01,-0.095,1520.87,0,0,0,0,0,0,0,0,266.87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.13,1047.48,2,0,0.133,0.133,25,7.53,0.133,0.127,3.09,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
