t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,156.74,152,-4.74,1338.71,1258.21,-13.86,12.1,17.31,268.38,-14.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5.07,0,0,0,90,0,0,0,0,0,-105.5,-272.19,29.32,0,0,0,3,1338.71,0,0,1610.9,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.72,1052.86,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,156.73,152,-4.73,1335.18,1254.77,-13.18,12.07,17,268.32,-13.455,0,0,0,1,0.6,1.422,0.75,0.35,0.0168,0.4,3.59,20.558,3.59,4.73,1,272.2,0,0,1,-4.85,0,0,0,295,0.0308,0.0384,0.9988,0,272.2,-103.75,-273.22,29.283,2.203,0,0,3,1338.71,-4.53,0,1608.94,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.12,1053.02,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.74,APPROACH,ILS_TRACK,156.61,152,-4.61,1331.03,1250.87,-12.48,11.84,16.43,268.48,-11.46,0,0,0,1,0.6,3.156,0.75,0.35,0.0168,0.4,3.474,20.588,3.474,4.622,1,272.39,0,0,1,-4.58,0,0,0,272.34,0.0309,0.0417,0.9987,0,272.39,-101.5,-274.54,29.228,2.391,0,0,3,1338.71,-3.861,0,1606.07,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.1,1052.78,2,0,0.08,0.08,6,9.38,0.14,0.08,0.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.1,APPROACH,ILS_TRACK,156.41,152,-4.41,1326.71,1247,-11.89,11.97,16.18,269,-5.655,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.264,20.644,3.264,4.425,1,272.51,0,0,1,-4.37,0,0,0,272.48,0.031,0.0438,0.9986,0,272.51,-99.29,-275.69,29.167,2.511,0,0,3,1338.71,-2.819,0,1602.86,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.05,1052.18,2,0,0.12,0.12,9,8.33,0.12,0.08,1.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.46,APPROACH,ILS_TRACK,156.09,152,-4.09,1322.84,1243.22,-11.32,12.97,16.89,269.78,-1.167,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.933,20.731,2.933,4.118,1,272.56,0,0,1,-4.17,0,0,0,272.56,0.0311,0.0446,0.9985,0,272.56,-97.32,-276.4,29.106,2.556,0,0,3,1338.71,-1.518,0,1599.65,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.84,1051.06,2,0,0.12,0.12,12,8.33,0.12,0.12,1.46,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.82,APPROACH,ILS_TRACK,155.49,152,-3.49,1319.42,1239.27,-10.28,14.7,18.25,270.69,1.25,0.0917,0,-1.353,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,20.894,0,3.539,0,272.51,0,0,1,-3.85,0,0,0,272.53,0.0312,0.0438,0.9986,0,272.51,-95.43,-276.66,29.044,2.512,0,0,3,1338.71,-0.386,0,1596.45,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,1048.72,2,0,0.12,0.12,15,8.33,0.12,0.12,1.82,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.16,APPROACH,ILS_TRACK,154.57,152,-2.57,1316.39,1236.09,-8.79,15.5,18.5,271.41,1.18,0.2277,0,-2.353,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.152,0,2.623,0,272.41,0,0,1,-3.31,0,0,0,272.45,0.0313,0.042,0.9986,0,272.41,-93.63,-276.7,28.987,2.408,0,0,3,1338.71,0.02,0,1593.44,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.57,1044.9,2,0,0.1,0.1,18,8.82,0.12,0.1,2.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.44,APPROACH,ILS_TRACK,153.78,152,-1.78,1314.07,1233.82,-7.73,15.48,18.12,271.76,-0.498,0.3397,0,-2.939,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.374,0,1.833,0,272.32,0,0,1,-2.93,0,0,0,272.34,0.0314,0.0404,0.9987,0,272.32,-92.11,-276.59,28.94,2.317,0,0,3,1338.71,0.663,0,1590.97,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.61,1041.64,2,0,0.08,0.08,21,10.71,0.1,0.08,2.44,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.8,APPROACH,ILS_TRACK,152.85,152,-0.85,1311.38,1231.19,-6.62,15.04,17.3,271.72,-1.353,0.4837,0,-3.371,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.637,0,0.899,0,272.2,0,0,1,-2.51,0,0,0,272.26,0.0315,0.0384,0.9988,0,272.2,-90.11,-276.16,28.88,2.201,0,0,3,1338.71,1.499,0,1587.82,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.46,1037.8,2,0,0.12,0.12,24,8.33,0.12,0.08,2.8,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.14,APPROACH,ILS_TRACK,152.14,152,-0.14,1309.14,1229.11,-5.87,14.56,16.57,271.47,-1.134,0.6197,0,-3.51,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.84,0,0.182,0,272.17,0,0,1,-2.23,0,0,0,272.17,0.0316,0.0379,0.9988,0,272.17,-88.24,-275.46,28.823,2.175,0,0,3,1338.71,2.305,0,1584.85,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.18,1034.89,2,0,0.1,0.1,27,8.82,0.12,0.1,3.14,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
