t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,155.71,152,-3.71,658.02,578.12,-21.02,7.41,14.76,270.07,0.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-7.7,0,0,0,90,0,0,0,0,0,0,-27.56,11.664,0,0,0,3,658.02,0,0,685.58,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.52,1095.59,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,155.85,152,-3.85,652.62,572.74,-20.45,7.49,14.62,270.1,0.267,0,0,0,1,0.6,1.49,0.75,0.35,0.0168,0.4,2.643,20.806,2.643,3.85,1,269.99,0,0,1,-7.51,0,0,0,269.99,0.3761,-0.0001,0.9266,0,269.99,0.01,-30.24,11.628,-0.007,18.872,1,3,658.02,-12.251,0,683.7,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.19,1096.61,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,155.78,152,-3.78,647.02,567.54,-19.83,6.41,13.21,270.08,0.191,0,0,0,1,0.6,2.752,0.75,0.35,0.0168,0.4,2.578,20.823,2.578,3.79,1,269.98,0,0,1,-7.28,0,0,0,269.98,0.3762,-0.0004,0.9266,0,269.98,0.03,-33.58,11.586,-0.022,20.579,1,3,658.02,-13.132,0,681.48,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.61,1096.69,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,155.84,152,-3.84,641.2,562.45,-19.94,4.2,10.98,270.05,0.122,0,0,0,1,0.6,3.82,0.75,0.35,0.0168,0.4,2.611,20.814,2.611,3.821,1,269.98,0,0,1,-7.27,0,0,0,269.98,0.3762,-0.0004,0.9265,0,269.98,0.05,-37.15,11.543,-0.022,22.244,1,3,658.02,-13.872,0,679.26,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.88,1097.31,2,0,0.12,0.12,7,7.69,0.14,0.12,0.94,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.3,APPROACH,ILS_TRACK,156.34,152,-4.34,633.04,555.19,-20.87,1.3,8.4,270.04,0.081,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.141,20.676,3.141,4.31,1,269.98,0,0,1,-7.55,0,0,0,269.98,0.3763,-0.0004,0.9265,0,269.98,0.08,-42.22,11.485,-0.022,24.055,1,3,658.02,-14.236,0,676.18,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.91,1100,2,0,0.12,0.12,10,8.33,0.12,0.12,1.3,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,156.95,152,-4.95,624.79,547.35,-22.47,-0.43,7.31,270.04,0.105,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.787,20.505,3.787,4.917,1,269.98,0,0,1,-8.09,0,0,0,269.98,0.3764,-0.0004,0.9265,0,269.98,0.11,-47.39,11.426,-0.024,25.711,1,3,658.02,-14.369,0,673.09,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.7,1103.21,2,0,0.12,0.12,13,8.33,0.12,0.12,1.66,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,157.51,152,-5.51,616.5,538.98,-24,-0.32,8.04,270.04,0.069,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.381,20.346,4.381,5.483,1,269.97,0,0,1,-8.61,0,0,0,269.97,0.3765,-0.0005,0.9264,0,269.97,0.14,-52.59,11.367,-0.027,27.35,1,3,658.02,-14.468,0,670,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.83,1106.3,2,0,0.12,0.12,16,8.33,0.12,0.12,2.02,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.38,APPROACH,ILS_TRACK,157.89,152,-5.89,608.26,530.1,-25.05,1.63,10.45,270.04,0.051,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.789,20.234,4.789,5.878,1,269.97,0,0,1,-8.99,0,0,0,269.97,0.3766,-0.0005,0.9264,0,269.97,0.17,-57.74,11.308,-0.029,28.693,1,3,658.02,-14.213,0,666.91,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.96,1108.67,2,0,0.12,0.12,19,8.33,0.12,0.12,2.38,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.74,APPROACH,ILS_TRACK,157.96,152,-5.96,600.06,521.01,-24.84,4.51,13.26,270.04,0.014,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.882,20.209,4.882,5.969,1,269.97,0,0,1,-8.96,0,0,0,269.97,0.3767,-0.0005,0.9263,0,269.97,0.2,-62.84,11.249,-0.03,30.258,1,3,658.02,-14.259,0,663.81,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.82,1109.71,2,0,0.12,0.12,22,8.33,0.12,0.12,2.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.1,APPROACH,ILS_TRACK,157.61,152,-5.61,591.81,512.16,-24.13,6.48,14.98,270.03,-0.024,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.543,20.301,4.543,5.64,1,269.97,0,0,1,-8.73,0,0,0,269.97,0.3768,-0.0006,0.9263,0,269.97,0.23,-68.01,11.19,-0.033,31.799,1,3,658.02,-14.245,0,660.72,0,0,0,,0,0,0,0,0,0,270.06,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.19,1108.93,2,0,0.12,0.12,25,8.33,0.12,0.12,3.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
