t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
1.24,APPROACH,FLY_TO_FIX,242.1,140.8,-101.3,1220.8,-6.15,3.44,5.16,267.4,-4.197,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,255.81,0.602,1,0,-1.45,11.6,0,-0.02,90,0.6557,-0.2432,0.7148,5.48,255.81,0,0,54.67,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.22,3873.29,6,0,0.94,0.5,1,1.89,0.94,0.02,1.28,FLYING
2,APPROACH,FLY_TO_FIX,241.83,141.6,-100.23,1216.35,-5.59,3.51,5.02,266.88,-4.198,0,0,0,1,0.6,1.404,0.75,0.35,0.0168,0.4,255.71,0.623,0,1,-1.35,11.17,0,5.49,255.81,0.6545,-0.2447,0.7154,5.56,255.71,0,0,54.479,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.63,3870.57,6,0,0.72,0.5,2,1.32,0.94,0.72,2.04,FLYING
2.78,APPROACH,FLY_TO_FIX,241.51,142.4,-99.11,1212.59,-4.8,4.01,5.47,265.06,-4.249,0,0,0,1,0.6,2.022,0.75,0.35,0.0168,0.4,255.62,0.643,0,1,-1.25,9.43,0,5.58,255.71,0.648,-0.2459,0.7208,6.06,255.62,0,0,54.283,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.37,3867.51,6,0,0.78,0.5,3,1.28,0.78,0.72,2.82,FLYING
3.54,APPROACH,FLY_TO_FIX,240.96,143.2,-97.76,1209.94,-3.46,4.46,5.93,263.4,-4.416,0,0,0,1,0.6,2.59,0.75,0.35,0.0168,0.4,255.53,0.658,0,1,-0.96,7.87,0,6.08,255.62,0.6432,-0.2472,0.7247,6.43,255.53,0,0,54.092,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.4,3861.61,6,0,0.76,0.5,4,1.32,0.78,0.76,3.58,FLYING
4.3,APPROACH,FLY_TO_FIX,240.05,144,-96.05,1208.81,-1.22,5.44,6.41,262.1,-4.508,0,0,0,1,0.6,3.11,0.75,0.35,0.0168,0.4,255.45,0.665,0,1,-0.54,6.66,0,6.45,255.53,0.6358,-0.2483,0.7308,6.99,255.45,0,0,53.902,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.76,3851.52,6,0,0.76,0.5,5,1.32,0.76,0.76,4.34,FLYING
5.06,APPROACH,FLY_TO_FIX,238.79,144.8,-93.99,1209.72,1.56,6.37,6.9,261.18,-4.615,0,0,-20,1,0.6,3.586,0.75,0.35,0.0168,0.4,255.36,0.663,0,1,0.05,5.83,0,7.01,255.44,0.6293,-0.2494,0.736,7.49,255.36,0,0,53.713,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.71,3836.72,6,0,0.76,0.5,6,1.32,0.76,0.76,5.1,FLYING
5.82,APPROACH,FLY_TO_FIX,237.2,145.6,-91.6,1212.8,4.79,7.38,7.04,260.67,-4.736,0,0,-19.9,1,0.6,4.021,0.75,0.35,0.0168,0.4,255.27,0.651,0,1,0.81,5.4,0,7.5,255.36,0.6267,-0.2506,0.7379,7.68,255.27,0,0,53.525,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,3818.94,6,0,0.76,0.5,7,1.32,0.76,0.76,5.86,FLYING
6.56,APPROACH,FLY_TO_FIX,235.5,146.4,-89.1,1218.03,7.81,8.14,6.96,260.28,-4.773,0.0296,0,-20,1,0.6,4.417,0.783,0.35,0.0168,0.4,255.19,0.627,0,1,1.56,5.09,0,7.7,255.27,0.6269,-0.252,0.7373,7.67,255.19,0,0,53.343,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.16,3798.57,6,0,0.74,0.5,8,1.35,0.76,0.74,6.6,FLYING
7.32,APPROACH,FLY_TO_FIX,233.74,147.2,-86.54,1225.2,10.25,8.67,6.52,260.11,-2.389,0.128,0,-20,1,0.6,4.5,0.848,0.35,0.0168,0.4,255.11,0.593,0,1,2.26,4.99,0,7.68,255.19,0.6327,-0.2537,0.7316,7.22,255.11,0,0,53.158,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.61,3777.97,6,0,0.76,0.5,9,1.32,0.76,0.74,7.36,FLYING
8.1,APPROACH,FLY_TO_FIX,232.08,148,-84.08,1234.02,12.17,8.85,6.04,260.03,-1.522,0.2097,0,-20,1,0.6,4.5,0.848,0.35,0.0168,0.4,255.03,0.551,0,1,2.81,5,0,7.23,255.11,0.6387,-0.2554,0.7258,6.76,255.03,0,0,52.969,0,0,0,0,0,267.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.08,3758.82,6,0,0.78,0.5,10,1.28,0.78,0.76,8.14,FLYING
