t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.12,TAKEOFF,TO_PREFLIGHT,0.35,80,79.65,3.74,0.12,0.57,-24.67,90.06,0.1,0.04,0,0,0,0,0,0,0,0,0,90.4,0,1,0,9.34,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.338,0,0,1,0,0,0,0,0,0,0,0,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.92,2,0,0.1,0.1,1,3.45,0.1,0.02,0.02,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.38,TAKEOFF,TO_PREFLIGHT,0.35,80,79.65,3.72,-0.02,0.56,10.28,90.06,0.086,0.112,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.98,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.337,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,521.92,2,0,0.04,0.04,6,19.23,0.1,0.04,0.28,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.64,TAKEOFF,TO_PREFLIGHT,0.26,80,79.74,3.65,-0.05,0.09,9.8,90.07,0.066,0.216,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-2.9,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.337,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,521.94,2,0,0.04,0.04,11,19.23,0.08,0.04,0.54,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.9,TAKEOFF,TO_PREFLIGHT,0.1,80,79.9,3.62,0,-0.06,-39.67,90.07,0.084,0.32,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.23,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.337,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,521.97,2,0,0.04,0.04,16,19.23,0.08,0.04,0.8,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.16,TAKEOFF,TO_PREFLIGHT,0.14,80,79.86,3.65,-0.02,0.26,19.18,90.07,0.117,0.424,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.9,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.337,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11,521.97,2,0,0.04,0.04,21,19.23,0.08,0.04,1.06,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.42,TAKEOFF,TO_PREFLIGHT,0.11,80,79.89,3.71,0.14,0.45,-76.15,90.07,0.134,0.528,0,0,0,0,0,0,0,0,0,90.4,0,1,0,7.84,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.337,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,521.97,2,0,0.04,0.04,26,19.23,0.08,0.04,1.32,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.68,TAKEOFF,TO_PREFLIGHT,0.07,80,79.93,3.69,-0.03,0.41,56,90.06,0.115,0.632,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-1.7,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.337,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.97,521.98,2,0,0.04,0.04,31,19.23,0.08,0.04,1.58,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.94,TAKEOFF,TO_PREFLIGHT,0.08,80,79.92,3.66,-0.01,0.17,0.22,90.06,0.088,0.736,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.81,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.337,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.06,521.98,2,0,0.04,0.04,36,19.23,0.08,0.04,1.84,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.26,TAKEOFF,TO_PREFLIGHT,0.09,80,79.91,3.62,0.02,0,-29.92,90.05,0.085,0.864,0,0,0,0,0,0,0,0,0,90.4,0,1,0,1.13,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.337,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.37,521.98,2,0,0.08,0.08,41,15.63,0.08,0.04,2.16,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.54,TAKEOFF,TO_PREFLIGHT,0.05,80,79.95,3.64,-0.03,0.16,67.85,90.05,0.104,0.976,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-1.72,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.337,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.67,521.98,2,0,0.08,0.08,45,14.29,0.08,0.06,2.44,PRELAUNCH,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
