t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.26,APPROACH,FLY_TO_FIX,198.1,150.16,-47.94,2479.54,-23.27,1.87,7.87,269.66,-1.925,0.04,-4.792,9.92,-4.908,0,0,0,0,0,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,FLYING
0.54,APPROACH,ILS_TRACK,198.38,150.58,-47.81,2472.47,-23.8,0.31,6.39,269.82,-2.242,0,-17.216,107.67,-6,0,0,0,0,0,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.56,FLYING
0.8,APPROACH,ILS_TRACK,198.72,151.02,-47.7,2465.94,-24.68,-0.44,5.79,269.82,-2.947,0,-20,245.4,0,33.65,-22.39,46.192,-31.391,70.704,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.84,FLYING
1.06,APPROACH,ILS_TRACK,198.99,151.44,-47.55,2458.99,-25.49,-0.14,6.22,269.79,0.057,0,-20,270.02,0,32.69,-26.07,46.129,-0.384,19.124,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.1,FLYING
1.38,APPROACH,ILS_TRACK,199.23,151.95,-47.28,2451.34,-25.81,0.03,6.51,269.39,4.472,0,-20,269.9,0,31.71,-30.07,46.062,-0.503,19.034,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.42,FLYING
1.64,APPROACH,ILS_TRACK,199.37,152.37,-47,2444.06,-26.09,0.02,6.61,269.09,3.541,0,-20,270.05,0,30.79,-34.01,45.999,-0.35,22.325,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.68,FLYING
1.9,APPROACH,ILS_TRACK,199.41,151.95,-47.46,2437.54,-26.1,-0.84,5.85,269.16,1.57,0,-20,270.03,0,29.94,-37.55,45.945,-0.375,22.162,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.94,FLYING
2.16,APPROACH,ILS_TRACK,199.5,151.54,-47.96,2430.12,-26.69,-2.81,4.05,269.33,1.285,0,-20,270.19,0,28.95,-41.77,45.886,-0.21,25.505,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2.2,FLYING
2.46,APPROACH,ILS_TRACK,199.72,151.06,-48.67,2421.26,-28.42,-4.85,2.35,269.4,1.081,0,-20,270.23,0,27.82,-47.02,45.818,-0.167,28.099,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2.5,FLYING
2.72,APPROACH,ILS_TRACK,199.85,150.64,-49.21,2413.5,-30.25,-5.23,2.32,269.41,0.89,0,-20,270.26,0,26.84,-51.69,45.76,-0.135,29.877,0,0,0,269.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2.76,FLYING
