t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.88,TAKEOFF,TO_PREFLIGHT,0.3,80,79.7,1.06,0,0.38,0.43,90.67,-0.05,0.2,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.267,0,0,1,0,0,0,0,0,0,0,1,1,0.16,PRELAUNCH
1.58,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,1.06,0,0.42,6.6,90.67,-0.048,0.2,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.266,0,0,1,0,0,0,0,0,0,0,1,1,0.86,PRELAUNCH
2.22,TAKEOFF,TO_PREFLIGHT,0.01,80,79.99,1.06,0,0.34,26.94,90.67,-0.051,0.4,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.266,0,0,1,0,0,0,0,0,0,0,1,1,1.5,PRELAUNCH
2.9,TAKEOFF,TO_PREFLIGHT,0.01,80,79.99,1.06,0,0.33,-2.06,90.67,-0.05,0.6,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.266,0,0,1,0,0,0,0,0,0,0,1,1,2.18,PRELAUNCH
3.56,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,1.05,0,0.31,-0.34,90.67,-0.049,0.8,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.266,0,0,1,0,0,0,0,0,0,0,1,1,2.84,PRELAUNCH
4.22,TAKEOFF,TO_PREFLIGHT,0.03,80,79.97,1.05,0,0.27,-0.25,90.67,-0.051,1,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.266,0,0,1,0,0,0,0,0,0,0,1,1,3.5,PRELAUNCH
4.9,TAKEOFF,TO_GROUND_ROLL,0.04,80,79.96,1.05,0,0.22,-0.44,90.67,-0.048,1,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.266,0,0,1,0,0,0,0,0,0,0,1,1,4.18,PRELAUNCH
5.62,TAKEOFF,TO_GROUND_ROLL,0.68,80,79.32,1.06,0,0.37,0.39,90.67,-0.051,1,0,90.41,0,0,0,0,0.014,0,0,0,0,90.41,1,0.014,0.261,0,0,3,0,0,0,0,0,0,0,1,1,4.92,PRELAUNCH
6.34,TAKEOFF,TO_GROUND_ROLL,1.71,80,78.29,1.06,0,0.37,0.48,90.63,-0.051,1,0,90.43,0,0,0,0,0.014,0,0,0,0,90.43,1,0.014,0.214,0,0,3,0,0,0,0,0,0,0,1,1,5.64,PRELAUNCH
7.08,TAKEOFF,TO_GROUND_ROLL,2.98,80,77.02,1.06,-0.01,0.37,0.5,90.57,-0.052,1,0,90.44,0,0,0,0,0.014,0,0,0,0,90.44,1,0.014,0.141,-0.0011,0.25,1,-0.0011,0,0,0,0,0,0,1,1,6.36,LANDED
7.8,TAKEOFF,TO_GROUND_ROLL,4.39,80,75.61,1.06,-0.01,0.37,0.5,90.5,-0.053,1,0,90.44,0,0,0,0,0.014,0,0,0,0,90.44,1,0.014,0.073,-0.0005,0.25,1,-0.0005,0,0,0,0,0,0,1,1,7.08,LANDED
8.52,TAKEOFF,TO_GROUND_ROLL,5.96,80,74.04,1.06,-0.01,0.37,0.49,90.46,-0.052,1,0,90.43,0,0,0,0,0.014,0,0,0,0,90.43,1,0.014,0.035,-0.0002,0.25,1,-0.0002,0,0,0,0,0,0,1,1,7.8,LANDED
9.24,TAKEOFF,TO_GROUND_ROLL,7.68,80,72.32,1.06,-0.02,0.37,0.5,90.45,-0.051,1,0,90.42,0,0,0,0,0.013,0,0,0,0,90.42,1,0.013,0.025,-0.0002,0.25,1,-0.0002,0,0,0,0,0,0,1,1,8.52,LANDED
9.96,TAKEOFF,TO_GROUND_ROLL,9.53,80,70.47,1.06,-0.02,0.37,0.49,90.43,-0.052,1,0,90.42,0,0,0,0,0.013,0,0,0,0,90.42,1,0.013,0.013,-0.0001,0.25,1,-0.0001,0,0,0,0,0,0,1,1,9.24,LANDED
10.7,TAKEOFF,TO_GROUND_ROLL,11.56,80,68.44,1.06,-0.03,0.38,0.5,90.41,-0.051,1,0,90.42,0,0,0,0,0.013,0,0,0,0,90.42,1,0.013,-0.012,0.0001,0.25,1,0.0001,0,0,0,0,0,0,1,1,9.98,LANDED
11.42,TAKEOFF,TO_GROUND_ROLL,13.65,80,66.35,1.06,-0.03,0.38,0.5,90.39,-0.052,1,0,90.42,0,0,0,0,0.013,0,0,0,0,90.42,1,0.013,-0.013,0.0001,0.25,1,0.0001,0,0,0,0,0,0,1,1,10.7,LANDED
