t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.24,APPROACH,FLY_TO_FIX,140.18,70.14,-70.04,1476.24,-15.66,-8,-2.27,269.02,3.116,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,4.5,33.953,33.953,70.012,1,280.62,3.941,1,0,-6.16,11.6,0,0,90,0,0,0,0,0,0,0,50.493,0,0,0,3,0,0,0,2720.52,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.98,337.74,2,0,0.18,0.18,1,3.23,0.18,0.02,0.24,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.52,APPROACH,FLY_TO_FIX,140.53,70.38,-70.15,1471.72,-17.4,-7.12,-0.64,269.15,3.723,0,0,0,1,0.6,1.546,0.75,0.35,0.0168,0.4,12,33.847,33.847,70.125,1,280.64,4.539,0,0,-6.99,11.5,0,4.39,280.64,0,0,0,0,0,0,0,50.45,0,0,0,3,0,0,0,2718.27,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.55,337.79,2,0,0.1,0.1,4,10.71,0.18,0.08,0.52,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.78,APPROACH,FLY_TO_FIX,140.79,70.59,-70.2,1467.45,-17.34,-5.3,1.25,269.46,6.057,0,0,0,1,0.6,2.411,0.75,0.35,0.0168,0.4,18.5,33.768,33.768,70.181,1,280.67,4.632,0,0,-7.07,11.2,0,4.68,280.66,0,0,0,0,0,0,0,50.41,0,0,0,3,0,0,0,2716.17,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.44,337.88,2,0,0.08,0.08,7,11.54,0.1,0.08,0.78,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.06,APPROACH,FLY_TO_FIX,140.92,70.82,-70.1,1462.93,-16.07,-4.24,1.82,269.96,10.141,0,0,0,1,0.6,3.085,0.75,0.35,0.0168,0.4,25.5,33.726,33.726,70.097,1,280.69,4.29,0,0,-6.58,10.74,0,4.43,280.68,0,0,0,0,0,0,0,50.367,0,0,0,3,0,0,0,2713.9,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.32,338.03,2,0,0.1,0.1,10,10.71,0.1,0.08,1.06,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.32,APPROACH,FLY_TO_FIX,141,71.02,-69.98,1458.99,-14.89,-3.79,1.89,270.45,14.058,0,0,0,1,0.6,3.61,0.75,0.35,0.0168,0.4,32,33.702,33.702,69.968,1,280.71,3.955,0,0,-6.1,10.26,0,4.06,280.71,0,0,0,0,0,0,0,50.327,0,0,0,3,0,0,0,2711.8,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.48,338.17,2,0,0.08,0.08,13,11.54,0.1,0.08,1.32,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.6,APPROACH,FLY_TO_FIX,141.05,71.25,-69.81,1455.05,-13.72,-3.48,1.79,270.9,16.804,0,0,0,1,0.6,4.019,0.75,0.35,0.0168,0.4,33.684,33.684,33.684,69.806,1,280.73,3.616,0,0,-5.62,9.83,0,3.73,280.73,0,0,0,0,0,0,0,50.283,0,0,0,3,0,0,0,2709.53,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.63,338.33,2,0,0.1,0.1,16,10.71,0.1,0.08,1.6,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.86,APPROACH,FLY_TO_FIX,140.95,71.46,-69.49,1451.68,-12.69,-3.19,1.67,271.22,17.531,0,0,0,1,0.6,4.339,0.75,0.35,0.0168,0.4,33.71,33.71,33.71,69.511,1,280.75,3.321,0,0,-5.2,9.54,0,3.41,280.75,0,0,0,0,0,0,0,50.243,0,0,0,3,0,0,0,2707.43,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.03,338.52,2,0,0.08,0.08,19,11.54,0.1,0.08,1.86,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.14,APPROACH,FLY_TO_FIX,140.52,71.68,-68.84,1448.33,-11.68,-2.88,1.59,271.54,17.748,0,0,-6.887,1,0.6,4.5,0.75,0.35,0.0168,0.4,33.834,33.834,33.834,68.873,1,280.78,3.033,0,0,-4.81,9.23,0,3.14,280.77,0,0,0,0,0,0,0,50.2,0,0,0,3,0,0,0,2705.16,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,338.87,2,0,0.1,0.1,22,10.71,0.1,0.08,2.14,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.4,APPROACH,FLY_TO_FIX,140.03,71.89,-68.14,1445.45,-10.83,-2.63,1.52,271.86,17.819,0,0,-13.624,1,0.6,4.5,0.75,0.35,0.0168,0.4,33.979,33.979,33.979,68.18,1,280.79,2.793,0,0,-4.48,8.94,0,2.86,280.79,0,0,0,0,0,0,0,50.16,0,0,0,3,0,0,0,2703.07,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,339.21,2,0,0.08,0.08,25,11.54,0.1,0.08,2.4,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.68,APPROACH,FLY_TO_FIX,139.49,72.11,-67.38,1442.59,-9.97,-2.35,1.48,272.24,17.845,0,0,-19.8,1,0.6,4.5,0.75,0.35,0.0168,0.4,34.142,34.142,34.142,67.415,1,280.81,2.542,0,0,-4.13,8.57,0,2.64,280.81,0,0,0,0,0,0,0,50.117,0,0,0,3,0,0,0,2700.82,0,0,0,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.62,339.58,2,0,0.1,0.1,28,10.71,0.1,0.08,2.68,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
