t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
0.12,TAKEOFF,TO_PREFLIGHT,0.3,80,79.7,3.77,-0.21,0.32,42.03,88.56,0.114,0.032,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-12.79,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.841,0,0,1,0,0,0,0,0,0,0,0,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887.94,2,0,0.08,0.08,1,3.45,0.08,0.02,0.04,LANDED
0.38,TAKEOFF,TO_PREFLIGHT,0.26,80,79.74,3.55,0.17,-0.61,-34.27,88.53,0.137,0.12,0,0,0,0,0,0,0,0,0,90.4,0,1,0,9.41,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.853,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,887.94,2,0,0.04,0.04,6,19.23,0.12,0.04,0.3,LANDED
0.64,TAKEOFF,TO_PREFLIGHT,0.27,80,79.73,3.71,-0.04,0.03,40.36,88.5,0.106,0.224,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-2.48,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.853,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,887.94,2,0,0.04,0.04,11,19.23,0.08,0.04,0.56,LANDED
0.94,TAKEOFF,TO_PREFLIGHT,0.15,80,79.85,3.56,-0.18,-0.58,43.49,88.47,0.114,0.344,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-10.45,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.853,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,887.94,2,0,0.06,0.06,16,16.67,0.08,0.04,0.86,LANDED
1.24,TAKEOFF,TO_PREFLIGHT,0.07,80,79.93,3.65,0.02,-0.2,-6.71,88.46,0.141,0.464,0,0,0,0,0,0,0,0,0,90.4,0,1,0,1.01,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.853,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.68,887.94,2,0,0.08,0.08,22,20,0.08,0.04,1.16,LANDED
1.52,TAKEOFF,TO_PREFLIGHT,0.05,80,79.95,3.6,0.02,-0.38,-12.02,88.45,0.118,0.576,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.94,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.853,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.38,887.94,2,0,0.04,0.04,28,21.43,0.08,0.04,1.44,LANDED
1.8,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,3.6,-0.02,-0.34,55.58,88.45,0.106,0.688,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.87,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.853,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.29,887.94,2,0,0.04,0.04,33,17.86,0.08,0.04,1.72,LANDED
2.06,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,3.6,0.01,-0.35,-16.13,88.44,0.121,0.792,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.66,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.853,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.01,887.94,2,0,0.04,0.04,38,19.23,0.08,0.04,1.98,LANDED
2.32,TAKEOFF,TO_PREFLIGHT,0.05,80,79.95,3.6,0,-0.38,-2.17,88.44,0.125,0.896,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.05,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.853,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.94,887.94,2,0,0.06,0.06,42,15.38,0.08,0.04,2.24,LANDED
2.58,TAKEOFF,TO_PREFLIGHT,0.03,80,79.97,3.6,-0.01,-0.37,8.85,88.44,0.113,1,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.29,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,1,0,-1.853,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.95,887.94,2,0,0.06,0.06,46,15.38,0.08,0.04,2.5,LANDED
