t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,phase_el_s,status
0.94,TAKEOFF,TO_PREFLIGHT,0.58,80,79.42,4.13,0.12,1.6,28.14,91.45,-0.062,0.2,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,1.044,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.42,2,0,0.22,LANDED
3.5,TAKEOFF,TO_PREFLIGHT,0.1,80,79.9,3.6,0,-0.19,-0.47,91.48,-0.049,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,1.044,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.3,888.41,2,0,2.76,LANDED
6.06,TAKEOFF,TO_PREFLIGHT,0.15,80,79.85,3.59,0,-0.21,-0.68,90.91,-0.102,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,1.044,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.67,888.4,2,0,5.32,LANDED
8.64,TAKEOFF,TO_PREFLIGHT,0.48,80,79.52,3.58,0,-0.24,-0.47,90.29,-0.079,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,1.044,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636.32,888.39,2,0,7.9,LANDED
10.7,TAKEOFF,TO_GROUND_ROLL,3.19,80,76.81,3.62,0.02,-0.13,-0.41,90.06,-0.051,1,0,0,0,0,0,0,0,0,0,90.89,0,0,0,0,-0.007,0,0,0,0,90.89,1,-0.007,-0.824,0.0585,0.578,0,0.0585,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.2,888.33,2,0,9.98,LANDED
12.78,TAKEOFF,TO_GROUND_ROLL,12.79,80,67.21,3.62,-0.03,-0.1,0.03,90.15,-0.051,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,-0.004,0,0,0,0,90.4,1,-0.004,-0.243,0.0077,0.675,0,0.0077,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.71,887.55,2,0,12.06,LANDED
14.86,TAKEOFF,TO_GROUND_ROLL,23.09,80,56.91,3.62,-0.05,-0.09,0.03,90.16,-0.05,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0.004,0,0,0,0,90.4,1,0.004,-0.244,0.0088,0.778,0,0.0088,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813.73,885.99,2,0,14.14,LANDED
16.98,TAKEOFF,TO_GROUND_ROLL,33.97,80,46.03,3.62,-0.07,-0.09,0.02,90.18,-0.049,1,0,0,0,0,0,0,0,0,0,90.41,0,0,0,0,0.017,0,0,0,0,90.41,1,0.017,-0.235,0.0096,0.887,0,0.0096,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.8,883.93,2,0,16.26,LANDED
19.1,TAKEOFF,TO_GROUND_ROLL,45.1,80,34.9,3.62,-0.09,-0.08,0.02,90.22,-0.048,1,0,0,0,0,0,0,0,0,0,90.43,0,0,0,0,0.032,0,0,0,0,90.43,1,0.032,-0.215,0.0096,0.998,0,0.0096,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851.1,881.84,2,0,18.38,LANDED
21.22,TAKEOFF,TO_GROUND_ROLL,56.38,80,23.62,3.62,-0.1,-0.08,0.02,90.26,-0.047,1,0,0,0,0,0,0,0,0,0,90.44,0,0,0,0,0.048,0,0,0,0,90.44,1,0.048,-0.187,0.0083,1,0,0.0083,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.15,880.21,2,0,20.5,LANDED
23.34,TAKEOFF,TO_GROUND_ROLL,67.76,80,12.24,3.62,-0.1,-0.07,0.01,90.3,-0.047,1,0,0,0,0,0,0,0,0,0,90.46,0,0,0,0,0.062,0,0,0,0,90.46,1,0.062,-0.159,0.0069,1,0,0.0069,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866.42,879.54,2,0,22.62,LANDED
25.46,TAKEOFF,TO_GROUND_ROLL,79.24,80,0.76,3.62,-0.09,-0.04,0.02,90.37,-0.065,1,0,0,0,0,0,0,0,0,0,90.47,0,0,0,0,0.071,0,0,0,0,90.47,1,0.071,-0.094,0.0037,1,0,0.0037,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.07,888.91,2,0,24.74,LANDED
27.58,TAKEOFF,TO_GROUND_ROLL,90.99,80,-10.99,3.62,-0.1,-0.04,0.01,90.34,-0.05,1,0,0,0,0,0,0,0,0,0,90.48,0,0,0,0,0.076,0,0,0,0,90.48,1,0.076,-0.135,0.0069,1,0,0.0069,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909.21,915.36,2,0,26.86,LANDED
29.68,TAKEOFF,TO_GROUND_ROLL,103.09,80,-23.09,3.61,-0.06,-0.02,0.02,90.39,-0.04,1,0,0,0,0,0,0,0,0,0,90.47,0,0,0,0,0.084,0,0,0,0,90.47,1,0.084,-0.086,0.0029,1,0,0.0029,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.33,954.75,2,0,28.96,LANDED
31.8,TAKEOFF,TO_GROUND_ROLL,115.92,80,-35.92,3.63,-0.01,0.02,0.03,90.39,-0.08,1,0,0,0,0,0,0,0,0,0,90.49,0,0,0,0,0.086,0,0,0,0,90.49,1,0.086,-0.103,0.0051,1,0,0.0051,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.41,1003.64,2,0,31.08,LANDED
33.92,TAKEOFF,TO_GROUND_ROLL,129.47,80,-49.47,3.66,0.1,0.05,0,90.61,-0.05,1,0,0,0,0,0,0,0,0,0,90.44,0,0,0,0,0.074,0,0,0,0,90.44,1,0.074,0.13,-0.0106,1,0,-0.0106,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053.72,1056.1,2,0,33.2,LANDED
36,TAKEOFF,TO_GROUND_ROLL,143.5,80,-63.5,3.62,0.12,0.02,-0.03,91.2,-0.023,1,0,0,0,0,0,0,0,0,0,90.3,0,0,0,0,-0.042,0,0,0,0,90.3,1,-0.042,0.86,-0.048,1,0,-0.048,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109.15,1111.02,2,0,35.28,LANDED
38.12,TAKEOFF,TO_GROUND_ROLL,158.66,80,-78.66,3.63,0.21,0.08,0.01,91.13,-0.195,1,0,0,0,0,0,0,0,0,0,90.17,0,0,0,0,-0.299,0,0,0,0,90.17,1,-0.299,1.034,-0.0409,1,0,-0.0409,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.81,1175.37,2,0,37.4,LANDED
40.24,TAKEOFF,TO_ROTATE,174.96,80,-94.96,7.46,-0.87,0.44,0.68,90.73,-0.084,1,0,0,0,0,0,0,0,0,0,90.4,3.664,0,0,0,0,0,0,0,0,90.4,1,0,0.345,0,0,3,0,0,0,3.664,3.304,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248.5,1249.87,2,0,39.52,FLYING
