t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.2,APPROACH,FLY_TO_FIX,77.81,76,-1.81,546.36,-15.24,-10.97,-0.06,270.4,0.009,0,-0.142,170.82,4.765,0,0,0,0,0,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,0,1,0.24,FLYING
0.42,APPROACH,ILS_TRACK,78.18,76,-2.18,542.38,-18.77,-14.63,-1.81,270.4,0.126,0,-0.614,98.7,-0.271,0,0,0,0,0,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,0,1,0.44,FLYING
0.64,APPROACH,ILS_TRACK,78.61,76,-2.61,537.94,-21.65,-13.33,1.2,270.39,0.368,0,-1.179,272.72,0,-1.97,-20.16,9.329,2.323,79.341,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.66,FLYING
0.84,APPROACH,ILS_TRACK,79.07,76,-3.07,533.57,-22.63,-11.9,3.48,270.26,1.516,0,-1.844,270.48,0,-1.97,-23.61,9.313,0.078,19.658,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.88,FLYING
1.04,APPROACH,ILS_TRACK,79.53,76,-3.53,528.99,-23.21,-11.8,3.97,270.07,3.133,0,-2.54,270.48,0,-1.98,-27.3,9.297,0.082,22.931,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.08,FLYING
1.26,APPROACH,ILS_TRACK,80.01,76,-4.01,523.89,-23.85,-9.98,5.86,269.92,2.876,0,-3.413,270.5,0,-1.99,-31.46,9.279,0.1,24.566,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.3,FLYING
1.46,APPROACH,ILS_TRACK,80.35,76,-4.35,519.37,-23.26,-6.31,9.01,269.94,1.374,0,-4.277,270.53,0,-2.03,-35.14,9.262,0.128,25.277,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.5,FLYING
1.66,APPROACH,ILS_TRACK,80.54,76,-4.54,515.1,-21.47,-3.25,10.95,270.02,0.716,0,-5.184,270.56,0,-2.09,-38.61,9.246,0.163,25.434,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.7,FLYING
1.86,APPROACH,ILS_TRACK,80.57,76,-4.57,511.13,-19.28,-2.13,10.75,270.09,0.306,0,-6.098,270.58,0,-2.17,-41.76,9.229,0.179,25.154,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.9,FLYING
2.06,APPROACH,ILS_TRACK,80.52,76,-4.52,507.52,-17.54,-1.23,10.42,270.15,-0.026,0,-7.003,270.59,0,-2.25,-44.57,9.212,0.189,24.584,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,2.1,FLYING
