t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,156.7,152,-4.7,1344.95,1264.29,-14.69,11.99,17.56,268.47,-16.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5.38,0,0,0,90,0,0,0,0,0,-109.34,-269.71,29.392,0,0,0,3,1344.95,0,0,1614.66,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.04,1052.3,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,156.63,152,-4.63,1341.15,1260.65,-13.88,11.78,17.01,268.42,-15.765,0,0,0,1,0.6,1.421,0.75,0.35,0.0168,0.4,3.496,20.583,3.496,4.643,1,272.02,0,0,1,-5.11,0,0,0,295,-0.0244,0.0353,0.9991,0,272.02,-107.31,-270.96,29.355,2.021,0,0,3,1344.95,-5.647,0,1612.69,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.66,1052.22,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.74,APPROACH,ILS_TRACK,156.5,152,-4.5,1336.53,1256.52,-13.28,10.77,15.72,268.34,-13.664,0,0,0,1,0.6,3.153,0.75,0.35,0.0168,0.4,3.345,20.623,3.345,4.501,1,272.19,0,0,1,-4.87,0,0,0,272.14,-0.0243,0.0381,0.999,0,272.19,-104.62,-272.74,29.3,2.186,0,0,3,1344.95,-5.412,0,1609.84,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.03,1051.88,2,0,0.08,0.08,6,9.38,0.14,0.08,0.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.1,APPROACH,ILS_TRACK,156.42,152,-4.42,1331.59,1252.27,-13.07,9.94,14.63,268.73,-7.871,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.262,20.644,3.262,4.423,1,272.34,0,0,1,-4.78,0,0,0,272.3,-0.0242,0.0409,0.9989,0,272.34,-102,-274.5,29.239,2.344,0,0,3,1344.95,-4.613,0,1606.62,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.54,1051.83,2,0,0.12,0.12,9,8.33,0.12,0.08,1.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.46,APPROACH,ILS_TRACK,156.35,152,-4.35,1326.97,1247.97,-12.89,10.1,14.56,269.57,-3.243,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.19,20.663,3.19,4.356,1,272.41,0,0,1,-4.73,0,0,0,272.41,-0.0241,0.0421,0.9988,0,272.41,-99.67,-275.94,29.177,2.414,0,0,3,1344.95,-3.727,0,1603.41,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.8,1051.82,2,0,0.12,0.12,12,8.33,0.12,0.12,1.46,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.76,APPROACH,ILS_TRACK,156.2,152,-4.2,1323.22,1244.34,-12.49,10.33,14.55,270.3,-1.15,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.036,20.704,3.036,4.213,1,272.39,0,0,1,-4.58,0,0,0,272.4,-0.024,0.0417,0.9988,0,272.39,-97.83,-277.02,29.126,2.392,0,0,3,1344.95,-3.557,0,1600.73,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.15,1051.41,2,0,0.08,0.08,15,10,0.12,0.08,1.76,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.12,APPROACH,ILS_TRACK,155.92,152,-3.92,1318.9,1239.96,-12.25,10.69,14.86,271.04,-0.365,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.744,20.78,2.744,3.943,1,272.33,0,0,1,-4.5,0,0,0,272.34,-0.0239,0.0407,0.9989,0,272.33,-95.66,-278.16,29.065,2.33,0,0,3,1344.95,-2.915,0,1597.53,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.02,1050.49,2,0,0.12,0.12,18,8.33,0.12,0.08,2.12,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.48,APPROACH,ILS_TRACK,155.47,152,-3.47,1314.95,1235.64,-11.9,11.99,16.1,271.69,0.111,0.0505,0,-0.861,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.258,20.905,2.258,3.498,1,272.25,0,0,1,-4.39,0,0,0,272.28,-0.0238,0.0393,0.9989,0,272.25,-93.51,-278.96,29.004,2.254,0,0,3,1344.95,-1.836,0,1594.33,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.53,1048.79,2,0,0.12,0.12,21,8.33,0.12,0.12,2.48,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.78,APPROACH,ILS_TRACK,154.85,152,-2.85,1311.97,1232.16,-11.24,13.7,17.65,272.01,0.274,0.1705,0,-1.795,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.074,0,2.9,0,272.14,0,0,1,-4.21,0,0,0,272.17,-0.0237,0.0373,0.999,0,272.14,-91.69,-279.32,28.953,2.139,0,0,3,1344.95,-0.919,0,1591.68,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.4,1046.37,2,0,0.08,0.08,24,10,0.12,0.08,2.78,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.1,APPROACH,ILS_TRACK,153.84,152,-1.84,1308.87,1228.83,-9.73,14.8,18.14,272.15,0.284,0.2985,0,-2.525,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.351,0,1.917,0,272.07,0,0,1,-3.68,0,0,0,272.09,-0.0236,0.0361,0.9991,0,272.07,-89.75,-279.6,28.9,2.067,0,0,3,1344.95,-0.965,0,1588.86,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.72,1042.22,2,0,0.1,0.1,27,9.38,0.12,0.08,3.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.44,APPROACH,ILS_TRACK,152.77,152,-0.77,1305.65,1225.74,-8.55,14.42,17.33,272.17,0.214,0.4345,0,-2.919,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.658,0,0.826,0,271.98,0,0,1,-3.25,0,0,0,272,-0.0235,0.0346,0.9991,0,271.98,-87.66,-279.87,28.843,1.981,0,0,3,1344.95,-0.552,0,1585.89,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.82,1037.79,2,0,0.1,0.1,30,8.82,0.12,0.1,3.44,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.78,APPROACH,ILS_TRACK,151.94,152,0.06,1302.68,1223,-7.79,13.65,16.31,272.13,0.044,0.5705,0,-3.003,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.895,0,-0.014,0,271.89,0,0,1,-2.96,0,0,0,271.92,-0.0234,0.033,0.9992,0,271.89,-85.58,-279.91,28.787,1.89,0,0,3,1344.95,0.143,0,1582.93,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.37,1034.41,2,0,0.12,0.12,33,8.82,0.12,0.1,3.78,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
4.12,APPROACH,ILS_TRACK,151.31,152,0.69,1300,1220.41,-7.4,13.21,15.77,272.08,-0.142,0.7065,0,-2.848,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.077,0,-0.661,0,271.81,0,0,1,-2.81,0,0,0,271.83,-0.0234,0.0316,0.9992,0,271.81,-83.5,-279.68,28.73,1.811,0,0,3,1344.95,0.955,0,1579.98,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.66,1031.83,2,0,0.1,0.1,36,8.82,0.12,0.1,4.12,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
4.4,APPROACH,ILS_TRACK,150.87,152,1.13,1297.99,1218.36,-7.15,13.25,15.75,272.04,-0.309,0.6966,0,-2.58,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.2,0,-1.097,0,271.76,0,0,1,-2.72,0,0,0,271.78,-0.0233,0.0307,0.9993,0,271.76,-81.8,-279.3,28.684,1.762,0,0,3,1344.95,1.59,0,1577.56,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.71,1030.13,2,0,0.08,0.08,39,10.71,0.1,0.08,4.4,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
4.7,APPROACH,ILS_TRACK,150.47,152,1.53,1296.02,1216.27,-6.66,13.62,15.97,271.98,-0.495,0.6406,0,-2.168,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.315,0,-1.506,0,271.7,0,0,1,-2.58,0,0,0,271.71,-0.0232,0.0297,0.9993,0,271.7,-79.99,-278.71,28.635,1.7,0,0,3,1344.95,2.108,0,1574.98,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.68,1028.53,2,0,0.08,0.08,42,10,0.12,0.08,4.7,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
5,APPROACH,ILS_TRACK,150.03,152,1.97,1294.08,1214.41,-5.74,13.41,15.38,271.92,-0.694,0.6496,0,-1.63,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.437,0,-1.939,0,271.63,0,0,1,-2.22,0,0,0,271.65,-0.0231,0.0284,0.9993,0,271.63,-78.18,-278.07,28.586,1.627,0,0,3,1344.95,2.118,0,1572.4,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.43,1026.8,2,0,0.08,0.08,45,10,0.12,0.08,5,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
5.32,APPROACH,ILS_TRACK,149.7,152,2.3,1292.02,1212.68,-4.98,12.21,13.86,271.86,-0.903,0.6001,0,-0.933,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.534,0,-2.282,0,271.56,0,0,1,-1.92,0,0,0,271.59,-0.023,0.0273,0.9994,0,271.56,-76.28,-277.38,28.533,1.564,0,0,3,1344.95,2.071,0,1569.66,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.09,1025.49,2,0,0.1,0.1,48,9.38,0.12,0.08,5.32,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
5.66,APPROACH,ILS_TRACK,149.67,152,2.33,1289.95,1210.98,-4.97,10.74,12.41,271.82,-1.086,0.4641,0,-0.137,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.55,0,-2.337,0,271.5,0,0,1,-1.89,0,0,0,271.52,-0.0229,0.0263,0.9994,0,271.5,-74.28,-276.57,28.478,1.505,0,0,3,1344.95,2.631,0,1566.75,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.71,1025.43,2,0,0.1,0.1,51,8.82,0.12,0.1,5.66,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
6,APPROACH,ILS_TRACK,149.78,152,2.22,1288.12,1209.23,-5.22,10.29,12.12,271.77,-1.251,0.3281,0,0.634,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.519,0,-2.228,0,271.44,0,0,1,-1.99,0,0,0,271.46,-0.0228,0.0251,0.9994,0,271.44,-72.3,-275.51,28.422,1.44,0,0,3,1344.95,3.365,0,1563.83,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.26,1026.01,2,0,0.12,0.12,54,8.82,0.12,0.1,6,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
6.36,APPROACH,ILS_TRACK,149.88,152,2.12,1286.45,1207.3,-5.4,11.05,13.01,271.68,-1.416,0.1841,0,1.409,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.49,0,-2.125,0,271.38,0,0,1,-2.07,0,0,0,271.4,-0.0228,0.024,0.9995,0,271.38,-70.22,-274.12,28.363,1.378,0,0,3,1344.95,4.1,0,1560.75,0,0,0,268.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.69,1026.56,2,0,0.12,0.12,57,8.33,0.12,0.12,6.36,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
