t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,yaw_cmd,roll_cmd,flaps_cur,flaps_tgt,phase_el_s,status
0.18,APPROACH,FLY_TO_FIX,78.2,76,-2.2,541.84,-19.4,-17.22,-3.81,270.41,0.096,0,-0.11,172.8,4.787,0,0,0,0,0,0,0,0,270.4,0,0,0,0,0,0,0,1,0.22,FLYING
0.4,APPROACH,ILS_TRACK,78.6,76,-2.6,537.4,-23.18,-19.63,-3.8,270.41,0.434,0,-0.24,101.89,-0.247,0,0,0,0,0,0,0,0,270.4,0,0,0,0,0,0,0,1,0.42,FLYING
0.6,APPROACH,ILS_TRACK,79.09,76,-3.09,532.3,-26.49,-21.36,-3.22,270.46,0.938,0,-0.394,280.34,0,-1.97,-24.79,9.315,9.936,404.126,0,0,0,270.4,0,0,0,0,0,0,1,1,0.62,FLYING
0.78,APPROACH,ILS_TRACK,79.64,76,-3.64,527.13,-29.35,-23.53,-3.4,270.49,0.677,0,-0.574,270.44,0,-1.96,-29,9.299,0.042,75.974,0,0,0,270.4,0,0,0,0,0,0,1,1,0.82,FLYING
0.98,APPROACH,ILS_TRACK,80.25,76,-4.25,520.72,-32.8,-26.73,-4.31,270.5,0.535,0,-0.783,270.42,0,-1.95,-34.43,9.283,0.024,97.205,0,0,0,270.4,0,0,0,0,0,0,1,1,1.02,FLYING
1.2,APPROACH,ILS_TRACK,80.98,76,-4.98,512.88,-37,-29.07,-4.06,270.51,0.41,0,-1.028,270.4,0,-1.94,-41.21,9.265,0.002,120.811,0,0,0,270.4,0,0,0,0,0,0,1,1,1.24,FLYING
1.4,APPROACH,ILS_TRACK,81.72,76,-5.72,505.13,-40.23,-28.78,-1.76,270.49,0.312,0,-1.31,270.39,0,-1.92,-48.03,9.25,-0.013,123.576,0,0,0,270.4,0,0,0,0,0,0,1,1,1.44,FLYING
1.6,APPROACH,ILS_TRACK,82.54,76,-6.54,496.92,-42.46,-26.84,1.4,270.46,0.229,0,-1.633,270.38,0,-1.9,-55.35,9.234,-0.022,133.776,0,0,0,270.4,0,0,0,0,0,0,1,1,1.64,FLYING
1.8,APPROACH,ILS_TRACK,83.39,76,-7.39,488.49,-43.17,-23.54,5.03,270.44,0.191,0,-1.998,270.39,0,-1.88,-62.93,9.218,-0.008,140.151,0,0,0,270.4,0,0,0,0,0,0,1,1,1.84,FLYING
2,APPROACH,ILS_TRACK,84.16,76,-8.16,480.04,-42.69,-20.89,7.24,270.43,0.158,0,-2.403,270.4,0,-1.87,-70.57,9.203,-0.004,143.338,0,0,0,270.4,0,0,0,0,0,0,1,1,2.04,FLYING
2.22,APPROACH,ILS_TRACK,84.87,76,-8.87,470.89,-41.52,-18.96,8.23,270.43,0.129,0,-2.844,270.39,0,-1.85,-78.83,9.185,-0.007,155.94,0,0,0,270.4,0,0,0,0,0,0,1,1,2.26,FLYING
2.42,APPROACH,ILS_TRACK,85.41,76,-9.41,462.78,-40.3,-17.87,8.35,270.43,0.109,0,-3.311,270.41,0,-1.84,-86.14,9.169,0.008,142.672,0,0,0,270.4,0,0,0,0,0,0,1,1,2.46,FLYING
2.62,APPROACH,ILS_TRACK,85.89,76,-9.89,454.91,-39.1,-17.05,8.21,270.43,0.092,0,-3.803,270.41,0,-1.83,-93.2,9.153,0.01,140.992,0,0,0,270.4,0,0,0,0,0,0,1,1,2.66,FLYING
2.82,APPROACH,ILS_TRACK,86.33,76,-10.33,447.26,-37.95,-16.26,8.08,270.43,0.078,0,-4.318,270.41,0,-1.81,-100.02,9.136,0.011,139.161,0,0,0,270.4,0,0,0,0,0,0,1,1,2.86,FLYING
3.02,APPROACH,ILS_TRACK,86.74,76,-10.74,439.84,-36.8,-15.51,7.97,270.43,0.068,0,-4.852,270.41,0,-1.8,-106.6,9.119,0.011,137.288,0,0,0,270.4,0,0,0,0,0,0,1,1,3.06,FLYING
3.24,APPROACH,ILS_TRACK,87.15,76,-11.15,431.94,-35.56,-14.73,7.82,270.43,0.059,0,-5.408,270.42,0,-1.79,-113.58,9.1,0.015,145.607,0,0,0,270.4,0,0,0,0,0,0,1,1,3.28,FLYING
3.44,APPROACH,ILS_TRACK,87.5,76,-11.5,424.99,-34.46,-13.96,7.77,270.43,0.053,0,-5.982,270.41,0,-1.78,-119.67,9.083,0.011,133.388,0,0,0,270.4,0,0,0,0,0,0,1,1,3.48,FLYING
3.64,APPROACH,ILS_TRACK,87.82,76,-11.82,418.26,-33.37,-13.28,7.67,270.43,0.05,0,-6.571,270.41,0,-1.77,-125.53,9.066,0.011,131.505,0,0,0,270.4,0,0,0,0,0,0,1,1,3.68,FLYING
3.84,APPROACH,ILS_TRACK,88.12,76,-12.12,411.74,-32.29,-12.6,7.57,270.43,0.049,0,-7.176,270.43,0,-1.76,-131.17,9.048,0.027,129.595,0,0,0,270.4,0,0,0,0,0,0,1,1,3.88,FLYING
4.04,APPROACH,ILS_TRACK,88.38,76,-12.38,405.44,-31.21,-12,7.41,270.43,0.042,0,-7.794,270.39,0,-1.74,-136.59,9.031,-0.006,127.691,0,0,0,270.4,0,0,0,0,0,0,1,1,4.08,FLYING
4.26,APPROACH,ILS_TRACK,88.64,76,-12.64,398.76,-30.04,-11.34,7.29,270.43,0.04,0,-8.424,270.42,0,-1.73,-142.3,9.011,0.022,134.022,0,0,0,270.4,0,0,0,0,0,0,1,1,4.3,FLYING
4.46,APPROACH,ILS_TRACK,88.85,76,-12.85,392.9,-28.99,-10.71,7.25,270.43,0.038,0,-9.066,270.41,0,-1.72,-147.27,8.993,0.011,123.605,0,0,0,270.4,0,0,0,0,0,0,1,1,4.5,FLYING
4.66,APPROACH,ILS_TRACK,89.04,76,-13.04,387.23,-28.09,-10.06,7.24,270.43,0.037,0,-9.717,270.41,0,-1.71,-152.03,8.975,0.009,121.842,0,0,0,270.4,0,0,0,0,0,0,1,1,4.7,FLYING
4.86,APPROACH,ILS_TRACK,89.21,76,-13.21,381.75,-27.14,-9.81,6.86,270.43,0.038,0,-10.377,270.41,0,-1.7,-156.61,8.957,0.012,120.175,0,0,0,270.4,0,0,0,0,0,0,1,1,4.9,FLYING
5.06,APPROACH,ILS_TRACK,89.36,76,-13.36,376.45,-26.2,-9.2,6.9,270.43,0.036,0,-11.044,270.42,0,-1.69,-160.98,8.939,0.02,118.335,0,0,0,270.4,0,0,0,0,0,0,1,1,5.1,FLYING
5.28,APPROACH,ILS_TRACK,89.5,76,-13.5,370.84,-25.22,-8.51,6.96,270.43,0.035,0,-11.718,270.41,0,-1.68,-165.59,8.919,0.005,123.348,0,0,0,270.4,0,0,0,0,0,0,1,1,5.32,FLYING
5.48,APPROACH,ILS_TRACK,89.61,76,-13.61,365.92,-24.37,-8,6.89,270.43,0.035,0,-12.398,270.41,0,-1.67,-169.59,8.901,0.011,114.872,0,0,0,270.4,0,0,0,0,0,0,1,1,5.52,FLYING
5.68,APPROACH,ILS_TRACK,89.7,76,-13.7,361.18,-23.46,-7.5,6.82,270.43,0.035,0,-13.083,270.41,0,-1.65,-173.4,8.883,0.011,113.072,0,0,0,270.4,0,0,0,0,0,0,1,1,5.72,FLYING
5.88,APPROACH,ILS_TRACK,89.78,76,-13.78,356.61,-22.6,-7.04,6.74,270.43,0.034,0,-13.771,270.42,0,-1.64,-177.04,8.864,0.016,111.339,0,0,0,270.4,0,0,0,0,0,0,1,1,5.92,FLYING
6.08,APPROACH,ILS_TRACK,89.84,76,-13.84,352.21,-21.76,-6.57,6.68,270.43,0.034,0,-14.463,270.41,0,-1.63,-180.51,8.846,0.01,109.606,0,0,0,270.4,0,0,0,0,0,0,1,1,6.12,FLYING
6.3,APPROACH,ILS_TRACK,89.89,76,-13.89,347.56,-20.87,-6.1,6.6,270.43,0.034,0,-15.158,270.41,0,-1.62,-184.13,8.825,0.014,113.169,0,0,0,270.4,0,0,0,0,0,0,1,1,6.34,FLYING
6.5,APPROACH,ILS_TRACK,89.93,76,-13.93,343.49,-20.1,-5.67,6.54,270.43,0.034,0,-15.854,270.41,0,-1.61,-187.25,8.807,0.011,106.129,0,0,0,270.4,0,0,0,0,0,0,1,1,6.54,FLYING
6.7,APPROACH,ILS_TRACK,89.95,76,-13.95,339.59,-19.33,-5.26,6.49,270.43,0.034,0,-16.551,270.41,0,-1.6,-190.22,8.788,0.013,104.525,0,0,0,270.4,0,0,0,0,0,0,1,1,6.74,FLYING
6.9,APPROACH,ILS_TRACK,89.96,76,-13.96,335.82,-18.6,-4.87,6.43,270.43,0.034,0,-17.249,270.41,0,-1.59,-193.03,8.77,0.012,102.964,0,0,0,270.4,0,0,0,0,0,0,1,1,6.94,FLYING
7.1,APPROACH,ILS_TRACK,89.95,76,-13.95,332.2,-17.89,-4.5,6.37,270.43,0.033,0,-17.947,270.43,0,-1.58,-195.7,8.751,0.027,101.443,0,0,0,270.4,0,0,0,0,0,0,1,1,7.14,FLYING
7.32,APPROACH,ILS_TRACK,89.93,76,-13.93,328.38,-17.15,-4.11,6.31,270.43,0.029,0,-18.644,270.4,0,-1.57,-198.48,8.73,-0.003,103.974,0,0,0,270.4,0,0,0,0,0,0,1,1,7.36,FLYING
