time_s,phase,ias_mps,aoa_deg,vs_mps,agl_m,lift_kN,weight_kN,lift_ratio,vs1g_est_mps
#META,tag=IFC_TAKEOFF_RWY_09,far_ok=True,alpha_crit_deg=18
0,TAKEOFF:TO_PREFLIGHT,0.51,1.562,0.015,4.519,-0.005,970.413,0,-1
0.16,TAKEOFF:TO_PREFLIGHT,0.514,1.35,0.014,4.444,-0.005,970.413,-1E-05,-1
0.38,TAKEOFF:TO_PREFLIGHT,0.499,0.966,0.013,4.34,-0.005,970.413,-1E-05,-1
0.58,TAKEOFF:TO_PREFLIGHT,0.407,-0.236,0.014,4.233,-0.006,970.413,-1E-05,-1
0.76,TAKEOFF:TO_PREFLIGHT,0.244,-4.956,0.019,4.114,-0.004,970.412,0,-1
0.96,TAKEOFF:TO_PREFLIGHT,0.129,-6.248,0.019,3.984,-0.003,970.412,0,-1
1.18,TAKEOFF:TO_PREFLIGHT,0.14,-2.942,0.007,3.87,-0.002,970.411,0,-1
1.36,TAKEOFF:TO_PREFLIGHT,0.112,-3.231,0.008,3.794,0,970.409,0,-1
1.54,TAKEOFF:TO_PREFLIGHT,0.1,-4.531,0.008,3.737,0,970.407,0,-1
1.72,TAKEOFF:TO_PREFLIGHT,0.085,-3.89,0.008,3.696,0,970.405,0,-1
1.9,TAKEOFF:TO_PREFLIGHT,0.088,65.117,-0.154,3.66,0,970.402,0,-1
2.12,TAKEOFF:TO_PREFLIGHT,0.105,14.918,0.01,3.645,0,970.398,0,-1
2.38,TAKEOFF:TO_PREFLIGHT,0.058,-37.438,0.03,3.674,0,970.391,0,-1
2.6,TAKEOFF:TO_PREFLIGHT,0.07,17.164,-0.026,3.67,0,970.384,0,-1
2.82,TAKEOFF:TO_PREFLIGHT,0.091,-1.794,0.007,3.647,0,970.375,0,-1
3.04,TAKEOFF:TO_PREFLIGHT,0.121,-18.488,0.041,3.628,0,970.366,0,-1
3.26,TAKEOFF:TO_PREFLIGHT,0.116,0.42,-0.005,3.624,0,970.355,0,-1
3.52,TAKEOFF:TO_PREFLIGHT,0.109,7.444,-0.013,3.627,0,970.34,0,-1
3.74,TAKEOFF:TO_PREFLIGHT,0.115,-1.88,0.005,3.628,0,970.326,0,-1
3.96,TAKEOFF:TO_PREFLIGHT,0.141,-5.262,0.015,3.62,0,970.311,0,-1
4.18,TAKEOFF:TO_PREFLIGHT,0.158,-3.002,0.006,3.613,0,970.296,0,-1
4.4,TAKEOFF:TO_PREFLIGHT,0.163,-0.112,0,3.607,0,970.279,0,-1
4.66,TAKEOFF:TO_PREFLIGHT,0.168,-0.135,0,3.606,0,970.257,0,-1
4.88,TAKEOFF:TO_PREFLIGHT,0.177,-0.451,0.002,3.604,0,970.238,0,-1
5.1,TAKEOFF:TO_PREFLIGHT,0.188,-0.973,0.003,3.603,0,970.218,0,-1
5.32,TAKEOFF:TO_PREFLIGHT,0.202,-0.229,0,3.601,0,970.197,0,-1
5.54,TAKEOFF:TO_PREFLIGHT,0.242,0.255,-0.002,3.602,0.001,970.176,0,-1
5.8,TAKEOFF:TO_PREFLIGHT,0.335,0.186,-0.002,3.603,0.001,970.149,0,-1
6.02,TAKEOFF:TO_PREFLIGHT,0.453,-0.055,0,3.603,0.002,970.126,0,-1
6.24,TAKEOFF:TO_PREFLIGHT,0.603,-0.07,0,3.602,0.004,970.102,0,-1
6.46,TAKEOFF:TO_PREFLIGHT,0.762,-0.105,0,3.6,0.006,970.077,1E-05,-1
6.68,TAKEOFF:TO_PREFLIGHT,0.892,-0.248,0.003,3.597,0.007,970.052,1E-05,-1
6.94,TAKEOFF:TO_PREFLIGHT,0.985,-0.242,0.002,3.593,0.009,970.021,1E-05,-1
7.16,TAKEOFF:TO_PREFLIGHT,1.028,-0.106,-0.001,3.592,0.01,969.994,1E-05,-1
7.38,TAKEOFF:TO_PREFLIGHT,1.057,0.012,-0.003,3.591,0.011,969.967,1E-05,-1
7.6,TAKEOFF:TO_PREFLIGHT,1.081,-0.054,-0.002,3.591,0.012,969.939,1E-05,-1
7.82,TAKEOFF:TO_PREFLIGHT,1.104,-0.105,-0.001,3.59,0.012,969.911,1E-05,-1
8.08,TAKEOFF:TO_PREFLIGHT,1.131,-0.106,-0.001,3.588,0.012,969.877,1E-05,-1
8.3,TAKEOFF:TO_PREFLIGHT,1.152,-0.082,-0.002,3.587,0.013,969.847,1E-05,-1
8.52,TAKEOFF:TO_PREFLIGHT,1.17,-0.074,-0.002,3.586,0.014,969.817,1E-05,-1
8.74,TAKEOFF:TO_PREFLIGHT,1.187,-0.098,-0.002,3.586,0.014,969.787,1E-05,-1
8.96,TAKEOFF:TO_GROUND_ROLL,1.204,-0.091,-0.002,3.585,0.014,969.756,1E-05,-1
9.3,TAKEOFF:TO_GROUND_ROLL,2.135,2.465,-0.121,3.669,0.157,969.708,0.00016,-1
9.6,TAKEOFF:TO_GROUND_ROLL,4.071,-1.673,0.231,3.845,0.207,969.665,0.00021,-1
9.9,TAKEOFF:TO_GROUND_ROLL,6.095,2.817,-0.175,4.131,0.963,969.621,0.00099,-1
10.18,TAKEOFF:TO_GROUND_ROLL,8.011,2.585,0.011,4.381,1.569,969.579,0.00162,-1
10.52,TAKEOFF:TO_GROUND_ROLL,10.365,4.198,-0.101,4.739,2.836,969.528,0.00293,-1
10.8,TAKEOFF:TO_GROUND_ROLL,12.327,4.796,-0.039,4.968,4.298,969.485,0.00443,-1
11.08,TAKEOFF:TO_GROUND_ROLL,14.306,5.421,-0.054,5.149,5.916,969.442,0.0061,-1
11.36,TAKEOFF:TO_GROUND_ROLL,16.303,5.736,-0.048,5.229,7.699,969.399,0.00794,-1
11.7,TAKEOFF:TO_GROUND_ROLL,18.749,5.6,-0.033,5.208,9.679,969.345,0.00999,-1
11.98,TAKEOFF:TO_GROUND_ROLL,20.783,5.177,-0.028,5.085,11.123,969.301,0.01148,-1
12.26,TAKEOFF:TO_GROUND_ROLL,22.834,4.477,-0.022,4.892,12.147,969.256,0.01253,-1
12.54,TAKEOFF:TO_GROUND_ROLL,24.902,3.643,-0.03,4.649,12.799,969.211,0.01321,-1
12.88,TAKEOFF:TO_GROUND_ROLL,27.435,2.545,-0.037,4.336,13.058,969.156,0.01347,-1
13.16,TAKEOFF:TO_GROUND_ROLL,29.538,1.726,-0.049,4.099,13.091,969.111,0.01351,-1
13.44,TAKEOFF:TO_GROUND_ROLL,31.654,1.07,-0.057,3.914,13.236,969.065,0.01366,-1
13.72,TAKEOFF:TO_GROUND_ROLL,33.783,0.664,-0.068,3.799,13.928,969.019,0.01437,-1
14.06,TAKEOFF:TO_GROUND_ROLL,36.382,0.546,-0.077,3.771,16.033,968.962,0.01655,-1
14.34,TAKEOFF:TO_GROUND_ROLL,38.533,0.767,-0.085,3.838,19.234,968.916,0.01985,-1
14.62,TAKEOFF:TO_GROUND_ROLL,40.693,1.227,-0.093,3.974,23.94,968.869,0.02471,-1
14.9,TAKEOFF:TO_GROUND_ROLL,42.86,1.859,-0.101,4.156,30.134,968.822,0.0311,-1
15.24,TAKEOFF:TO_GROUND_ROLL,45.499,2.72,-0.107,4.403,39.232,968.765,0.0405,-1
15.52,TAKEOFF:TO_GROUND_ROLL,47.678,3.389,-0.111,4.592,47.391,968.718,0.04892,-1
15.8,TAKEOFF:TO_GROUND_ROLL,49.86,3.92,-0.11,4.741,55.394,968.67,0.05719,208.502
16.1,TAKEOFF:TO_GROUND_ROLL,52.201,4.256,-0.106,4.833,62.92,968.619,0.06496,204.817
16.44,TAKEOFF:TO_GROUND_ROLL,54.86,4.285,-0.099,4.838,69.167,968.561,0.07141,205.292
16.74,TAKEOFF:TO_GROUND_ROLL,57.212,4.004,-0.096,4.756,71.993,968.51,0.07433,209.845
17.04,TAKEOFF:TO_GROUND_ROLL,59.573,3.487,-0.093,4.607,72.285,968.458,0.07464,218.056
17.34,TAKEOFF:TO_GROUND_ROLL,61.945,2.812,-0.096,4.413,70.229,968.406,0.07252,230.024
17.68,TAKEOFF:TO_GROUND_ROLL,64.644,1.985,-0.101,4.176,66.201,968.348,0.06837,247.235
17.98,TAKEOFF:TO_GROUND_ROLL,67.035,1.316,-0.107,3.985,62.368,968.296,0.06441,264.136
18.28,TAKEOFF:TO_GROUND_ROLL,69.435,0.798,-0.112,3.839,59.761,968.244,0.06172,279.488
18.58,TAKEOFF:TO_GROUND_ROLL,71.843,0.494,-0.116,3.755,59.642,968.192,0.0616,289.459
18.92,TAKEOFF:TO_GROUND_ROLL,74.582,0.439,-0.12,3.745,63.757,968.132,0.06586,290.626
19.22,TAKEOFF:TO_GROUND_ROLL,77.009,0.63,-0.122,3.804,71.646,968.08,0.07401,283.074
19.52,TAKEOFF:TO_GROUND_ROLL,79.446,0.995,-0.125,3.912,83.214,968.027,0.08596,270.968
19.82,TAKEOFF:TO_GROUND_ROLL,81.895,1.452,-0.125,4.046,97.499,967.974,0.10072,258.043
20.16,TAKEOFF:TO_GROUND_ROLL,84.686,1.92,-0.038,4.196,113.98,967.913,0.11776,246.783
20.46,TAKEOFF:TO_GROUND_ROLL,87.164,2.382,-0.17,4.305,130.574,967.859,0.13491,237.309
20.76,TAKEOFF:TO_GROUND_ROLL,89.658,2.551,-0.088,4.363,141.607,967.804,0.14632,234.39
21.06,TAKEOFF:TO_GROUND_ROLL,92.171,2.605,-0.127,4.37,150.321,967.749,0.15533,233.865
21.4,TAKEOFF:TO_GROUND_ROLL,95.047,2.38,-0.096,4.305,153.242,967.686,0.15836,238.847
21.7,TAKEOFF:TO_GROUND_ROLL,97.614,2.023,-0.108,4.199,151.12,967.63,0.15617,247.006
22,TAKEOFF:TO_GROUND_ROLL,100.212,1.539,-0.099,4.059,144.666,967.574,0.14951,259.166
22.3,TAKEOFF:TO_GROUND_ROLL,102.842,1.019,-0.101,3.91,136.017,967.516,0.14058,274.287
22.64,TAKEOFF:TO_GROUND_ROLL,105.864,0.493,-0.139,3.748,126.853,967.451,0.13112,292.356
22.94,TAKEOFF:TO_GROUND_ROLL,108.559,0.151,-0.18,3.645,121.25,967.392,0.12534,306.637
23.24,TAKEOFF:TO_GROUND_ROLL,111.226,0.117,-0.081,3.642,127.096,967.333,0.13139,306.85
23.54,TAKEOFF:TO_GROUND_ROLL,113.985,0.335,-0.089,3.702,141.847,967.273,0.14665,297.653
23.88,TAKEOFF:TO_GROUND_ROLL,117.16,0.445,0.057,3.785,153.647,967.204,0.15886,293.952
24.18,TAKEOFF:TO_GROUND_ROLL,119.997,0.73,-0.164,3.827,173.303,967.142,0.17919,283.474
24.48,TAKEOFF:TO_GROUND_ROLL,122.866,0.817,-0.017,3.876,184.857,967.08,0.19115,281.025
