t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,phase_el_s,status
55.2,ASCENT,AB_CORRIDOR,240.7,80,-160.7,358.58,29.67,14.25,7.18,90.41,0.024,1,0,0,0,0,0,0,0,0,0,90.41,6.984,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,24.538,6286.979,DEGRADED,30455.8,31228.9,0.681,368,0,1.1163,941.26,657.28,-0.086,0,0,0.8446,1316.48,1558.68,2,0,1318.7,389.75,2,0,1338.5,1567.97,2,0,1.88,FLYING
57.7,ASCENT,AB_ZOOM,257.77,80,-177.77,434.07,31.16,12.88,5.89,90.41,0.015,1,0,0,0,0,0,0,0,0,0,90.41,6.906,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,20.498,3593.933,VALID,33167.3,35200.4,0.727,409,0,1.1167,2088.37,2334.81,-0.087,0,0,0.9056,1491.18,1646.61,2,0,1493.2,411.75,2,0,1511.43,1658.96,2,0,4.38,FLYING
60.14,ASCENT,AB_ZOOM,277.49,80,-197.49,514.11,34.96,13.53,6.24,90.4,0.007,1,0,0,0,0,0,0,0,0,0,90.4,8.322,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,12.301,3083.669,DEGRADED,37298.4,40006.6,0.78,472,0,1.1172,3038.35,3664.46,1.038,0,0,0.9419,1650.77,1752.56,2,0,1652.6,438.25,2,0,1669.58,1766.29,2,0,6.82,FLYING
62.46,ASCENT,RKT_SUSTAIN,291.24,80,-211.24,605.46,43.39,16.38,7.74,90.41,-0.052,1,0,0,0,0,0,0,0,0,0,90.41,9.428,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,5619.027,DEGRADED,41734.2,44003.3,0.823,561,0,1.1162,3059.05,4053.68,1.288,0.155,0,0,0,0,0,0,847.03,1363.23,2,0,992.24,1363.28,2,0,9.14,FLYING
64.52,ASCENT,RKT_SUSTAIN,301.53,80,-221.53,699.91,46.89,13.42,4.38,90.4,-0.045,1,0,0,0,0,0,0,0,0,0,90.4,8.162,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,3439.637,DEGRADED,44532.9,46286.4,0.851,665,0,1.1067,1878.64,3880,1.376,0.675,0,0,0,0,0,0,1354.91,1366.55,2,0,1358.42,1366.66,2,0,11.2,FLYING
66.58,ASCENT,RKT_SUSTAIN,315.36,80,-235.36,792.77,42.75,9.8,1.89,90.4,-0.223,1,0,0,0,0,0,0,0,0,0,90.4,6.337,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,2990.833,DEGRADED,47742,49798.4,0.889,762,0,1.0965,1153.72,4229.81,1.264,1,0,0,0,0,0,0,1369.41,1369.84,2,0,1369.76,1369.97,2,0,13.26,FLYING
68.68,ASCENT,RKT_SUSTAIN,330.79,80,-250.79,875.48,36.55,8.66,2.2,90.41,-0.373,1,0,0,0,0,0,0,0,0,0,90.41,5.295,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,2882.361,DEGRADED,51449.3,53805.7,0.93,841,0,1.086,708.53,4605.18,1.083,1,0,0,0,0,0,0,1372.61,1372.76,2,0,1372.84,1372.87,2,0,15.36,FLYING
70.8,ASCENT,RKT_SUSTAIN,346.86,80,-266.86,947.25,31.68,7.73,2.36,90.43,-0.583,1,0,0,0,0,0,0,0,0,0,90.43,4.486,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,2902.455,DEGRADED,55526.8,58067.3,0.972,908,0,1.0755,435.12,4859.88,0.94,1,0,0,0,0,0,0,1375.13,1375.26,2,0,1375.33,1375.35,2,0,17.48,FLYING
72.92,ASCENT,RKT_SUSTAIN,363.29,80,-283.29,1010.19,28.09,6.93,2.36,90.46,-0.781,1,0,0,0,0,0,0,0,0,0,90.46,3.891,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,2980.736,DEGRADED,59835.9,62495.8,1.013,969,0,1.0649,267.22,5022.22,0.834,1,0,0,0,0,0,0,1377.32,1377.43,2,0,1377.49,1377.51,2,0,19.6,FLYING
75.04,ASCENT,RKT_SUSTAIN,379.9,80,-299.9,1066.79,25.65,6.3,2.3,90.48,-0.735,1,0,0,0,0,0,0,0,0,0,90.48,3.478,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,3087.929,DEGRADED,64295.9,67042,1.054,1024,0,1.0544,164.11,5126.02,0.762,1,0,0,0,0,0,0,1379.26,1379.36,2,0,1379.42,1379.43,2,0,21.72,FLYING
77.16,ASCENT,RKT_SUSTAIN,396.67,80,-316.67,1119.22,24.18,5.71,2.07,90.48,-0.462,1,0,0,0,0,0,0,0,0,0,90.48,3.215,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,3213.327,DEGRADED,68890.3,71721.2,1.094,1076,0,1.0438,100.78,5217.86,0.72,1,0,0,0,0,0,0,1381.04,1381.13,2,0,1381.19,1381.2,2,0,23.84,FLYING
79.28,ASCENT,RKT_SUSTAIN,413.38,80,-333.38,1169.23,23.36,5.18,1.8,90.47,-0.211,1,0,0,0,0,0,0,0,0,0,90.47,3.051,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,3349.438,DEGRADED,73611.9,76515.5,1.134,1127,0,1.0333,61.89,5299,0.698,1,0,0,0,0,0,0,1382.73,1382.81,2,0,1382.87,1382.88,2,0,25.96,FLYING
81.4,ASCENT,RKT_SUSTAIN,430.02,80,-350.02,1217.67,23.04,4.78,1.55,90.46,-0.11,1,0,0,0,0,0,0,0,0,0,90.46,2.955,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,3493.473,VALID,78443,81410,1.175,1176,0,1.0227,38.01,5378.76,0.69,1,0,0,0,0,0,0,1384.36,1384.43,2,0,1384.49,1384.51,2,0,28.08,FLYING
83.52,ASCENT,RKT_SUSTAIN,446.45,80,-366.45,1266.44,23.06,4.49,1.35,90.45,-0.069,1,0,0,0,0,0,0,0,0,0,90.45,2.906,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,3643.749,VALID,83366.3,86384.1,1.214,1225,0,1.0122,23.34,5457.34,0.692,1,0,0,0,0,0,0,1385.97,1386.04,2,0,1386.1,1386.12,2,0,30.2,FLYING
85.64,ASCENT,RKT_SUSTAIN,462.65,80,-382.65,1315.67,23.46,4.39,1.3,90.44,-0.058,1,0,0,0,0,0,0,0,0,0,90.44,2.91,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,3799.036,VALID,88365.7,91426.6,1.254,1275,0,1.0016,14.34,5536.43,0.706,1,0,0,0,0,0,0,1387.58,1387.65,2,0,1387.72,1387.73,2,0,32.32,FLYING
87.76,ASCENT,RKT_SUSTAIN,478.33,80,-398.33,1366.13,24.22,4.25,1.16,90.42,-0.055,1,0,0,0,0,0,0,0,0,0,90.42,2.959,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,3923.678,VALID,93385.6,96441.4,1.293,1325,0,1,8.8,5585.19,0.731,1,0,0,0,0,0,0,1389.22,1389.29,2,0,1389.36,1389.38,2,0,34.44,FLYING
89.88,ASCENT,RKT_SUSTAIN,493.33,80,-413.33,1418.44,25.2,4.14,1,90.41,-0.048,1,0,0,0,0,0,0,0,0,0,90.41,3.035,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,4042.339,VALID,98350.2,101362,1.331,1378,0,1,5.41,5600.28,0.763,1,0,0,0,0,0,0,1390.91,1390.98,2,0,1391.05,1391.07,2,0,36.56,FLYING
92,ASCENT,RKT_SUSTAIN,507.58,80,-427.58,1473.09,26.4,4.05,0.85,90.39,-0.031,1,0,0,0,0,0,0,0,0,0,90.39,3.137,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,4160.84,VALID,103208.8,106145.4,1.368,1432,0,1,3.32,5583.74,0.802,1,0,0,0,0,0,0,1392.66,1392.72,2,0,1392.81,1392.82,2,0,38.68,FLYING
94.12,ASCENT,RKT_SUSTAIN,521.25,80,-441.25,1530.41,27.7,4.15,0.87,90.38,-0.022,1,0,0,0,0,0,0,0,0,0,90.38,3.249,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,4303.276,VALID,107950.8,110828.6,1.403,1490,0,1,2.04,5570.43,0.844,1,0,0,0,0,0,0,1394.48,1394.55,2,0,1394.63,1394.65,2,0,40.8,FLYING
96.14,ASCENT,RKT_SUSTAIN,533.51,80,-453.51,1587.76,29.09,4.23,0.86,90.37,-0.012,1,0,0,0,0,0,0,0,0,0,90.37,3.374,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,4443.996,VALID,112487.4,115188.1,1.437,1549,0,1,1.25,5455.33,0.89,1,0,0,0,0,0,0,1396.3,1396.37,2,0,1396.43,1396.45,2,0,42.8,FLYING
98.16,ASCENT,RKT_SUSTAIN,545.47,80,-465.47,1648.06,30.6,4.31,0.84,90.36,-0.012,1,0,0,0,0,0,0,0,0,0,90.36,3.512,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,4588.037,VALID,116826.3,119434.5,1.47,1611,0,1,0.77,5378.45,0.94,1,0,0,0,0,0,0,1398.19,1398.26,2,0,1398.32,1398.34,2,0,44.82,FLYING
100.18,ASCENT,RKT_SUSTAIN,556.97,80,-476.97,1711.65,32.35,4.43,0.85,90.35,-0.019,1,0,0,0,0,0,0,0,0,0,90.35,3.672,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,4736.153,VALID,121044.2,123582.7,1.503,1676,0,1,0.47,5335.96,0.996,1,0,0,0,0,0,0,1400.16,1400.23,2,0,1400.3,1400.32,2,0,46.84,FLYING
102.2,ASCENT,RKT_SUSTAIN,567.95,80,-487.95,1779.06,34.39,4.57,0.83,90.34,-0.031,1,0,0,0,0,0,0,0,0,0,90.34,3.863,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,4888.745,VALID,125141,127602.5,1.535,1745,0,1,0.29,5309.99,1.062,1,0,0,0,0,0,0,1402.23,1402.31,2,0,1402.38,1402.4,2,0,48.86,FLYING
104.22,ASCENT,RKT_SUSTAIN,578.36,80,-498.36,1850.96,36.81,4.75,0.83,90.32,-0.042,1,0,0,0,0,0,0,0,0,0,90.32,4.095,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,5046.25,VALID,129093.6,131461.9,1.567,1820,0,1,0.18,5289.96,1.14,1,0,0,0,0,0,0,1404.42,1404.5,2,0,1404.58,1404.6,2,0,50.88,FLYING
106.24,ASCENT,RKT_SUSTAIN,588.14,80,-508.14,1928.26,39.74,4.99,0.83,90.31,-0.051,1,0,0,0,0,0,0,0,0,0,90.31,4.381,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,5209.351,VALID,132870.4,135125,1.598,1900,0,1,0.11,5269.93,1.235,1,0,0,0,0,0,0,1406.75,1406.83,2,0,1406.92,1406.94,2,0,52.9,FLYING
108.26,ASCENT,RKT_SUSTAIN,597.22,80,-517.22,2012.15,43.32,5.32,0.86,90.3,-0.067,1,0,0,0,0,0,0,0,0,0,90.3,4.734,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,5378.944,VALID,136434.5,138553.1,1.629,1988,0,1,0.07,5248.2,1.35,1,0,0,0,0,0,0,1409.25,1409.34,2,0,1409.43,1409.46,2,0,54.92,FLYING
110.3,ASCENT,RKT_SUSTAIN,605.63,80,-525.63,2105.13,47.86,5.74,0.9,90.29,-0.088,1,0,0,0,0,0,0,0,0,0,90.29,5.187,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,5558.13,VALID,139766,141735.9,1.659,2088,0,1,0.04,5244.83,1.496,1,0,0,0,0,0,0,1411.99,1412.08,2,0,1412.18,1412.21,2,0,56.96,FLYING
112.32,ASCENT,RKT_SUSTAIN,613.05,80,-533.05,2207.53,53.51,6.27,0.95,90.29,-0.121,1,0,0,0,0,0,0,0,0,0,90.29,5.756,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,5745.221,VALID,142778.1,144534.7,1.689,2202,0,1,0.03,5204.66,1.678,1,0,0,0,0,0,0,1414.96,1415.06,2,0,1415.17,1415.21,2,0,58.98,FLYING
114.36,ASCENT,RKT_SUSTAIN,619.39,80,-539.39,2324.27,60.94,7,1.03,90.28,-0.162,1,0,0,0,0,0,0,0,0,0,90.28,6.507,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,5945.109,VALID,145395.2,146894.8,1.718,2335,0,1,0.02,5163.53,1.917,1,0,0,0,0,0,0,1418.29,1418.4,2,0,1418.53,1418.57,2,0,61.02,FLYING
116.38,ASCENT,RKT_SUSTAIN,624.31,80,-544.31,2456.98,70.53,7.94,1.12,90.27,-0.197,1,0,0,0,0,0,0,0,0,0,90.27,7.487,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,6157.395,VALID,147490.7,148646.5,1.746,2497,0,1,0.01,5071.69,2.226,1,0,0,0,0,0,0,1422.01,1422.14,2,0,1422.29,1422.33,2,0,63.04,FLYING
118.4,ASCENT,RKT_SUSTAIN,627.63,80,-547.63,2611.88,82.98,9.23,1.32,90.26,-0.249,1,0,0,0,0,0,0,0,0,0,90.26,8.754,0,0,0,0,0,0,0,0,90.4,1,0,0.012,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,6387.541,VALID,148949.6,149696.8,1.774,2698,0,1,0.01,4967.88,2.625,1,0,0,0,0,0,0,1426.27,1426.42,2,0,1426.59,1426.64,2,0,65.06,FLYING
