t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,phase_el_s,status
0.94,TAKEOFF,TO_PREFLIGHT,0.35,80,79.65,4.38,-0.14,2.28,61.2,90.13,-0.061,0.2,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.268,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.42,2,0,0.22,LANDED
3.52,TAKEOFF,TO_PREFLIGHT,0.06,80,79.94,3.61,0.02,-0.14,-14.92,90.14,-0.051,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.268,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.42,888.41,2,0,2.78,LANDED
6.08,TAKEOFF,TO_PREFLIGHT,0.15,80,79.85,3.59,0,-0.22,0.13,90.19,-0.054,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.268,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.94,888.4,2,0,5.34,LANDED
8.66,TAKEOFF,TO_PREFLIGHT,0.4,80,79.6,3.58,0,-0.24,-0.1,90.24,-0.055,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.268,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.08,888.39,2,0,7.92,LANDED
10.7,TAKEOFF,TO_GROUND_ROLL,3.18,80,76.82,3.62,0.02,-0.13,-0.42,90.27,-0.054,1,0,0,0,0,0,0,0,0,0,90.35,0,0,0,0,-0.005,0,0,0,0,90.35,1,-0.005,-0.076,-0.0014,0.578,0,-0.0014,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.03,888.33,2,0,9.98,LANDED
12.78,TAKEOFF,TO_GROUND_ROLL,12.79,80,67.21,3.62,-0.03,-0.1,0.03,90.26,-0.054,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,-0.005,0,0,0,0,90.4,1,-0.005,-0.133,0.0043,0.675,0,0.0043,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.61,887.55,2,0,12.06,LANDED
14.84,TAKEOFF,TO_GROUND_ROLL,22.98,80,57.02,3.62,-0.05,-0.1,0.02,90.26,-0.053,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,-0.002,0,0,0,0,90.4,1,-0.002,-0.142,0.0053,0.777,0,0.0053,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813.39,886.01,2,0,14.12,LANDED
16.96,TAKEOFF,TO_GROUND_ROLL,33.86,80,46.14,3.62,-0.07,-0.09,0.02,90.24,-0.054,1,0,0,0,0,0,0,0,0,0,90.41,0,0,0,0,0.004,0,0,0,0,90.41,1,0.004,-0.168,0.0074,0.885,0,0.0074,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.59,883.96,2,0,16.24,LANDED
19.08,TAKEOFF,TO_GROUND_ROLL,44.99,80,35.01,3.62,-0.09,-0.08,0.02,90.2,-0.055,1,0,0,0,0,0,0,0,0,0,90.42,0,0,0,0,0.015,0,0,0,0,90.42,1,0.015,-0.213,0.0106,0.997,0,0.0106,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850.97,881.86,2,0,18.36,LANDED
21.2,TAKEOFF,TO_GROUND_ROLL,56.26,80,23.74,3.62,-0.1,-0.08,0.02,90.16,-0.056,1,0,0,0,0,0,0,0,0,0,90.44,0,0,0,0,0.033,0,0,0,0,90.44,1,0.033,-0.277,0.0139,1,0,0.0139,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.06,880.22,2,0,20.48,LANDED
23.32,TAKEOFF,TO_GROUND_ROLL,67.64,80,12.36,3.62,-0.1,-0.07,0.01,90.09,-0.056,1,0,0,0,0,0,0,0,0,0,90.47,0,0,0,0,0.063,0,0,0,0,90.47,1,0.063,-0.375,0.0188,1,0,0.0188,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866.36,879.54,2,0,22.6,LANDED
25.44,TAKEOFF,TO_GROUND_ROLL,79.11,80,0.89,3.62,-0.09,-0.07,0,90.05,-0.078,1,0,0,0,0,0,0,0,0,0,90.51,0,0,0,0,0.106,0,0,0,0,90.51,1,0.106,-0.458,0.0222,1,0,0.0222,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879.84,888.72,2,0,24.72,LANDED
27.56,TAKEOFF,TO_GROUND_ROLL,90.86,80,-10.86,3.62,-0.1,-0.05,0,90.05,-0.052,1,0,0,0,0,0,0,0,0,0,90.55,0,0,0,0,0.161,0,0,0,0,90.55,1,0.161,-0.507,0.0234,1,0,0.0234,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908.83,915,2,0,26.84,LANDED
29.68,TAKEOFF,TO_GROUND_ROLL,103.07,80,-23.07,3.62,-0.05,-0.02,0.01,90.12,-0.053,1,0,0,0,0,0,0,0,0,0,90.61,0,0,0,0,0.216,0,0,0,0,90.61,1,0.216,-0.496,0.0228,1,0,0.0228,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.26,954.68,2,0,28.96,LANDED
31.8,TAKEOFF,TO_GROUND_ROLL,115.9,80,-35.9,3.63,0.01,0.03,0.04,90.15,-0.088,1,0,0,0,0,0,0,0,0,0,90.67,0,0,0,0,0.268,0,0,0,0,90.67,1,0.268,-0.526,0.0249,1,0,0.0249,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.32,1003.56,2,0,31.08,LANDED
33.92,TAKEOFF,TO_GROUND_ROLL,129.45,80,-49.45,3.61,0.04,0.01,-0.01,90.54,0.015,1,0,0,0,0,0,0,0,0,0,90.63,0,0,0,0,0.302,0,0,0,0,90.63,1,0.302,-0.167,-0.0006,1,0,-0.0006,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053.63,1056.01,2,0,33.2,LANDED
36.02,TAKEOFF,TO_GROUND_ROLL,143.61,80,-63.61,3.62,0.13,0.03,-0.02,90.72,-0.103,1,0,0,0,0,0,0,0,0,0,90.66,0,0,0,0,0.205,0,0,0,0,90.66,1,0.205,0.057,0.0042,1,0,0.0042,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109.6,1111.47,2,0,35.3,LANDED
38.14,TAKEOFF,TO_GROUND_ROLL,158.77,80,-78.77,3.62,0.23,0.03,-0.05,90.98,-0.13,1,0,0,0,0,0,0,0,0,0,90.48,0,0,0,0,0.054,0,0,0,0,90.48,1,0.054,0.524,-0.0214,1,0,-0.0214,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.31,1175.86,2,0,37.42,LANDED
40.26,TAKEOFF,TO_ROTATE,175.07,80,-95.07,7.69,-1.05,0.52,0.8,90.82,-0.093,1,0,0,0,0,0,0,0,0,0,90.4,3.65,0,0,0,0,0,0,0,0,90.4,1,0,0.429,0,0,3,0,0,0,3.65,3.228,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249.01,1250.37,2,0,39.54,FLYING
42.74,TAKEOFF,TO_ROTATE,187.21,80,-107.21,31.01,3.54,20.6,19.48,90.36,0.988,1,0,0,0,0,0,0,0,0,0,90.4,10.85,0,0,0,0,0,0,0,0,90.4,1,0,-0.042,0,0,3,0,0,0,10.85,-9.666,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309.48,1310.09,2,0,42.02,FLYING
45.32,TAKEOFF,TO_CLIMB,191.59,80,-111.59,105.24,20.64,20.65,14.57,90.32,0.788,0.8461,0,0,0,0,0,0,0,0,0,90.4,7.3,0,0,0,0,0,0,0,0,90.4,1,0,-0.075,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263.72,1328.95,2,0,44.58,FLYING
47.76,TAKEOFF,TO_CLIMB,202.18,80,-122.18,159.67,23.94,16.94,10.19,90.39,0.376,0.82,0,0,0,0,0,0,0,0,0,90.4,7,0,0,0,0,0,0,0,0,90.4,1,0,-0.015,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.36,1377.7,2,0,47.02,FLYING
50.24,TAKEOFF,TO_CLIMB,214.11,80,-134.11,221.13,25.84,15.95,9.06,90.41,0.121,0.82,0,0,0,0,0,0,0,0,0,90.4,7,0,0,0,0,0,0,0,0,90.4,1,0,0.011,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211.38,1434.72,2,0,49.5,FLYING
52.72,TAKEOFF,TO_CLIMB,226.73,80,-146.73,287.22,27.67,15.1,8.12,90.41,0.055,0.82,0,0,0,0,0,0,0,0,0,90.4,7,0,0,0,0,0,0,0,0,90.4,1,0,0.013,0,0,3,0,0,0,11.5,-10.501,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242.49,1496.96,2,0,51.98,FLYING
