time_s,phase,ias_mps,aoa_deg,vs_mps,agl_m,lift_kN,weight_kN,lift_ratio,vs1g_est_mps
#META,tag=IFC_TAKEOFF_RWY_09,far_ok=True,alpha_crit_deg=18
0,TAKEOFF:TO_PREFLIGHT,0.297,-73.719,0.27,4.908,-0.029,971.105,-3E-05,-1
0.16,TAKEOFF:TO_PREFLIGHT,0.216,-57.083,0.034,4.637,-0.058,971.105,-6E-05,-1
0.38,TAKEOFF:TO_PREFLIGHT,0.195,55.427,-0.091,4.072,0.016,971.105,2E-05,-1
0.58,TAKEOFF:TO_PREFLIGHT,0.217,-40.176,0.203,3.656,-0.078,971.105,-8E-05,-1
0.76,TAKEOFF:TO_PREFLIGHT,0.355,-5.283,0.027,3.496,-0.003,971.104,0,-1
0.96,TAKEOFF:TO_PREFLIGHT,0.321,62.217,-0.404,3.682,0.068,971.104,7E-05,-1
1.18,TAKEOFF:TO_PREFLIGHT,0.08,-70.132,0.424,3.895,-0.018,971.103,-2E-05,-1
1.36,TAKEOFF:TO_PREFLIGHT,0.361,1.322,-0.103,4.085,-0.016,971.102,-2E-05,-1
1.54,TAKEOFF:TO_PREFLIGHT,0.298,64.443,-0.24,4.176,0.058,971.1,6E-05,-1
1.72,TAKEOFF:TO_PREFLIGHT,0.123,-60.819,0.22,4.315,-0.036,971.097,-4E-05,-1
1.9,TAKEOFF:TO_PREFLIGHT,0.164,24.223,-0.082,4.423,-0.008,971.094,-1E-05,-1
2.12,TAKEOFF:TO_PREFLIGHT,0.153,75.154,-0.062,4.439,0.005,971.09,1E-05,-1
2.38,TAKEOFF:TO_PREFLIGHT,0.13,-27.898,0.051,4.427,0,971.083,0,-1
2.6,TAKEOFF:TO_PREFLIGHT,0.19,23.4,-0.088,4.294,0.006,971.076,1E-05,-1
2.82,TAKEOFF:TO_PREFLIGHT,0.266,-10.412,0.074,4.094,-0.009,971.068,-1E-05,-1
3.04,TAKEOFF:TO_PREFLIGHT,0.344,-2.446,0.011,3.835,-0.017,971.058,-2E-05,-1
3.26,TAKEOFF:TO_PREFLIGHT,0.412,-0.551,0.017,3.535,-0.009,971.047,-1E-05,-1
3.52,TAKEOFF:TO_PREFLIGHT,0.217,55.888,-0.165,3.612,0.003,971.032,0,-1
3.74,TAKEOFF:TO_PREFLIGHT,0.289,84.578,-0.19,3.642,0.023,971.019,2E-05,-1
