time_s,phase,ias_mps,aoa_deg,vs_mps,agl_m,lift_kN,weight_kN,lift_ratio,vs1g_est_mps
#META,tag=IFC_TAKEOFF_RWY_09,far_ok=True,alpha_crit_deg=18
0.02,TAKEOFF:TO_PREFLIGHT,0.13,29.516,0.009,4.019,0.014,971.105,1E-05,-1
0.16,TAKEOFF:TO_PREFLIGHT,0.081,-69.219,0.168,3.702,0,971.105,0,-1
0.34,TAKEOFF:TO_PREFLIGHT,0.169,-55.418,0.145,3.485,-0.011,971.105,-1E-05,-1
0.54,TAKEOFF:TO_PREFLIGHT,0.126,79.967,-0.49,3.677,0,971.105,0,-1
0.72,TAKEOFF:TO_PREFLIGHT,0.265,-63.241,0.341,3.89,-0.021,971.104,-2E-05,-1
0.9,TAKEOFF:TO_PREFLIGHT,0.414,-31.584,0.061,4.164,-0.111,971.104,-0.00011,-1
1.12,TAKEOFF:TO_PREFLIGHT,0.373,53.828,-0.238,4.325,0.084,971.102,9E-05,-1
1.3,TAKEOFF:TO_PREFLIGHT,0.17,-56.743,0.235,4.506,-0.057,971.101,-6E-05,-1
1.48,TAKEOFF:TO_PREFLIGHT,0.191,14.315,-0.085,4.645,-0.003,971.099,0,-1
1.66,TAKEOFF:TO_PREFLIGHT,0.167,78.444,-0.124,4.679,0.013,971.097,1E-05,-1
1.84,TAKEOFF:TO_PREFLIGHT,0.026,-62.4,0.152,4.702,0,971.093,0,-1
2.04,TAKEOFF:TO_PREFLIGHT,0.133,24.522,-0.085,4.646,0.001,971.089,0,-1
2.28,TAKEOFF:TO_PREFLIGHT,0.228,-2.072,0.044,4.45,-0.003,971.083,0,-1
2.48,TAKEOFF:TO_PREFLIGHT,0.302,-6.755,0.037,4.235,-0.019,971.076,-2E-05,-1
2.7,TAKEOFF:TO_GROUND_ROLL,0.382,5.955,-0.03,3.94,-0.004,971.069,0,-1
2.96,TAKEOFF:TO_GROUND_ROLL,0.619,-5.611,0.066,3.569,-0.045,971.057,-5E-05,-1
3.22,TAKEOFF:TO_GROUND_ROLL,1.173,7.346,-0.247,3.649,0.078,971.044,8E-05,-1
3.52,TAKEOFF:TO_GROUND_ROLL,1.949,-5.301,0.303,3.895,0.012,971.026,1E-05,-1
3.78,TAKEOFF:TO_GROUND_ROLL,2.707,3.484,-0.142,4.228,0.144,971.009,0.00015,-1
4.04,TAKEOFF:TO_GROUND_ROLL,3.533,3.795,-0.033,4.453,0.367,970.991,0.00038,-1
4.3,TAKEOFF:TO_GROUND_ROLL,4.424,3.128,0.02,4.717,0.407,970.971,0.00042,-1
4.58,TAKEOFF:TO_GROUND_ROLL,5.46,5.094,-0.074,4.879,0.755,970.946,0.00078,-1
4.84,TAKEOFF:TO_GROUND_ROLL,6.485,4.348,0.024,4.966,0.852,970.923,0.00088,-1
5.1,TAKEOFF:TO_GROUND_ROLL,7.568,4.854,-0.043,4.95,1.155,970.899,0.00119,-1
5.36,TAKEOFF:TO_GROUND_ROLL,8.707,4.142,0.013,4.846,1.263,970.874,0.0013,-1
5.66,TAKEOFF:TO_GROUND_ROLL,10.087,3.565,-0.015,4.639,1.435,970.843,0.00148,-1
5.92,TAKEOFF:TO_GROUND_ROLL,11.338,2.697,-0.001,4.404,1.439,970.816,0.00148,-1
6.18,TAKEOFF:TO_GROUND_ROLL,12.636,1.869,-0.014,4.155,1.401,970.787,0.00144,-1
6.44,TAKEOFF:TO_GROUND_ROLL,13.98,1.074,-0.022,3.919,1.297,970.758,0.00134,-1
6.74,TAKEOFF:TO_GROUND_ROLL,15.584,0.325,-0.029,3.704,1.192,970.723,0.00123,-1
7,TAKEOFF:TO_GROUND_ROLL,17.01,0.402,-0.144,3.611,1.816,970.691,0.00187,-1
7.26,TAKEOFF:TO_GROUND_ROLL,18.475,0.423,-0.064,3.697,2.394,970.659,0.00247,-1
7.52,TAKEOFF:TO_GROUND_ROLL,19.981,0.208,0.167,3.861,2.595,970.626,0.00267,-1
7.82,TAKEOFF:TO_GROUND_ROLL,21.76,1.862,-0.192,4.062,5.573,970.587,0.00574,-1
8.08,TAKEOFF:TO_GROUND_ROLL,23.337,2.017,0.019,4.254,6.483,970.553,0.00668,-1
8.34,TAKEOFF:TO_GROUND_ROLL,24.942,2.92,-0.109,4.446,9.168,970.518,0.00945,-1
8.6,TAKEOFF:TO_GROUND_ROLL,26.576,3.363,-0.056,4.589,11.155,970.482,0.01149,-1
8.9,TAKEOFF:TO_GROUND_ROLL,28.493,3.778,-0.075,4.704,13.377,970.44,0.01378,-1
9.16,TAKEOFF:TO_GROUND_ROLL,30.181,3.878,-0.066,4.728,15.082,970.404,0.01554,-1
9.42,TAKEOFF:TO_GROUND_ROLL,31.893,3.731,-0.057,4.691,16.215,970.366,0.01671,-1
9.68,TAKEOFF:TO_GROUND_ROLL,33.629,3.418,-0.066,4.593,16.715,970.328,0.01723,-1
9.98,TAKEOFF:TO_GROUND_ROLL,35.66,2.825,-0.06,4.425,16.334,970.284,0.01683,-1
10.24,TAKEOFF:TO_GROUND_ROLL,37.443,2.244,-0.069,4.254,15.579,970.246,0.01606,-1
10.5,TAKEOFF:TO_GROUND_ROLL,39.247,1.642,-0.07,4.082,14.395,970.206,0.01484,-1
10.76,TAKEOFF:TO_GROUND_ROLL,41.071,1.119,-0.079,3.931,13.143,970.167,0.01355,-1
11.06,TAKEOFF:TO_GROUND_ROLL,43.198,0.675,-0.083,3.807,12.347,970.121,0.01273,-1
11.32,TAKEOFF:TO_GROUND_ROLL,45.059,0.487,-0.089,3.756,12.614,970.081,0.013,-1
11.58,TAKEOFF:TO_GROUND_ROLL,46.937,0.495,-0.093,3.762,14.074,970.04,0.01451,-1
11.84,TAKEOFF:TO_GROUND_ROLL,48.829,0.692,-0.097,3.823,16.952,969.999,0.01748,-1
