t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_round_blend_h,flare_round_blend_ttg,flare_round_blend,flare_mode,flare_auth_limited,flare_auth_reason,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_theta_cmd_raw,flare_theta_cmd_clamped,flare_theta_clamp_active,flare_aoa_clamp_active,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
2.9,TAKEOFF,TO_PREFLIGHT,0.03,80,79.97,4.81,1.2,0,-0.43,6.97,89.84,0.108,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,-0.27,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,0,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939.6,6,0,0.2,0.2,1,0.34,0.2,0.02,2.7,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
3.18,TAKEOFF,TO_PREFLIGHT,0.03,80,79.97,4.81,1.2,0,-0.43,-0.89,90.65,0.107,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28,1939.6,6,0,0.06,0.06,5,14.29,2.78,0.06,3,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
3.44,TAKEOFF,TO_PREFLIGHT,0.04,80,79.96,4.81,1.2,0,-0.43,0.76,90.71,0.111,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,-0.04,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67,1939.59,6,0,0.06,0.06,9,15.38,0.08,0.04,3.26,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
3.7,TAKEOFF,TO_PREFLIGHT,0.06,80,79.94,4.81,1.2,0,-0.43,-0.33,90.76,0.108,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,-0.02,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1939.57,6,0,0.06,0.06,13,15.38,0.08,0.04,3.52,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
3.96,TAKEOFF,TO_PREFLIGHT,0.1,80,79.9,4.81,1.2,0,-0.44,0.22,90.81,0.101,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,-0.11,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.24,1939.54,6,0,0.06,0.06,17,15.38,0.08,0.04,3.78,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
4.22,TAKEOFF,TO_PREFLIGHT,0.12,80,79.88,4.81,1.19,0,-0.44,0.08,90.85,0.095,0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,-0.06,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.33,1939.52,6,0,0.06,0.06,21,15.38,0.08,0.04,4.04,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
4.48,TAKEOFF,TO_PREFLIGHT,0.14,80,79.86,4.81,1.19,0,-0.44,-0.01,90.88,0.096,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,-0.08,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.24,1939.5,6,0,0.06,0.06,25,15.38,0.08,0.04,4.3,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
4.74,TAKEOFF,TO_PREFLIGHT,0.17,80,79.83,4.81,1.19,0,-0.44,-0.28,90.9,0.102,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,-0.02,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.91,1939.48,6,0,0.06,0.06,29,15.38,0.08,0.04,4.56,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
5,TAKEOFF,TO_PREFLIGHT,0.23,80,79.77,4.81,1.19,0,-0.43,-0.11,90.92,0.108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,-0.09,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.79,1939.42,6,0,0.06,0.06,33,15.38,0.08,0.04,4.82,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
5.26,TAKEOFF,TO_PREFLIGHT,0.33,80,79.67,4.81,1.19,0,-0.44,-0.09,90.93,0.107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,-0.13,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,90,1,0,-0.165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.56,1939.33,6,0,0.06,0.06,37,15.38,0.08,0.04,5.08,LANDED,C-1000G,0:/Integrated Flight Computer/aircraft/c_1000g_cfg.ks (inferred preloaded)
