t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
1.24,APPROACH,FLY_TO_FIX,260.15,150.8,-109.35,964.92,-23.96,-0.92,3.82,267.56,-3.987,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,255.46,1.862,1,0,-5.3,12.11,0,-0.02,90,0.4469,-0.2487,0.8594,6.08,255.46,0,0,54.048,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.52,4111.95,6,0,0.94,0.5,1,1.89,0.94,0.02,1.28,FLYING
2,APPROACH,FLY_TO_FIX,260.56,151.6,-108.96,948.06,-23.49,-0.54,6.06,266.97,-3.987,0,0,0,1,0.6,1.492,0.75,0.35,0.0168,0.4,255.36,1.95,0,1,-5.46,11.61,0,6.09,255.46,0.4246,-0.2494,0.8704,7.51,255.36,0,0,53.848,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.45,4119.35,6,0,0.72,0.5,2,1.32,0.94,0.72,2.04,FLYING
2.8,APPROACH,FLY_TO_FIX,260.12,152.4,-107.72,933.2,-18.12,2.58,7.76,264.76,-4.002,0,0,0,1,0.6,2.15,0.75,0.35,0.0168,0.4,255.25,2.029,0,1,-4.56,9.5,0,7.53,255.36,0.3935,-0.2495,0.8848,9.5,255.25,0,0,53.637,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.73,4116.79,6,0,0.8,0.5,3,1.25,0.8,0.72,2.84,FLYING
3.56,APPROACH,FLY_TO_FIX,258.54,153.2,-105.34,924.39,-10.36,5.36,9.11,262.9,-4.241,0,0,0,1,0.6,2.753,0.75,0.35,0.0168,0.4,255.15,2.08,0,1,-3.1,7.75,0,9.52,255.25,0.3699,-0.2497,0.8949,10.98,255.15,0,0,53.437,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.24,4100.01,6,0,0.76,0.5,4,1.32,0.8,0.76,3.6,FLYING
4.32,APPROACH,FLY_TO_FIX,255.82,154,-101.82,922.08,-1.11,8.18,10,261.52,-4.468,0,0,-20,1,0.6,3.302,0.75,0.35,0.0168,0.4,255.05,2.1,0,1,-1.18,6.47,0,11,255.15,0.3544,-0.2503,0.9009,11.95,255.05,0,0,53.238,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.49,4068.13,6,0,0.76,0.5,5,1.32,0.76,0.76,4.36,FLYING
5.08,APPROACH,FLY_TO_FIX,252.27,154.8,-97.47,926.77,8.67,10.79,10.25,260.66,-4.674,0.2,0,-20,1,0.6,3.799,0.797,0.35,0.0168,0.4,254.96,2.085,0,1,0.97,5.7,0,11.97,255.05,0.3478,-0.2514,0.9032,12.36,254.96,0,0,53.042,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.8,4026.31,6,0,0.76,0.5,6,1.32,0.76,0.76,5.12,FLYING
5.84,APPROACH,FLY_TO_FIX,248.39,155.6,-92.79,938.29,17.87,12.88,9.99,260.16,-4.818,0.4,0,-20,1,0.6,4.248,0.797,0.35,0.0168,0.4,254.87,2.035,0,1,3.17,5.3,0,12.38,254.96,0.3508,-0.2531,0.9016,12.18,254.87,0,0,52.848,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.86,3981.32,6,0,0.76,0.5,7,1.32,0.76,0.76,5.88,FLYING
6.58,APPROACH,FLY_TO_FIX,244.94,156.4,-88.54,955.22,25.56,14.22,9.2,259.73,-5.019,0.6,0,-20,1,0.6,4.5,0.797,0.35,0.0168,0.4,254.78,1.957,0,1,5.15,4.95,0,12.2,254.87,0.3631,-0.2554,0.8961,11.42,254.78,0,0,52.662,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.55,3939.54,6,0,0.74,0.5,8,1.35,0.76,0.74,6.62,FLYING
7.34,APPROACH,FLY_TO_FIX,242.25,157.2,-85.05,977.25,31.7,14.7,7.92,259.33,-5.234,0.8,0,-20,1,0.6,4.5,0.797,0.35,0.0168,0.4,254.7,1.852,0,1,6.83,4.63,0,11.44,254.78,0.3838,-0.2581,0.8866,10.13,254.7,0,0,52.474,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.68,3905.91,6,0,0.76,0.5,9,1.32,0.76,0.74,7.38,FLYING
8.12,APPROACH,FLY_TO_FIX,240.69,158,-82.69,1003.2,35.68,14.34,6.27,258.96,-5.398,0.8961,0,-20,1,0.6,4.5,0.797,0.35,0.0168,0.4,254.62,1.725,0,1,8.08,4.35,0,10.15,254.7,0.4115,-0.2611,0.8732,8.38,254.62,0,0,52.282,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986.04,3884.6,6,0,0.78,0.5,10,1.28,0.78,0.76,8.16,FLYING
