t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.1,APPROACH,ILS_TRACK,74.16,73,-1.16,2252.19,-8.36,5.57,11.07,273.4,7.094,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6.43,0,0,0,90,0,0,0,0,0,0,0,33.78,0,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.51,362.8,2,0,0.1,0.1,1,3.7,0.1,0.02,0.1,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.4,APPROACH,ILS_TRACK,74.73,73,-1.73,2249.84,-7.92,6.17,11.39,273.33,7.068,0,0,0,1,0.6,1.018,0.75,0.35,0.0168,0.4,269.59,-5.055,0,0,-6.08,0,0,-5.06,269.64,0,0,0,0,0,2.48,410.96,33.755,-0.811,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.27,362.54,2,0,0.08,0.08,4,10,0.1,0.08,0.4,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.66,APPROACH,ILS_TRACK,75.14,73,-2.14,2247.74,-7.49,5.67,10.57,273.33,6.45,0,0,0,1,0.6,1.811,0.75,0.35,0.0168,0.4,269.48,-5.05,0,0,-5.72,0,0,-5.05,269.51,0,0,0,0,0,3.27,410.06,33.733,-0.916,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.99,362.36,2,0,0.1,0.1,7,11.54,0.1,0.06,0.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1,APPROACH,ILS_TRACK,75.64,73,-2.64,2244.8,-7.35,3.11,7.86,273.47,4.642,0,0,0,1,0.6,2.601,0.75,0.35,0.0168,0.4,269.34,-5.043,0,0,-5.53,0,0,-5.04,269.4,0,0,0,0,0,4.42,408.7,33.703,-1.055,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.11,362.15,2,0,0.1,0.1,11,11.76,0.1,0.06,1,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.32,APPROACH,ILS_TRACK,76.21,73,-3.21,2241.97,-8.09,0.92,6.07,273.51,2.292,0,0,0,1,0.6,3.166,0.75,0.35,0.0168,0.4,269.23,-5.037,0,0,-6.02,0,0,-5.04,269.27,0,0,0,0,0,5.59,407.36,33.674,-1.166,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.19,361.89,2,0,0.1,0.1,15,12.5,0.1,0.06,1.32,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,76.85,73,-3.85,2238.99,-9.05,0.53,6.24,273.2,-0.044,0,0,0,1,0.6,3.57,0.75,0.35,0.0168,0.4,269.14,-5.03,0,0,-6.69,0,0,-5.03,269.14,0,0,0,0,0,6.92,405.97,33.644,-1.259,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.57,361.6,2,0,0.1,0.1,19,11.76,0.1,0.06,1.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2,APPROACH,ILS_TRACK,77.46,73,-4.46,2235.83,-9.68,0.73,6.79,272.83,-1.126,0,0,0,1,0.6,3.858,0.75,0.35,0.0168,0.4,269.08,-5.022,0,0,-7.1,0,0,-5.02,269.09,0,0,0,0,0,8.27,404.43,33.613,-1.318,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.99,361.34,2,0,0.1,0.1,23,11.76,0.1,0.06,2,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.32,APPROACH,ILS_TRACK,77.95,73,-4.95,2232.85,-10.1,1.85,8.17,272.63,-1.386,0,0,0,1,0.6,4.064,0.75,0.35,0.0168,0.4,269.04,-5.015,0,0,-7.39,0,0,-5.02,269.06,0,0,0,0,0,9.52,402.96,33.584,-1.356,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.99,361.16,2,0,0.1,0.1,27,12.5,0.1,0.06,2.32,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.66,APPROACH,ILS_TRACK,78.35,73,-5.35,2229.65,-9.92,3.16,9.36,272.49,-1.685,0,0,0,1,0.6,4.211,0.75,0.35,0.0168,0.4,268.99,-5.007,0,0,-7.23,0,0,-5.01,269.02,0,0,0,0,0,10.83,401.39,33.553,-1.405,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.24,361.05,2,0,0.1,0.1,31,11.76,0.1,0.06,2.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.98,APPROACH,ILS_TRACK,78.61,73,-5.61,2226.53,-9.53,3.1,9.03,272.4,-1.922,0,0,0,1,0.6,4.316,0.75,0.35,0.0168,0.4,268.99,-4.999,0,0,-6.93,0,0,-5,269,0,0,0,0,0,12.03,399.8,33.524,-1.41,0,0,0,0,273.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.81,361.02,2,0,0.1,0.1,35,12.5,0.1,0.06,2.98,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
