t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
1,APPROACH,FLY_TO_FIX,235.55,75.4,-160.15,1674.74,-77,-15.27,1.71,61.63,20.048,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,311.63,-6,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,FLYING
1.72,APPROACH,FLY_TO_FIX,236.78,75.8,-160.98,1646.83,-65.84,-15.84,-1.34,60.62,34.97,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,311.41,-6,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,FLYING
2.42,APPROACH,FLY_TO_FIX,238.17,76.2,-161.97,1640.83,-69.15,-16.45,-0.47,58.95,56.632,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,311.21,-5.934,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,FLYING
3.14,APPROACH,FLY_TO_FIX,239.15,76.6,-162.55,1609.81,-69.54,-15.72,1.22,53.68,70.679,0,0,0,1,0.6,1.03,0.75,0.35,0.0168,0.4,310.99,-5.688,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,FLYING
3.86,APPROACH,FLY_TO_FIX,240.13,77,-163.13,1589.79,-72.35,-15.69,1.27,48.84,71.568,0,0,0,1,0.6,1.242,0.75,0.35,0.0168,0.4,310.78,-5.434,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,FLYING
4.58,APPROACH,FLY_TO_FIX,241.06,77.4,-163.66,1574.47,-74.95,-16.07,1.26,43.91,70.8,0,0,0,1,0.6,1.439,0.75,0.35,0.0168,0.4,310.56,-5.17,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,FLYING
5.3,APPROACH,FLY_TO_FIX,241.95,77.8,-164.15,1526.58,-77.08,-16.47,1.24,38.97,69.695,0,0,0,1,0.6,1.622,0.75,0.35,0.0168,0.4,310.34,-4.897,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,FLYING
6.02,APPROACH,FLY_TO_FIX,242.81,78.2,-164.61,1471.36,-78.63,-16.78,1.22,34.03,68.514,0,0,0,1,0.6,1.792,0.75,0.35,0.0168,0.4,310.12,-4.618,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,FLYING
6.76,APPROACH,FLY_TO_FIX,243.65,78.6,-165.05,1379.01,-79.56,-16.96,1.2,28.98,67.302,0,0,0,1,0.6,1.951,0.75,0.35,0.0168,0.4,309.89,-4.325,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,FLYING
7.48,APPROACH,FLY_TO_FIX,244.42,79,-165.42,1303.58,-79.84,-16.99,1.18,24.1,66.144,0,0,0,1,0.6,2.098,0.75,0.35,0.0168,0.4,309.68,-4.038,0,0,0,0,0,0,0,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,FLYING
