time_s,phase,ias_mps,aoa_deg,vs_mps,agl_m,lift_kN,weight_kN,lift_ratio,vs1g_est_mps
#META,tag=IFC_TAKEOFF_RWY_09,far_ok=True,alpha_crit_deg=18
0.02,TAKEOFF:TO_PREFLIGHT,0.078,-70.401,0.303,4.672,0,971.105,0,-1
0.16,TAKEOFF:TO_PREFLIGHT,0.225,-25.762,-0.011,4.819,-0.009,971.105,-1E-05,-1
0.34,TAKEOFF:TO_PREFLIGHT,0.156,78.396,-0.212,4.88,0.023,971.105,2E-05,-1
0.52,TAKEOFF:TO_PREFLIGHT,0.083,-85.166,0.129,4.896,0,971.105,0,-1
0.72,TAKEOFF:TO_PREFLIGHT,0.118,-80.073,0.008,4.858,0,971.105,0,-1
0.9,TAKEOFF:TO_PREFLIGHT,0.063,45.312,-0.07,4.733,0,971.105,0,-1
1.08,TAKEOFF:TO_PREFLIGHT,0.126,-18.375,0.075,4.587,0,971.105,0,-1
1.3,TAKEOFF:TO_PREFLIGHT,0.191,8.262,-0.03,4.374,-0.002,971.105,0,-1
1.48,TAKEOFF:TO_PREFLIGHT,0.225,2.531,0.007,4.175,-0.001,971.105,0,-1
1.66,TAKEOFF:TO_PREFLIGHT,0.237,-4.312,0.02,3.984,-0.008,971.105,-1E-05,-1
1.84,TAKEOFF:TO_PREFLIGHT,0.225,8.094,-0.034,3.798,-0.002,971.105,0,-1
2.02,TAKEOFF:TO_GROUND_ROLL,0.209,-5.622,-0.006,3.634,-0.004,971.105,0,-1
2.3,TAKEOFF:TO_GROUND_ROLL,0.16,16.35,-0.072,3.639,0.004,971.105,0,-1
2.6,TAKEOFF:TO_GROUND_ROLL,0.181,-27.068,0.153,3.799,0.003,971.105,0,-1
2.86,TAKEOFF:TO_GROUND_ROLL,0.261,-4.714,-0.026,4.048,-0.004,971.104,0,-1
3.12,TAKEOFF:TO_GROUND_ROLL,0.28,22.814,-0.073,4.223,0.023,971.103,2E-05,-1
3.38,TAKEOFF:TO_GROUND_ROLL,0.324,-7.53,0.052,4.447,-0.002,971.101,0,-1
3.68,TAKEOFF:TO_GROUND_ROLL,0.475,10.504,-0.06,4.63,0.023,971.097,2E-05,-1
3.94,TAKEOFF:TO_GROUND_ROLL,0.663,1.681,0.027,4.745,0.012,971.092,1E-05,-1
4.2,TAKEOFF:TO_GROUND_ROLL,0.918,5.464,-0.028,4.788,0.024,971.086,2E-05,-1
4.46,TAKEOFF:TO_GROUND_ROLL,1.247,3.299,0.017,4.759,0.022,971.079,2E-05,-1
4.76,TAKEOFF:TO_GROUND_ROLL,1.725,3.453,0.001,4.649,0.032,971.067,3E-05,-1
5.02,TAKEOFF:TO_GROUND_ROLL,2.232,2.703,0.014,4.496,0.04,971.056,4E-05,-1
5.28,TAKEOFF:TO_GROUND_ROLL,2.824,2.186,0.008,4.314,0.048,971.042,5E-05,-1
5.54,TAKEOFF:TO_GROUND_ROLL,3.497,1.638,0.004,4.122,0.068,971.027,7E-05,-1
5.84,TAKEOFF:TO_GROUND_ROLL,4.369,0.994,-0.001,3.923,0.089,971.007,9E-05,-1
6.1,TAKEOFF:TO_GROUND_ROLL,5.202,0.597,-0.008,3.793,0.129,970.989,0.00013,-1
6.34,TAKEOFF:TO_GROUND_ROLL,6.032,0.352,-0.011,3.721,0.19,970.969,0.0002,-1
6.6,TAKEOFF:TO_GROUND_ROLL,6.994,0.603,-0.089,3.703,0.357,970.947,0.00037,-1
6.9,TAKEOFF:TO_GROUND_ROLL,8.177,0.688,-0.027,3.727,0.547,970.921,0.00056,-1
7.16,TAKEOFF:TO_GROUND_ROLL,9.269,-0.162,0.114,3.893,0.428,970.897,0.00044,-1
7.42,TAKEOFF:TO_GROUND_ROLL,10.414,2.211,-0.173,4.015,1.502,970.872,0.00155,-1
7.68,TAKEOFF:TO_GROUND_ROLL,11.612,1.514,0.067,4.193,1.548,970.845,0.00159,-1
7.98,TAKEOFF:TO_GROUND_ROLL,13.056,2.952,-0.106,4.388,2.67,970.813,0.00275,-1
8.24,TAKEOFF:TO_GROUND_ROLL,14.358,3.055,-0.005,4.529,3.205,970.785,0.0033,-1
8.5,TAKEOFF:TO_GROUND_ROLL,15.703,3.592,-0.061,4.635,4.117,970.755,0.00424,-1
8.76,TAKEOFF:TO_GROUND_ROLL,17.09,3.704,-0.035,4.68,4.847,970.725,0.00499,-1
9.06,TAKEOFF:TO_GROUND_ROLL,18.739,3.658,-0.041,4.667,5.595,970.688,0.00576,-1
9.32,TAKEOFF:TO_GROUND_ROLL,20.209,3.41,-0.038,4.593,6.084,970.656,0.00627,-1
9.58,TAKEOFF:TO_GROUND_ROLL,21.716,2.991,-0.035,4.477,6.304,970.623,0.0065,-1
9.84,TAKEOFF:TO_GROUND_ROLL,23.256,2.505,-0.043,4.331,6.394,970.59,0.00659,-1
10.14,TAKEOFF:TO_GROUND_ROLL,25.074,1.876,-0.044,4.152,6.216,970.55,0.0064,-1
10.4,TAKEOFF:TO_GROUND_ROLL,26.683,1.388,-0.053,4.01,6.069,970.515,0.00625,-1
10.66,TAKEOFF:TO_GROUND_ROLL,28.321,0.988,-0.056,3.897,5.972,970.479,0.00615,-1
10.92,TAKEOFF:TO_GROUND_ROLL,29.987,0.741,-0.063,3.827,6.216,970.443,0.00641,-1
11.22,TAKEOFF:TO_GROUND_ROLL,31.94,0.667,-0.068,3.81,7.034,970.4,0.00725,-1
11.48,TAKEOFF:TO_GROUND_ROLL,33.659,0.794,-0.074,3.849,8.456,970.363,0.00871,-1
11.74,TAKEOFF:TO_GROUND_ROLL,35.401,1.074,-0.079,3.933,10.541,970.325,0.01086,-1
12,TAKEOFF:TO_GROUND_ROLL,37.164,1.467,-0.083,4.048,13.366,970.287,0.01378,-1
12.3,TAKEOFF:TO_GROUND_ROLL,39.223,1.988,-0.088,4.198,17.278,970.242,0.01781,-1
12.56,TAKEOFF:TO_GROUND_ROLL,41.027,2.431,-0.092,4.325,20.736,970.203,0.02137,-1
12.82,TAKEOFF:TO_GROUND_ROLL,42.849,2.802,-0.093,4.43,24.785,970.164,0.02555,-1
13.08,TAKEOFF:TO_GROUND_ROLL,44.688,3.057,-0.093,4.501,28.232,970.124,0.0291,-1
13.38,TAKEOFF:TO_GROUND_ROLL,46.829,3.164,-0.093,4.53,31.289,970.077,0.03225,-1
13.64,TAKEOFF:TO_GROUND_ROLL,48.701,3.087,-0.092,4.506,33.011,970.036,0.03403,-1
13.9,TAKEOFF:TO_GROUND_ROLL,50.588,2.866,-0.092,4.44,33.6,969.996,0.03464,-1
14.16,TAKEOFF:TO_GROUND_ROLL,52.491,2.533,-0.094,4.343,33.272,969.954,0.0343,-1
14.46,TAKEOFF:TO_GROUND_ROLL,54.704,2.069,-0.097,4.208,31.84,969.907,0.03283,-1
14.72,TAKEOFF:TO_GROUND_ROLL,56.637,1.657,-0.1,4.09,30.27,969.865,0.03121,-1
14.98,TAKEOFF:TO_GROUND_ROLL,58.584,1.291,-0.104,3.985,28.706,969.823,0.0296,-1
15.24,TAKEOFF:TO_GROUND_ROLL,60.543,1.013,-0.107,3.907,27.893,969.78,0.02876,-1
15.54,TAKEOFF:TO_GROUND_ROLL,62.819,0.841,-0.11,3.86,28.327,969.731,0.02921,-1
15.8,TAKEOFF:TO_GROUND_ROLL,64.802,0.836,-0.113,3.861,30.435,969.689,0.03139,-1
16.06,TAKEOFF:TO_GROUND_ROLL,66.796,0.957,-0.115,3.899,34.2,969.646,0.03527,-1
16.32,TAKEOFF:TO_GROUND_ROLL,68.8,1.181,-0.116,3.966,39.644,969.603,0.04089,-1
16.62,TAKEOFF:TO_GROUND_ROLL,71.123,1.522,-0.118,4.067,47.593,969.553,0.04909,-1
16.88,TAKEOFF:TO_GROUND_ROLL,73.146,1.846,-0.119,4.161,54.884,969.509,0.05661,307.43
17.14,TAKEOFF:TO_GROUND_ROLL,75.18,2.15,-0.119,4.248,63.505,969.465,0.06551,293.741
17.4,TAKEOFF:TO_GROUND_ROLL,77.226,2.391,-0.117,4.316,70.904,969.421,0.07314,285.55
17.7,TAKEOFF:TO_GROUND_ROLL,79.602,2.548,-0.115,4.358,77.758,969.37,0.08021,281.058
17.96,TAKEOFF:TO_GROUND_ROLL,81.677,2.555,0.006,4.34,81.504,969.325,0.08408,281.672
18.22,TAKEOFF:TO_GROUND_ROLL,83.768,2.454,-0.119,4.344,83.204,969.28,0.08584,285.911
18.48,TAKEOFF:TO_GROUND_ROLL,85.877,2.28,-0.135,4.26,83.237,969.235,0.08588,293.045
18.78,TAKEOFF:TO_GROUND_ROLL,88.335,1.92,-0.086,4.182,79.504,969.182,0.08203,308.421
19.04,TAKEOFF:TO_GROUND_ROLL,90.49,1.652,-0.131,4.086,76.892,969.135,0.07934,321.254
19.3,TAKEOFF:TO_GROUND_ROLL,92.666,1.325,-0.083,4.004,72.31,969.089,0.07462,339.235
19.56,TAKEOFF:TO_GROUND_ROLL,94.865,1.093,-0.118,3.932,69.851,969.042,0.07208,353.338
19.86,TAKEOFF:TO_GROUND_ROLL,97.433,0.872,-0.097,3.872,67.81,968.987,0.06998,368.311
20.12,TAKEOFF:TO_GROUND_ROLL,99.684,0.787,-0.106,3.831,68.813,968.938,0.07102,374.058
20.38,TAKEOFF:TO_GROUND_ROLL,101.959,0.725,0.01,3.86,70.47,968.89,0.07273,378.061
20.64,TAKEOFF:TO_GROUND_ROLL,104.26,0.923,-0.177,3.878,80.345,968.841,0.08293,362.048
20.94,TAKEOFF:TO_GROUND_ROLL,106.948,1.019,-0.04,3.931,87.867,968.783,0.0907,355.119
21.2,TAKEOFF:TO_GROUND_ROLL,109.305,1.241,-0.118,3.985,99.52,968.733,0.10273,341.026
