t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,yaw_cmd,roll_cmd,flaps_cur,flaps_tgt,phase_el_s,status
110.68,APPROACH,ILS_TRACK,76.94,76,-0.94,27.41,-4.19,3.41,6.41,270.4,0.021,0.1546,17.201,270.38,-3.092,0.5,0.29,0.38,-0.02,-0.092,0,0,0,270.38,0,0,0,0,0,0,1,1,110.72,FLYING
110.88,APPROACH,ILS_TRACK,76.96,76,-0.96,24.2,-4.19,3.41,6.41,270.4,0.019,0.1516,17.01,270.38,-3.091,0.5,0.29,0.364,-0.02,-0.091,0,0,0,270.38,0,0,0,0,0,0,1,1,110.92,FLYING
111.08,APPROACH,ILS_TRACK,76.96,76,-0.96,22.06,-4.2,3.41,6.41,270.4,0.019,0.1488,16.818,270.38,-3.091,0.5,0.29,0.348,-0.02,-0.091,0,0,0,270.38,0,0,0,0,0,0,1,1,111.12,FLYING
111.3,FLARE,ILS_TRACK,76.97,76,-0.97,19.7,-4.2,3.41,6.41,270.4,0.018,0.1462,16.624,270.38,-3.09,0.5,0.29,0.332,-0.02,-0.09,-3.121,0,0,270.38,0,0,0,0,0,0,1,1,0.04,FLYING
111.48,FLARE,ILS_TRACK,76.97,76,-0.97,17.83,-4.2,3.41,6.41,270.4,0.018,0,16.624,270.4,-2.735,0.5,0.29,0.332,-0.02,-0.09,-2.735,-2.5,0.075,270.38,0,0,0,0,0,0,1,1,0.22,FLYING
111.62,FLARE,ILS_TRACK,76.97,76,-0.97,17.27,-4.19,3.45,6.45,270.4,0.017,0,16.624,270.4,-2.51,0.5,0.29,0.332,-0.02,-0.09,-2.51,-2.5,0.121,270.38,0,0,0,0,0,0,1,1,0.36,FLYING
111.76,FLARE,ILS_TRACK,76.96,76,-0.96,16.71,-4.18,3.57,6.55,270.4,0.018,0,16.624,270.4,-2.285,0.5,0.29,0.332,-0.02,-0.09,-2.285,-2.5,0.149,270.38,0,0,0,0,0,0,1,1,0.5,FLYING
111.9,FLARE,ILS_TRACK,76.95,76,-0.95,16.15,-4.15,3.67,6.62,270.4,0.017,0,16.624,270.4,-2.06,0.5,0.29,0.332,-0.02,-0.09,-2.06,-2.5,0.177,270.38,0,0,0,0,0,0,1,1,0.64,FLYING
112.02,FLARE,ILS_TRACK,76.92,76,-0.92,15.61,-4.07,3.79,6.71,270.4,0.015,0,16.624,270.4,-1.861,0.5,0.29,0.332,-0.02,-0.09,-1.861,-2.5,0.205,270.38,0,0,0,0,0,0,1,1,0.78,FLYING
112.16,FLARE,ILS_TRACK,76.88,76,-0.88,15.07,-4,3.9,6.76,270.4,0.014,0,16.624,270.4,-1.862,0.5,0.29,0.332,-0.02,-0.09,-1.862,-2.5,0.232,270.38,0,0,0,0,0,0,1,1,0.92,FLYING
112.3,FLARE,ILS_TRACK,76.83,76,-0.83,14.54,-3.91,3.96,6.76,270.4,0.014,0,16.624,270.4,-1.863,0.5,0.29,0.332,-0.02,-0.09,-1.863,-2.5,0.259,270.38,0,0,0,0,0,0,1,1,1.06,FLYING
112.48,FLARE,ILS_TRACK,76.75,76,-0.75,13.88,-3.82,4.02,6.76,270.4,0.014,0,16.624,270.4,-1.865,0.5,0.29,0.332,-0.02,-0.09,-1.865,-2.5,0.292,270.38,0,0,0,0,0,0,1,1,1.24,FLYING
112.62,FLARE,ILS_TRACK,76.68,76,-0.68,13.37,-3.74,4.07,6.76,270.4,0.014,0,16.624,270.4,-1.867,0.5,0.29,0.332,-0.02,-0.09,-1.867,-2.5,0.318,270.38,0,0,0,0,0,0,1,1,1.38,FLYING
112.76,FLARE,ILS_TRACK,76.61,76,-0.61,12.88,-3.67,4.11,6.76,270.4,0.014,0,16.624,270.4,-1.869,0.5,0.29,0.332,-0.02,-0.09,-1.869,-2.5,0.343,270.38,0,0,0,0,0,0,1,1,1.52,FLYING
112.9,FLARE,ILS_TRACK,76.53,76,-0.53,12.39,-3.61,4.16,6.75,270.4,0.014,0,16.624,270.4,-1.87,0.5,0.29,0.332,-0.02,-0.09,-1.87,-2.5,0.367,270.38,0,0,0,0,0,0,1,1,1.66,FLYING
113.04,FLARE,ILS_TRACK,76.45,76,-0.45,11.91,-3.55,4.2,6.75,270.4,0.012,0,16.624,270.4,-1.872,0.5,0.29,0.332,-0.02,-0.09,-1.872,-2.5,0.392,270.38,0,0,0,0,0,0,1,1,1.8,FLYING
113.18,FLARE,ILS_TRACK,76.35,76,-0.35,11.44,-3.49,4.24,6.76,270.4,0.013,0,16.624,270.4,-1.875,0.5,0.29,0.332,-0.02,-0.09,-1.875,-2.5,0.415,270.38,0,0,0,0,0,0,1,1,1.94,FLYING
113.34,FLARE,ILS_TRACK,76.26,76,-0.26,10.98,-3.44,4.28,6.76,270.4,0.012,0,16.624,270.4,-1.848,0.5,0.29,0.332,-0.02,-0.09,-1.848,-2.462,0.439,270.38,0,0,0,0,0,0,1,1,2.08,FLYING
113.52,FLARE,ILS_TRACK,76.13,76,-0.13,10.39,-3.37,4.34,6.77,270.4,0.011,0,16.624,270.4,-1.757,0.5,0.29,0.332,-0.02,-0.09,-1.757,-2.337,0.468,270.38,0,0,0,0,0,0,1,1,2.26,FLYING
113.66,FLARE,ILS_TRACK,76.03,76,-0.03,9.95,-3.32,4.4,6.81,270.4,0.011,0,16.624,270.4,-1.688,0.5,0.29,0.332,-0.02,-0.09,-1.688,-2.242,0.491,270.38,0,0,0,0,0,0,1,1,2.4,FLYING
113.8,FLARE,ILS_TRACK,75.92,76,0.08,9.51,-3.26,4.47,6.83,270.4,0.011,0,16.624,270.4,-1.62,0.5,0.29,0.332,-0.02,-0.09,-1.62,-2.148,0.513,270.38,0,0,0,0,0,0,1,1,2.54,FLYING
113.94,FLARE,ILS_TRACK,75.8,76,0.2,9.08,-3.2,4.54,6.86,270.4,0.011,0,16.624,270.4,-1.553,0.5,0.29,0.332,-0.02,-0.09,-1.553,-2.056,0.535,270.38,0,0,0,0,0,0,1,1,2.68,FLYING
114.08,FLARE,ILS_TRACK,75.69,76,0.31,8.66,-3.14,4.61,6.89,270.4,0.01,0,16.624,270.4,-1.487,0.5,0.29,0.332,-0.02,-0.09,-1.487,-1.966,0.556,270.38,0,0,0,0,0,0,1,1,2.82,FLYING
114.22,FLARE,ILS_TRACK,75.56,76,0.44,8.24,-3.08,4.68,6.92,270.4,0.011,0,16.624,270.4,-1.422,0.5,0.29,0.332,-0.02,-0.09,-1.422,-1.877,0.577,270.38,0,0,0,0,0,0,1,1,2.96,FLYING
114.36,FLARE,ILS_TRACK,75.44,76,0.56,7.84,-3.01,4.75,6.95,270.4,0.01,0,16.624,270.4,-1.359,0.5,0.29,0.332,-0.02,-0.09,-1.359,-1.79,0.598,270.38,0,0,0,0,0,0,1,1,3.1,FLYING
114.54,FLARE,ILS_TRACK,75.27,76,0.73,7.33,-2.93,4.83,6.97,270.4,0.009,0,16.624,270.4,-1.279,0.5,0.29,0.332,-0.02,-0.09,-1.279,-1.682,0.623,270.38,0,0,0,0,0,0,1,1,3.28,FLYING
114.68,FLARE,ILS_TRACK,75.14,76,0.86,6.95,-2.86,4.91,7.01,270.4,0.009,0,16.624,270.4,-1.219,0.5,0.29,0.332,-0.02,-0.09,-1.219,-1.6,0.643,270.38,0,0,0,0,0,0,1,1,3.42,FLYING
114.82,FLARE,ILS_TRACK,75,76,1,6.58,-2.79,4.98,7.04,270.4,0.008,0,16.624,270.4,-1.16,0.5,0.29,0.332,-0.02,-0.09,-1.16,-1.519,0.662,270.38,0,0,0,0,0,0,1,1,3.56,FLYING
114.96,FLARE,ILS_TRACK,74.86,76,1.14,6.21,-2.73,5.06,7.06,270.4,0.008,0,16.624,270.4,-1.102,0.5,0.29,0.332,-0.02,-0.09,-1.102,-1.441,0.68,270.38,0,0,0,0,0,0,1,1,3.7,FLYING
115.1,FLARE,ILS_TRACK,74.72,76,1.28,5.85,-2.65,5.14,7.09,270.4,0.009,0,16.624,270.4,-1.046,0.5,0.29,0.332,-0.02,-0.09,-1.046,-1.365,0.698,270.38,0,0,0,0,0,0,1,1,3.84,FLYING
115.24,FLARE,ILS_TRACK,74.57,76,1.43,5.49,-2.59,5.21,7.12,270.4,0.008,0,16.624,270.4,-0.988,0.5,0.29,0.332,-0.02,-0.09,-0.988,-1.287,0.717,270.38,0,0,0,0,0,0,1,1,3.98,FLYING
115.38,FLARE,ILS_TRACK,74.42,76,1.58,5.15,-2.51,5.29,7.15,270.4,0.009,0,16.624,270.4,-0.935,0.5,0.29,0.332,-0.02,-0.09,-0.935,-1.215,0.734,270.38,0,0,0,0,0,0,1,1,4.12,FLYING
115.56,FLARE,ILS_TRACK,74.23,76,1.77,4.74,-2.43,5.39,7.18,270.4,0.01,0,16.624,270.4,-0.868,0.5,0.29,0.332,-0.02,-0.09,-0.868,-1.125,0.755,270.38,0,0,0,0,0,0,1,1,4.3,FLYING
115.7,FLARE,ILS_TRACK,74.07,76,1.93,4.42,-2.35,5.46,7.21,270.4,0.01,0,16.624,270.4,-0.818,0.5,0.29,0.332,-0.02,-0.09,-0.818,-1.058,0.771,270.38,0,0,0,0,0,0,1,1,4.44,FLYING
115.84,FLARE,ILS_TRACK,73.92,76,2.08,4.12,-2.28,5.54,7.24,270.4,0.01,0,16.624,270.4,-0.769,0.5,0.29,0.332,-0.02,-0.09,-0.769,-0.993,0.787,270.38,0,0,0,0,0,0,1,1,4.58,FLYING
115.98,FLARE,ILS_TRACK,73.76,76,2.24,3.82,-2.21,5.62,7.27,270.4,0.011,0,16.624,270.4,-0.722,0.5,0.29,0.332,-0.02,-0.09,-0.722,-0.93,0.802,270.38,0,0,0,0,0,0,1,1,4.72,FLYING
116.12,FLARE,ILS_TRACK,73.6,76,2.4,3.54,-2.14,5.7,7.3,270.4,0.012,0,16.624,270.4,-0.676,0.5,0.29,0.332,-0.02,-0.09,-0.676,-0.869,0.816,270.38,0,0,0,0,0,0,1,1,4.86,FLYING
116.26,FLARE,ILS_TRACK,73.43,76,2.57,3.26,-2.07,5.77,7.33,270.4,0.012,0,16.624,270.4,-0.631,0.5,0.29,0.332,-0.02,-0.09,-0.631,-0.81,0.83,270.38,0,0,0,0,0,0,1,1,5,FLYING
116.4,FLARE,ILS_TRACK,73.27,76,2.73,3,-2,5.85,7.36,270.41,0.013,0,16.624,270.4,-0.588,0.5,0.29,0.332,-0.02,-0.09,-0.588,-0.753,0.844,270.38,0,0,0,0,0,0,1,1,5.14,FLYING
116.58,FLARE,ILS_TRACK,73.05,76,2.95,2.67,-1.92,5.94,7.39,270.41,0.015,0,16.624,270.4,-0.535,0.5,0.29,0.332,-0.02,-0.09,-0.535,-0.682,0.861,270.38,0,0,0,0,0,0,1,1,5.32,FLYING
116.72,FLARE,ILS_TRACK,72.88,76,3.12,2.42,-1.85,6.02,7.42,270.41,0.015,0,16.624,270.4,-0.495,0.5,0.29,0.332,-0.02,-0.09,-0.495,-0.63,0.873,270.38,0,0,0,0,0,0,1,1,5.46,FLYING
116.86,FLARE,ILS_TRACK,72.71,76,3.29,2.19,-1.79,6.1,7.45,270.41,0.016,0,16.624,270.4,-0.456,0.5,0.29,0.332,-0.02,-0.09,-0.456,-0.579,0.885,270.38,0,0,0,0,0,0,1,1,5.6,LANDED
117,FLARE,ILS_TRACK,72.48,76,3.52,2.01,-0.33,5.32,5.91,270.41,0.02,0,16.624,270.4,-0.422,0.5,0.29,0.332,-0.02,-0.09,-0.422,-0.534,0.896,270.38,0,0,0,0,0,0,1,1,5.74,LANDED
117.14,TOUCHDOWN,ILS_TRACK,71.81,76,4.19,1.83,-0.21,2.8,3.37,270.41,0.03,0,16.624,270.4,-0.398,0.5,0.29,0.332,-0.02,-0.09,-0.398,-0.5,0.904,270.38,0,0,0,0,0,0,1,1,0.02,LANDED
117.28,TOUCHDOWN,ILS_TRACK,71.49,76,4.51,1.61,-0.28,-0.36,0.33,270.41,0.038,0,16.624,270.4,-0.398,0.5,0.29,0.332,-0.02,-0.09,-0.398,-0.5,0.904,270.38,0,0,0,0,0,0,1,1,0.16,LANDED
117.4,ROLLOUT,ILS_TRACK,71.33,76,4.67,1.55,0,-1.55,-1.57,270.41,0.049,0,16.624,270.4,-0.398,0.5,0.29,0.332,-0.02,-0.09,-0.398,-0.5,0.904,270.38,0,0,0,0,0,0,1,1,0.04,LANDED
117.58,ROLLOUT,ILS_TRACK,71.03,76,4.97,1.56,0.04,-1.52,-1.54,270.4,0.05,0,16.624,270.4,-0.398,0.5,0.29,0.332,-0.02,-0.09,-0.398,-0.5,0.904,270.4,0.477,-0.01,0,0,0,-0.0034,1,1,0.24,LANDED
117.78,ROLLOUT,ILS_TRACK,70.84,76,5.16,1.63,0.09,-1.04,-1.14,270.4,0.051,0,16.624,270.4,-0.398,0.5,0.29,0.332,-0.02,-0.09,-0.398,-0.5,0.904,270.4,0.482,-0.01,0.003,0,0,-0.0034,1,1,0.44,LANDED
117.96,ROLLOUT,ILS_TRACK,70.73,76,5.27,1.63,-0.11,-0.98,-0.91,270.4,0.059,0,16.624,270.4,-0.398,0.5,0.29,0.332,-0.02,-0.09,-0.398,-0.5,0.904,270.4,0.485,-0.01,0.007,0,0,-0.004,1,1,0.62,LANDED
118.14,ROLLOUT,ILS_TRACK,70.63,76,5.37,1.66,-0.04,-0.62,-0.63,270.4,0.051,0,16.624,270.4,-0.398,0.5,0.29,0.332,-0.02,-0.09,-0.398,-0.5,0.904,270.4,0.487,-0.01,0,0,0,-0.0037,1,1,0.8,LANDED
