t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,153.63,152,-1.63,745.2,666.18,-11.71,14.58,18.73,269.85,0.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.39,0,0,0,90,0,0,0,0,0,7.18,-486.47,22.084,0,0,0,3,745.2,0,0,1231.67,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.97,1078.36,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,153.26,152,-1.26,742.65,663.34,-10.4,15.77,19.52,269.84,0.227,0.048,0,-0.156,1,0.6,1.455,0.75,0.35,0.0168,0.4,0,21.525,0,1.3,0,269.91,0,0,1,-3.96,0,0,0,254.91,0.4611,-0.0016,0.8874,0,269.91,7.01,-486.75,22.048,-0.091,0,0,3,745.2,-1.279,0,1229.8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.66,1077.02,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,152.62,152,-0.62,740.08,660.82,-9.1,15.79,18.99,269.75,-0.169,0.152,0,-0.372,1,0.6,2.684,0.751,0.35,0.0168,0.4,0,21.702,0,0.67,0,269.89,0,0,1,-3.48,0,0,0,269.9,0.4611,-0.0019,0.8873,0,269.89,6.83,-487.12,22.006,-0.106,0,0,3,745.2,-1.428,0,1227.6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.63,1074.5,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,151.93,152,0.07,737.4,658.59,-7.94,14.33,16.99,269.67,-0.29,0.256,0,-0.413,1,0.6,3.72,0.751,0.35,0.0168,0.4,0,21.895,0,-0.015,0,269.91,0,0,1,-3.05,0,0,0,269.91,0.4612,-0.0015,0.8873,0,269.91,6.65,-487.58,21.965,-0.085,0,0,3,745.2,-1.955,0,1225.4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.86,1071.74,2,0,0.12,0.12,7,7.69,0.14,0.12,0.94,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.3,APPROACH,ILS_TRACK,151.44,152,0.56,733.41,655.81,-7.52,10.02,12.43,269.63,-0.405,0.4,0,-0.248,1,0.6,4.5,0.751,0.35,0.0168,0.4,0,22.049,0,-0.561,0,269.94,0,0,1,-2.83,0,0,0,269.93,0.4613,-0.0011,0.8873,0,269.94,6.37,-488.52,21.907,-0.064,0,0,3,745.2,-2.756,0,1222.37,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.25,1069.81,2,0,0.12,0.12,10,8.33,0.12,0.12,1.3,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,151.79,152,0.21,729.51,652.93,-8.53,6.26,9.12,269.68,-0.107,0.3401,0,-0.112,1,0.6,4.5,0.751,0.35,0.0168,0.4,0,21.957,0,-0.235,0,269.96,0,0,1,-3.16,0,0,0,269.96,0.4613,-0.0007,0.8872,0,269.96,6.09,-489.41,21.849,-0.042,0,0,3,745.2,-2.274,0,1219.34,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.38,1071.46,2,0,0.12,0.12,13,8.33,0.12,0.12,1.66,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,152.4,152,-0.4,725.81,649.57,-10.06,4.79,8.32,269.72,0.038,0.1961,0,-0.105,1,0.6,4.5,0.751,0.35,0.0168,0.4,0,21.787,0,0.369,0,269.97,0,0,1,-3.71,0,0,0,269.96,0.4614,-0.0005,0.8872,0,269.97,5.79,-490.09,21.791,-0.026,0,0,3,745.2,-1.722,0,1216.3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.89,1074.28,2,0,0.12,0.12,16,8.33,0.12,0.12,2.02,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.38,APPROACH,ILS_TRACK,153.03,152,-1.03,722.27,645.71,-11.17,5.75,9.77,269.72,0.021,0.0521,0,-0.103,1,0.6,4.5,0.751,0.35,0.0168,0.4,0,21.611,0,0.995,0,269.99,0,0,1,-4.16,0,0,0,269.97,0.4615,-0.0002,0.8871,0,269.99,5.51,-490.59,21.733,-0.014,0,0,3,745.2,-1.269,0,1213.25,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.38,1077.22,2,0,0.12,0.12,19,8.33,0.12,0.12,2.38,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.74,APPROACH,ILS_TRACK,153.46,152,-1.46,718.42,641.64,-11.38,6.63,10.65,269.73,0.132,0,0,-0.102,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.485,0,1.439,0,269.99,0,0,1,-4.23,0,0,0,269.99,0.4616,-0.0002,0.8871,0,269.99,5.22,-491.33,21.674,-0.01,0,0,3,745.2,-2.471,0,1210.2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.27,1079.38,2,0,0.12,0.12,22,8.33,0.12,0.12,2.74,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
3.1,APPROACH,ILS_TRACK,153.75,152,-1.75,714.28,637.48,-11.65,6.7,10.79,269.76,0.268,0,0,-0.1,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.272,21.402,0.272,1.735,1,270,0,0,1,-4.32,0,0,0,270,0.4617,0.0001,0.887,0,270,4.93,-492.38,21.616,0.004,0,0,3,745.2,-3.097,0,1207.14,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.21,1080.93,2,0,0.12,0.12,25,8.33,0.12,0.12,3.1,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
